"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.293,0.315,0.272,0.222,0.281,0.317,0.426,0.327,0.26,0.281,0.462,0.478,0.289,0.245,0.159,0.632,0.071,0.167,0.139,0.308,0.201,0.237,0.362,0.434,0.249
"Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.455,0.47,0.44,0.469,0.459,0.459,0.413,0.424,0.444,0.535,0.285,0.44,0.616,0.509,0.537,0.184,0.76,0.685,0.424,0.423,0.514,0.516,0.376,0.292,0.633
"Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.152,0.117,0.187,0.207,0.142,0.141,0.087,0.132,0.214,0.087,0.155,0.027,0.072,0.16,0.208,0.121,0.131,0.103,0.316,0.179,0.157,0.158,0.125,0.136,0.108
"En blanco",0.039,0.032,0.045,0.064,0.037,0.034,0,0.043,0.038,0.033,0,0.028,0.008,0.046,0.063,0.012,0.01,0.034,0,0.03,0.073,0.005,0.037,0.082,0
"No sabe",0.061,0.066,0.056,0.038,0.081,0.049,0.074,0.074,0.044,0.064,0.098,0.027,0.015,0.04,0.033,0.051,0.028,0.011,0.121,0.06,0.055,0.084,0.1,0.056,0.01
