"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","En blanco"
"P05","Mucho",0.524,0.427,0.355,0.3,0.162,0.25
"P05","Bastante",0.291,0.308,0.358,0.166,0.393,0.171
"P05","Poco",0.098,0.135,0.172,0.181,0.331,0.284
"P05","Nada",0.066,0.067,0.063,0.269,0.077,0.246
"P05","No sabe",0.021,0.063,0.052,0.084,0.037,0.049
"P06","Siempre",0.32,0.235,0.207,0.064,0.227,0.048
"P06","Casi siempre",0.269,0.413,0.236,0.096,0.157,0.249
"P06","Casi nunca",0.3,0.233,0.38,0.352,0.39,0.469
"P06","Nunca, pero esta es una excepción",0.111,0.119,0.177,0.488,0.226,0.234
"P10","Unidos para Cambiar misiones",0.589,0.118,0.116,0.055,0,0.062
"P10","Juntos Avancemos",0.19,0.632,0.157,0.195,0,0.143
"P10","De los liberales libertarios",0.11,0.157,0.553,0.098,0.154,0.068
"P10","De la Izquierda",0.017,0.009,0.023,0.372,0,0
"P10","Hacemos por nuestro país",0.006,0.001,0.008,0.017,0.733,0
"P10","En blanco",0.039,0.021,0.025,0.013,0,0.626
"P10","No sabe",0.049,0.062,0.118,0.25,0.113,0.101
"P16","Si",0.375,0.495,0.633,0.68,0.672,0.585
"P16","No",0.625,0.505,0.367,0.32,0.328,0.415
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.223,0.464,0.527,0.272,0.214,0.223
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.304,0.337,0.248,0.399,0.431,0.222
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.306,0.095,0.138,0.025,0.035,0.011
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.081,0.027,0.029,0.093,0,0.197
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.038,0.016,0.018,0.143,0.06,0
"P23","No sabe",0.048,0.061,0.04,0.068,0.26,0.347
"P24","Totalmente seguro.",0.699,0.708,0.726,0.593,0.317,0.335
"P24","Bastante seguro",0.123,0.171,0.125,0.109,0.265,0.064
"P24","Algo seguro",0.106,0.067,0.074,0.064,0.366,0.187
"P24","Para nada seguro",0.072,0.054,0.075,0.234,0.052,0.414
"P25","Tiene Decidido que va a ir a votar.",0.885,0.921,0.91,1,0.635,0.691
"P25","Tiene dudas sobre si va a ir a  votar",0.064,0.057,0.086,0,0.176,0.143
"P25","Tiene Decidido que no va a ir a votar",0.051,0.022,0.004,0,0.189,0.166
"P26","La votaría",0.832,0.267,0.284,0.135,0.441,0.202
"P26","Puede que la vote",0.054,0.087,0.103,0.082,0.379,0
"P26","Nunca la votaría",0.092,0.618,0.569,0.667,0.18,0.533
"P26","No sabe",0.022,0.028,0.044,0.116,0,0.265
"P27","La votaría",0.269,0.623,0.121,0.065,0.234,0.058
"P27","Puede que la vote",0.098,0.138,0.234,0.203,0.338,0
"P27","Nunca la votaría",0.584,0.216,0.54,0.718,0.428,0.942
"P27","No sabe",0.049,0.023,0.105,0.014,0,0
"P28","La votaría",0.142,0.212,0.633,0.32,0.106,0.02
"P28","Puede que la vote",0.104,0.152,0.117,0.248,0.185,0.279
"P28","Nunca la votaría",0.711,0.596,0.212,0.432,0.709,0.701
"P28","No sabe",0.043,0.04,0.038,0,0,0
"P29","Si",0.503,0.368,0.405,0.447,0.351,0
"P29","No",0.497,0.632,0.595,0.553,0.649,1
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.866,0.091,0.109,0.086,0,0.099
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.05,0.79,0.049,0.096,0.017,0.088
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.118,0.842,0.207,0.43,0.041
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.001,0,0.585,0,0.01
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0,0,0,0.553,0
"PRESIDENTE_imputada","En blanco",0.001,0,0,0.026,0,0.762
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.884,0.065,0.127,0.082,0.216,0.062
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.073,0.855,0.312,0.395,0.17,0.216
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.043,0.05,0.543,0.066,0.22,0
"GOBERNADOR_imputada","En blanco",0,0.03,0.018,0.457,0.394,0.722
