"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Si",0.226,0.223,0.229,0.253,0.23,0.24,0.149,0.258,0.228,0.163,0.179,0.252,0.2,0.136,0.319,0.227,0.21,0.208,0.159,0.264,0.184,0.18,0.234,0.261,0.19
"No",0.774,0.777,0.771,0.747,0.77,0.76,0.851,0.742,0.772,0.837,0.821,0.748,0.8,0.864,0.681,0.773,0.79,0.792,0.841,0.736,0.816,0.82,0.766,0.739,0.81
