"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.515,0.455,0.335,0.229,0.038,0.281
"P05","Bastante",0.26,0.303,0.372,0.303,0.618,0.199
"P05","Poco",0.114,0.111,0.181,0.237,0.279,0.287
"P05","Nada",0.074,0.092,0.062,0.077,0,0.166
"P05","No sabe",0.037,0.039,0.05,0.154,0.065,0.067
"P06","Siempre",0.342,0.238,0.189,0.09,0.176,0.032
"P06","Casi siempre",0.264,0.368,0.269,0.158,0.378,0.342
"P06","Casi nunca",0.277,0.25,0.374,0.328,0.058,0.514
"P06","Nunca, pero esta es una excepción",0.117,0.144,0.168,0.424,0.388,0.112
"P10","Unidos para Cambiar misiones",0.561,0.141,0.102,0.063,0,0.015
"P10","Juntos Avancemos",0.188,0.697,0.14,0.152,0,0.144
"P10","De los liberales libertarios",0.14,0.082,0.56,0.143,0.143,0.079
"P10","De la Izquierda",0.025,0.002,0.035,0.4,0,0
"P10","Hacemos por nuestro país",0,0.001,0.03,0.033,0.696,0
"P10","En blanco",0.037,0.029,0.025,0.025,0,0.646
"P10","No sabe",0.049,0.048,0.108,0.184,0.161,0.116
"P16","Si",0.4,0.45,0.634,0.281,0.306,0.407
"P16","No",0.6,0.55,0.366,0.719,0.694,0.593
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.22,0.462,0.525,0.455,0.201,0.095
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.303,0.371,0.25,0.089,0.35,0.203
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.331,0.101,0.085,0.049,0.08,0
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.065,0.013,0.055,0.105,0,0.225
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.043,0.009,0.017,0.216,0.138,0
"P23","No sabe",0.038,0.044,0.068,0.086,0.231,0.477
"P24","Totalmente seguro.",0.674,0.745,0.714,0.631,0.23,0.244
"P24","Bastante seguro",0.131,0.148,0.136,0.18,0.163,0.024
"P24","Algo seguro",0.109,0.051,0.082,0.062,0.513,0.225
"P24","Para nada seguro",0.086,0.056,0.068,0.127,0.094,0.507
"P25","Tiene Decidido que va a ir a votar.",0.883,0.948,0.887,1,0.662,0.735
"P25","Tiene dudas sobre si va a ir a  votar",0.077,0.037,0.094,0,0,0.035
"P25","Tiene Decidido que no va a ir a votar",0.04,0.015,0.019,0,0.338,0.23
"P26","La votaría",0.793,0.275,0.284,0.098,0.64,0.221
"P26","Puede que la vote",0.061,0.078,0.109,0.1,0.099,0
"P26","Nunca la votaría",0.118,0.607,0.579,0.608,0.261,0.403
"P26","No sabe",0.028,0.04,0.028,0.194,0,0.376
"P27","La votaría",0.25,0.646,0.138,0.043,0.351,0
"P27","Puede que la vote",0.093,0.142,0.238,0.105,0.161,0.037
"P27","Nunca la votaría",0.595,0.192,0.538,0.823,0.488,0.963
"P27","No sabe",0.062,0.02,0.086,0.029,0,0
"P28","La votaría",0.144,0.216,0.597,0.104,0.16,0
"P28","Puede que la vote",0.097,0.143,0.148,0.193,0,0.21
"P28","Nunca la votaría",0.703,0.609,0.226,0.703,0.84,0.79
"P28","No sabe",0.056,0.032,0.029,0,0,0
"P29","Si",0.45,0.421,0.42,0.096,0.505,0
"P29","No",0.55,0.579,0.58,0.904,0.495,1
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.815,0.065,0.076,0,0.117,0.015
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.072,0.853,0.096,0.013,0,0
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.098,0.06,0.782,0,0,0
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.007,0.011,0.017,0.97,0,0.032
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.001,0.026,0,0.883,0
"P13_imputada","En blanco",0.008,0.01,0.003,0.017,0,0.953
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.838,0.082,0.118,0.025,0.176,0.023
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.103,0.883,0.328,0.144,0.067,0
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.048,0.022,0.535,0,0,0
"GOBERNADOR_imputada","En blanco",0.011,0.013,0.019,0.831,0.757,0.977
