"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.529,0.472,0.339,0.233,0.042,0.306,0.203
"P05","Bastante",0.27,0.314,0.366,0.29,0.578,0.217,0.231
"P05","Poco",0.106,0.109,0.188,0.242,0.309,0.314,0.147
"P05","Nada",0.056,0.076,0.054,0.079,0,0.09,0.357
"P05","No sabe",0.039,0.029,0.053,0.156,0.071,0.073,0.062
"P06","Siempre",0.338,0.238,0.191,0.091,0.194,0.035,0.26
"P06","Casi siempre",0.271,0.374,0.266,0.161,0.418,0.373,0.219
"P06","Casi nunca",0.278,0.256,0.376,0.316,0.065,0.47,0.271
"P06","Nunca, pero esta es una excepción",0.113,0.132,0.167,0.432,0.323,0.122,0.25
"P10","Unidos para Cambiar misiones",0.575,0.149,0.106,0.064,0,0.017,0.114
"P10","Juntos Avancemos",0.199,0.724,0.146,0.155,0,0.157,0.056
"P10","De los liberales libertarios",0.147,0.087,0.582,0.146,0.158,0.086,0.016
"P10","De la Izquierda",0.026,0.002,0.036,0.407,0,0,0
"P10","Hacemos por nuestro país",0,0.001,0.032,0.034,0.77,0,0
"P10","En blanco",0.038,0.022,0.026,0.025,0,0.705,0.043
"P10","No sabe",0.015,0.015,0.072,0.169,0.072,0.035,0.771
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.812,0.057,0.077,0,0.129,0.017,0.081
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.076,0.857,0.075,0,0,0,0.063
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.095,0.06,0.766,0,0,0,0.026
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.006,0,0.017,0.987,0,0.035,0.063
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.002,0.027,0,0.871,0,0
"P13","En blanco",0.009,0.01,0.004,0,0,0.948,0
"P13","No sabe",0.002,0.014,0.034,0.013,0,0,0.767
"P16","Si",0.395,0.443,0.639,0.262,0.363,0.435,0.506
"P16","No",0.605,0.557,0.361,0.738,0.637,0.565,0.494
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",1,0,0,0,0,0,0
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0,0,0,0
