"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.333,0.333,0.333,0.336,0.301,0.377,0.344,0.382,0.269,0.352,0.614,0.55,0.162,0.182,0.104,0.598,0.138,0.26,0.204,0.381,0.342,0.27,0.291,0.342,0.278
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.221,0.263,0.134,0.217,0.303,0.424,0.185,0.278,0.291,0.179,0.113,0.597,0.416,0.056,0.136,0.46,0.488,0.061,0.261,0.191,0.349,0.285,0.174,0.2
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.326,0.396,0.261,0.462,0.32,0.27,0.162,0.335,0.352,0.262,0.163,0.168,0.208,0.295,0.784,0.206,0.342,0.213,0.688,0.26,0.35,0.273,0.33,0.364,0.478
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.021,0.013,0.007,0.03,0.008,0.018,0.017,0.009,0.031,0,0.064,0.015,0.03,0.012,0.003,0.016,0.018,0.033,0.008,0.007,0.035,0.043,0,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.007,0.016,0.016,0.018,0,0.005,0.002,0.017,0.022,0.006,0.029,0,0.005,0.024,0.013,0.005,0.014,0,0.004,0.019,0.007,0,0.036,0.018
"En blanco",0.021,0.01,0.031,0.012,0.031,0.015,0.02,0.032,0.014,0.011,0,0.067,0.007,0.042,0,0.008,0.011,0,0,0.026,0.021,0.047,0.013,0.012,0
"No sabe",0.049,0.012,0.083,0.033,0.083,0.027,0.027,0.047,0.061,0.031,0.038,0.009,0.011,0.03,0.02,0.036,0.028,0.007,0.014,0.06,0.07,0.019,0.038,0.072,0
