"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Si",0.511,0.543,0.482,0.566,0.551,0.475,0.369,0.52,0.519,0.482,0.374,0.539,0.442,0.536,0.72,0.444,0.543,0.552,0.416,0.532,0.513,0.426,0.558,0.56,0.434
"No",0.489,0.457,0.518,0.434,0.449,0.525,0.631,0.48,0.481,0.518,0.626,0.461,0.558,0.464,0.28,0.556,0.457,0.448,0.584,0.468,0.487,0.574,0.442,0.44,0.566
