"var","categoria","Si","No"
"P05","Mucho",0.387,0.441
"P05","Bastante",0.355,0.301
"P05","Poco",0.112,0.151
"P05","Nada",0.077,0.078
"P05","No sabe",0.069,0.029
"P06","Siempre",0.201,0.253
"P06","Casi siempre",0.269,0.292
"P06","Casi nunca",0.371,0.307
"P06","Nunca, pero esta es una excepción",0.159,0.148
"P10","Unidos para Cambiar misiones",0.183,0.293
"P10","Juntos Avancemos",0.287,0.299
"P10","De los liberales libertarios",0.279,0.261
"P10","De la Izquierda",0.031,0.026
"P10","Hacemos por nuestro país",0.048,0.011
"P10","En blanco",0.036,0.048
"P10","No sabe",0.136,0.062
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.226,0.345
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.242,0.259
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.279,0.315
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.049,0.015
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.047,0.007
"P13","En blanco",0.039,0.021
"P13","No sabe",0.118,0.038
"P16","Si",1,0.369
"P16","No",0,0.631
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.338,0.247
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.254
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.402,0.429
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.009
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.004
"P17","En blanco",0.006,0.025
"P17","No sabe",0.06,0.032
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.313,0.279
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.478,0.439
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.118,0.176
"P20","En blanco",0.027,0.047
"P20","No sabe",0.064,0.059
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.366,0.392
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.265,0.306
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.173,0.179
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.089,0.042
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.047,0.022
"P23","No sabe",0.06,0.059
"P24","Totalmente seguro.",0.573,0.725
"P24","Bastante seguro",0.187,0.124
"P24","Algo seguro",0.13,0.079
"P24","Para nada seguro",0.11,0.072
"P25","Tiene Decidido que va a ir a votar.",0.838,0.912
"P25","Tiene dudas sobre si va a ir a  votar",0.101,0.064
"P25","Tiene Decidido que no va a ir a votar",0.061,0.024
"P26","La votaría",0.422,0.481
"P26","Puede que la vote",0.127,0.071
"P26","Nunca la votaría",0.414,0.41
"P26","No sabe",0.037,0.038
"P27","La votaría",0.219,0.326
"P27","Puede que la vote",0.232,0.139
"P27","Nunca la votaría",0.444,0.487
"P27","No sabe",0.105,0.048
"P28","La votaría",0.28,0.329
"P28","Puede que la vote",0.224,0.108
"P28","Nunca la votaría",0.419,0.533
"P28","No sabe",0.077,0.03
"P29","Si",0.484,0.409
"P29","No",0.516,0.591
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.333,0.346
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.257
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.405,0.315
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.015
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.007
"PRESIDENTE","En blanco",0.006,0.021
"PRESIDENTE","No sabe",0.061,0.039
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.309,0.362
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.485,0.325
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.11,0.217
"GOBERNADOR","En blanco",0.029,0.048
"GOBERNADOR","No sabe",0.067,0.048
"CORTA_GOBERNADOR","Si",0.729,0.183
"CORTA_GOBERNADOR","No",0.271,0.817
