"var","categoria","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.539,0.406,0.392,0.207,0.218
"P05","Bastante",0.275,0.383,0.235,0.327,0.336
"P05","Poco",0.101,0.101,0.279,0.251,0.097
"P05","Nada",0.07,0.073,0.052,0.061,0.293
"P05","No sabe",0.015,0.037,0.042,0.154,0.056
"P06","Siempre",0.317,0.235,0.203,0.091,0.199
"P06","Casi siempre",0.268,0.369,0.202,0.311,0.191
"P06","Casi nunca",0.305,0.274,0.411,0.314,0.24
"P06","Nunca, pero esta es una excepción",0.11,0.122,0.184,0.284,0.37
"P10","Unidos para Cambiar misiones",0.569,0.11,0.14,0.05,0.205
"P10","Juntos Avancemos",0.185,0.555,0.181,0.032,0.035
"P10","De los liberales libertarios",0.176,0.237,0.52,0.283,0.091
"P10","De la Izquierda",0.014,0.026,0.035,0.126,0.024
"P10","Hacemos por nuestro país",0.01,0.009,0.024,0.119,0
"P10","En blanco",0.026,0.021,0.043,0.33,0.021
"P10","No sabe",0.02,0.042,0.057,0.06,0.624
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.816,0.057,0.067,0,0.217
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.048,0.634,0.057,0.169,0.03
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.11,0.239,0.845,0.114,0.097
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.003,0.024,0.008,0.245,0.024
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.011,0.008,0.019,0.126,0
"P13","En blanco",0.004,0.013,0,0.325,0.006
"P13","No sabe",0.008,0.025,0.004,0.021,0.626
"P16","Si",0.393,0.608,0.376,0.442,0.575
"P16","No",0.607,0.392,0.624,0.558,0.425
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.551,0.148,0.24,0.217,0.35
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.154,0.34,0.072,0.154,0.097
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.257,0.464,0.688,0.273,0.211
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.002,0,0.077,0.036
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.003,0,0.027,0
"P17","En blanco",0.004,0,0,0.221,0.012
"P17","No sabe",0.024,0.043,0,0.031,0.294
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",1,0,0,0,0
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0,1,0,0,0
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0,0,1,0,0
"P20","En blanco",0,0,0,1,0
"P20","No sabe",0,0,0,0,1
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.239,0.487,0.517,0.33,0.269
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.291,0.359,0.27,0.162,0.137
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.319,0.098,0.104,0.013,0.167
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.079,0.005,0.045,0.201,0.089
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.035,0.013,0.002,0.072,0.131
"P23","No sabe",0.037,0.038,0.062,0.222,0.207
"P24","Totalmente seguro.",0.699,0.734,0.74,0.546,0.376
"P24","Bastante seguro",0.132,0.153,0.146,0.085,0.057
"P24","Algo seguro",0.109,0.056,0.094,0.129,0.133
"P24","Para nada seguro",0.06,0.057,0.02,0.24,0.434
"P25","Tiene Decidido que va a ir a votar.",0.9,0.934,0.886,0.893,0.701
"P25","Tiene dudas sobre si va a ir a  votar",0.077,0.043,0.107,0.044,0.108
"P25","Tiene Decidido que no va a ir a votar",0.023,0.023,0.007,0.063,0.191
"P26","La votaría",0.828,0.24,0.339,0.143,0.394
"P26","Puede que la vote",0.07,0.089,0.074,0.064,0.143
"P26","Nunca la votaría",0.089,0.639,0.558,0.589,0.315
"P26","No sabe",0.013,0.032,0.029,0.204,0.148
"P27","La votaría",0.252,0.47,0.183,0.094,0.129
"P27","Puede que la vote",0.11,0.209,0.177,0.083,0.076
"P27","Nunca la votaría",0.575,0.3,0.574,0.823,0.509
"P27","No sabe",0.063,0.021,0.066,0,0.286
"P28","La votaría",0.152,0.338,0.628,0.412,0.123
"P28","Puede que la vote",0.105,0.176,0.089,0.128,0.094
"P28","Nunca la votaría",0.707,0.452,0.272,0.46,0.592
"P28","No sabe",0.036,0.034,0.011,0,0.191
"P29","Si",0.492,0.397,0.449,0.215,0.253
"P29","No",0.508,0.603,0.551,0.785,0.747
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.822,0.088,0.083,0.096,0.171
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.59,0.028,0.072,0.059
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.107,0.292,0.889,0.121,0.142
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.001,0,0.233,0.024
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.002,0,0.126,0
"PRESIDENTE","En blanco",0.001,0,0,0.336,0.006
"PRESIDENTE","No sabe",0.01,0.027,0,0.016,0.598
"CORTA_PRESIDENTE","Si",0.168,0.26,0.107,0.126,0.246
"CORTA_PRESIDENTE","No",0.832,0.74,0.893,0.874,0.754
"CORTA_GOBERNADOR","Si",0.183,0.365,0.155,0.304,0.374
"CORTA_GOBERNADOR","No",0.817,0.635,0.845,0.696,0.626
