"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Si",0.306,0.334,0.281,0.33,0.334,0.308,0.196,0.329,0.32,0.241,0.233,0.242,0.214,0.253,0.529,0.255,0.308,0.268,0.28,0.306,0.307,0.275,0.328,0.331,0.291
"No",0.694,0.666,0.719,0.67,0.666,0.692,0.804,0.671,0.68,0.759,0.767,0.758,0.786,0.747,0.471,0.745,0.692,0.732,0.72,0.694,0.693,0.725,0.672,0.669,0.709
