"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Unidos para Cambiar misiones",0.257,0.25,0.263,0.214,0.214,0.376,0.276,0.249,0.237,0.307,0.544,0.41,0.094,0.104,0.063,0.559,0.124,0.075,0.042,0.293,0.221,0.232,0.227,0.295,0.238
"Juntos Avancemos",0.287,0.271,0.302,0.209,0.267,0.296,0.465,0.286,0.28,0.299,0.228,0.138,0.708,0.449,0.077,0.173,0.476,0.664,0.122,0.313,0.249,0.367,0.322,0.166,0.276
"De los liberales libertarios",0.262,0.316,0.211,0.389,0.251,0.196,0.142,0.234,0.286,0.272,0.129,0.251,0.135,0.234,0.646,0.164,0.29,0.233,0.624,0.207,0.246,0.23,0.301,0.385,0.317
"De la Izquierda",0.028,0.036,0.02,0.037,0.04,0.005,0.015,0.035,0.023,0.025,0.027,0.028,0.02,0.008,0.05,0.011,0.024,0.009,0.118,0.027,0.051,0.033,0.033,0.002,0.008
"Hacemos por nuestro país",0.02,0.014,0.026,0.014,0.025,0.018,0.022,0.018,0.025,0.014,0.011,0.023,0.001,0.005,0.046,0.016,0.008,0.013,0,0.009,0.021,0.022,0,0.042,0.048
"En blanco",0.05,0.044,0.056,0.049,0.071,0.035,0.024,0.076,0.034,0.03,0.021,0.089,0.025,0.065,0.016,0.042,0.028,0,0,0.046,0.068,0.021,0.038,0.046,0.073
"No sabe",0.096,0.069,0.122,0.088,0.132,0.074,0.056,0.102,0.115,0.053,0.04,0.061,0.017,0.135,0.102,0.035,0.05,0.006,0.094,0.105,0.144,0.095,0.079,0.064,0.04
