"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Mucho",0.399,0.451,0.595,0.213,0.469,0.127
"P05","Bastante",0.301,0.344,0.256,0.352,0.394,0.332
"P05","Poco",0.186,0.083,0.088,0.17,0.062,0.358
"P05","Nada",0.093,0.07,0.045,0.134,0.041,0.129
"P05","No sabe",0.021,0.052,0.016,0.131,0.034,0.054
"P06","Siempre",0.25,0.237,0.313,0.059,0.229,0.178
"P06","Casi siempre",0.232,0.376,0.349,0.223,0.206,0.185
"P06","Casi nunca",0.281,0.312,0.247,0.604,0.367,0.442
"P06","Nunca, pero esta es una excepción",0.237,0.075,0.091,0.114,0.198,0.195
"P10","Unidos para Cambiar misiones",0.135,0.253,0.549,0.453,0.504,0.205
"P10","Juntos Avancemos",0.313,0.393,0.253,0.146,0.051,0.136
"P10","De los liberales libertarios",0.416,0.214,0.124,0.198,0.141,0.185
"P10","De la Izquierda",0.041,0.021,0.016,0.035,0.032,0.022
"P10","Hacemos por nuestro país",0.004,0.018,0.003,0,0,0.093
"P10","En blanco",0.024,0.071,0.02,0.006,0.02,0.136
"P10","No sabe",0.067,0.03,0.035,0.162,0.252,0.223
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.182,0.351,0.589,0.545,0.397,0.241
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.323,0.302,0.134,0.116,0.081,0.222
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.414,0.25,0.252,0.181,0.179,0.137
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.016,0.031,0.003,0.042,0.121,0.017
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.018,0.003,0,0.034,0.067
"P13","En blanco",0.013,0.017,0.001,0.061,0,0.136
"P13","No sabe",0.044,0.031,0.018,0.055,0.188,0.18
"P16","Si",0.553,0.423,0.418,0.57,0.563,0.432
"P16","No",0.447,0.577,0.582,0.43,0.437,0.568
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.175,0.33,0.534,0.44,0.363,0.21
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.22,0.204,0.032,0.112,0.132
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.519,0.392,0.183,0.479,0.387,0.39
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.002,0.007,0.01,0.114,0
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0,0.007,0,0,0.052
"P17","En blanco",0,0.003,0,0.02,0,0.14
"P17","No sabe",0.039,0.053,0.065,0.019,0.024,0.076
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.233,0.269,0.468,0.56,0.149,0.242
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.526,0.535,0.357,0.024,0.29,0.283
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.179,0.161,0.054,0.166,0.036,0.235
"P20","En blanco",0.027,0.014,0.007,0.174,0.079,0.14
"P20","No sabe",0.035,0.021,0.114,0.076,0.446,0.1
"P24","Totalmente seguro.",0.819,0.641,0.673,0.506,0.53,0.433
"P24","Bastante seguro",0.07,0.225,0.129,0.131,0.13,0.148
"P24","Algo seguro",0.071,0.055,0.145,0.174,0.153,0.119
"P24","Para nada seguro",0.04,0.079,0.053,0.189,0.187,0.3
"P25","Tiene Decidido que va a ir a votar.",0.913,0.878,0.954,0.812,0.75,0.872
"P25","Tiene dudas sobre si va a ir a  votar",0.061,0.089,0.027,0.142,0.126,0.091
"P25","Tiene Decidido que no va a ir a votar",0.026,0.033,0.019,0.046,0.124,0.037
"P26","La votaría",0.333,0.483,0.719,0.697,0.447,0.364
"P26","Puede que la vote",0.074,0.088,0.086,0.093,0.149,0.043
"P26","Nunca la votaría",0.543,0.403,0.191,0.21,0.305,0.464
"P26","No sabe",0.05,0.026,0.004,0,0.099,0.129
"P27","La votaría",0.317,0.402,0.209,0.242,0.053,0.196
"P27","Puede que la vote",0.173,0.15,0.122,0.087,0.256,0.212
"P27","Nunca la votaría",0.451,0.4,0.625,0.547,0.488,0.566
"P27","No sabe",0.059,0.048,0.044,0.124,0.203,0.026
"P28","La votaría",0.472,0.293,0.142,0.219,0.146,0.116
"P28","Puede que la vote",0.142,0.103,0.108,0.139,0.174,0.236
"P28","Nunca la votaría",0.35,0.567,0.712,0.621,0.521,0.641
"P28","No sabe",0.036,0.037,0.038,0.021,0.159,0.007
"P29","Si",0.375,0.477,0.485,0.534,0.295,0.231
"P29","No",0.625,0.523,0.515,0.466,0.705,0.769
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.188,0.372,0.652,0.468,0.563,0.202
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.296,0.29,0.137,0.037,0.078,0.143
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.458,0.28,0.166,0.363,0.219,0.296
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.013,0.003,0.003,0.024,0.094,0.017
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.003,0.003,0,0.034,0.026
"PRESIDENTE","En blanco",0.004,0.012,0,0.046,0,0.136
"PRESIDENTE","No sabe",0.037,0.04,0.039,0.062,0.012,0.18
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.218,0.345,0.635,0.541,0.448,0.222
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.448,0.43,0.196,0.032,0.168,0.229
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.261,0.178,0.115,0.172,0.014,0.206
"GOBERNADOR","En blanco",0.035,0.022,0.003,0.16,0.108,0.153
"GOBERNADOR","No sabe",0.038,0.025,0.051,0.095,0.262,0.19
"CORTA_PRESIDENTE","Si",0.187,0.177,0.193,0.344,0.34,0.199
