"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.346,0.397,0.508,0.332
"P05","Bastante",0.378,0.308,0.264,0.379
"P05","Poco",0.171,0.163,0.097,0.27
"P05","Nada",0.048,0.104,0.1,0.019
"P05","No sabe",0.057,0.028,0.031,0
"P06","Siempre",0.219,0.208,0.282,0.252
"P06","Casi siempre",0.247,0.353,0.308,0.511
"P06","Casi nunca",0.364,0.318,0.288,0.095
"P06","Nunca, pero esta es una excepción",0.17,0.121,0.122,0.142
"P10","Unidos para Cambiar misiones",0.067,0.228,0.424,0.237
"P10","Juntos Avancemos",0.251,0.334,0.331,0.1
"P10","De los liberales libertarios",0.571,0.275,0.088,0.412
"P10","De la Izquierda",0.038,0.017,0.027,0
"P10","Hacemos por nuestro país",0.004,0,0.013,0
"P10","En blanco",0.018,0.072,0.051,0.016
"P10","No sabe",0.051,0.074,0.066,0.235
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.152,0.271,0.47,0.33
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.179,0.295,0.313,0.222
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.63,0.256,0.109,0.208
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.025,0.047,0.019,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.014,0.01,0
"P13","En blanco",0.001,0.04,0.022,0
"P13","No sabe",0.01,0.077,0.057,0.24
"P16","Si",0.612,0.635,0.352,0.628
"P16","No",0.388,0.365,0.648,0.372
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.134,0.131,0.474,0.211
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.198,0.248,0.279,0.141
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.666,0.487,0.196,0.276
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.018,0
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0.013,0
"P17","En blanco",0,0.013,0,0
"P17","No sabe",0.002,0.121,0.02,0.372
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.137,0.173,0.454,0.177
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.576,0.686,0.337,0.35
