"var","categoria","Unidos para Cambiar misiones","Juntos Avancemos","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.546,0.468,0.35,0.486,0.135,0.305,0.193
"P05","Bastante",0.274,0.309,0.364,0.264,0.356,0.193,0.286
"P05","Poco",0.105,0.122,0.186,0.188,0.315,0.341,0.168
"P05","Nada",0.04,0.084,0.029,0.062,0.102,0.133,0.242
"P05","No sabe",0.035,0.017,0.071,0,0.092,0.028,0.111
"P06","Siempre",0.328,0.27,0.191,0.136,0.23,0.118,0.127
"P06","Casi siempre",0.253,0.335,0.299,0.135,0.251,0.297,0.227
"P06","Casi nunca",0.322,0.283,0.327,0.526,0.35,0.305,0.363
"P06","Nunca, pero esta es una excepción",0.097,0.112,0.183,0.203,0.169,0.28,0.283
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.717,0.208,0.134,0.203,0.099,0.272,0.045
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.119,0.581,0.158,0.085,0.01,0.128,0.033
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.143,0.171,0.666,0.282,0.125,0.181,0.205
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.006,0.021,0.011,0.43,0.026,0.009,0.043
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0,0.012,0,0.74,0,0.014
"P13","En blanco",0.007,0.014,0.007,0,0,0.405,0.01
"P13","No sabe",0.008,0.005,0.012,0,0,0.005,0.65
"P16","Si",0.357,0.507,0.613,0.469,0.763,0.679,0.567
"P16","No",0.643,0.493,0.387,0.531,0.237,0.321,0.433
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.65,0.263,0.128,0.268,0,0.358,0.09
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.511,0.085,0,0,0.113,0.064
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.154,0.207,0.785,0.6,0.828,0.203,0.426
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0,0,0.132,0,0,0.008
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0,0,0.172,0,0
"P17","En blanco",0.005,0,0,0,0,0.262,0.02
"P17","No sabe",0.043,0.019,0.002,0,0,0.064,0.392
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.629,0.232,0.195,0.022,0.251,0.251,0.148
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.143,0.625,0.505,0.688,0.274,0.28,0.457
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.086,0.128,0.216,0.198,0.431,0.21,0
"P20","En blanco",0.024,0.001,0.061,0,0.044,0.214,0.051
"P20","No sabe",0.118,0.014,0.023,0.092,0,0.045,0.344
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.191,0.403,0.593,0.545,0.132,0.216,0.374
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.275,0.39,0.234,0.216,0.401,0.495,0.127
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.355,0.15,0.081,0.1,0.041,0.082,0.09
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.085,0.025,0.038,0.062,0,0.007,0.12
