"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.351,0.334,0.367,0.336,0.343,0.382,0.356,0.402,0.291,0.36,0.651,0.559,0.162,0.186,0.109,0.634,0.138,0.261,0.204,0.407,0.351,0.286,0.321,0.362,0.278
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.221,0.288,0.151,0.239,0.307,0.424,0.192,0.3,0.3,0.179,0.113,0.608,0.431,0.056,0.136,0.483,0.488,0.075,0.283,0.2,0.349,0.285,0.211,0.2
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.34,0.407,0.279,0.479,0.337,0.28,0.172,0.355,0.362,0.274,0.164,0.168,0.208,0.306,0.799,0.207,0.347,0.219,0.688,0.272,0.396,0.276,0.333,0.367,0.478
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.021,0.013,0.006,0.029,0.009,0.018,0.017,0.008,0.033,0,0.064,0.015,0.03,0.012,0.003,0.016,0.018,0.033,0.009,0.007,0.035,0.043,0,0.026
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.007,0.018,0.016,0.021,0,0.005,0.002,0.02,0.022,0.006,0.029,0,0.005,0.024,0.012,0.005,0.014,0,0.003,0.025,0.007,0,0.036,0.018
"En blanco",0.023,0.01,0.035,0.012,0.031,0.022,0.025,0.032,0.019,0.011,0,0.067,0.007,0.042,0,0.008,0.011,0,0,0.026,0.021,0.047,0.018,0.024,0
