"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Si",0.423,0.422,0.425,0.406,0.406,0.475,0.423,0.467,0.399,0.384,0.492,0.42,0.389,0.459,0.412,0.494,0.395,0.333,0.372,0.441,0.402,0.408,0.346,0.517,0.423
"No",0.577,0.578,0.575,0.594,0.594,0.525,0.577,0.533,0.601,0.616,0.508,0.58,0.611,0.541,0.588,0.506,0.605,0.667,0.628,0.559,0.598,0.592,0.654,0.483,0.577
