"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.453,0.351,0.197
"P05","Bastante",0.304,0.26,0.394
"P05","Poco",0.128,0.262,0.191
"P05","Nada",0.074,0.119,0.184
"P05","No sabe",0.041,0.008,0.034
"P06","Siempre",0.255,0.185,0.113
"P06","Casi siempre",0.295,0.293,0.289
"P06","Casi nunca",0.313,0.298,0.307
"P06","Nunca, pero esta es una excepción",0.137,0.224,0.291
"P10","Unidos para Cambiar misiones",0.278,0.283,0.118
"P10","Juntos Avancemos",0.301,0.292,0.255
"P10","De los liberales libertarios",0.281,0.315,0.087
"P10","De la Izquierda",0.028,0,0.132
"P10","Hacemos por nuestro país",0.008,0.027,0.018
"P10","En blanco",0.045,0.008,0.092
"P10","No sabe",0.059,0.075,0.298
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.336,0.313,0.375
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.267,0.19,0.193
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.308,0.35,0.043
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.025,0,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.027,0.018
"P13","En blanco",0.017,0.046,0.073
"P13","No sabe",0.039,0.074,0.298
"P16","Si",0.479,0.548,0.436
"P16","No",0.521,0.452,0.564
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.29,0.281,0.397
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.167,0.156
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.409,0.493,0.378
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0,0
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0,0.04
"P17","En blanco",0.011,0,0.029
"P17","No sabe",0.05,0.059,0
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.294,0.251,0.145
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.479,0.338,0.494
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.137,0.226,0.032
"P20","En blanco",0.039,0.034,0.04
"P20","No sabe",0.051,0.151,0.289
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.398,0.34,0.327
"P23","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.293,0.378,0.317
"P23","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.191,0.068,0.111
"P23","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.044,0.098,0.073
"P23","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.049,0.11
"P23","No sabe",0.051,0.067,0.062
"P24","Totalmente seguro.",0.763,0.16,0.14
"P24","Bastante seguro",0.1,0.595,0
"P24","Algo seguro",0.07,0.139,0.555
"P24","Para nada seguro",0.067,0.106,0.305
"P26","La votaría",0.493,0.327,0.146
"P26","Puede que la vote",0.062,0.313,0.111
"P26","Nunca la votaría",0.418,0.264,0.531
"P26","No sabe",0.027,0.096,0.212
"P27","La votaría",0.323,0.118,0.227
"P27","Puede que la vote",0.144,0.305,0.204
"P27","Nunca la votaría",0.49,0.385,0.354
"P27","No sabe",0.043,0.192,0.215
"P28","La votaría",0.337,0.211,0.061
"P28","Puede que la vote",0.12,0.286,0.049
"P28","Nunca la votaría",0.513,0.388,0.788
"P28","No sabe",0.03,0.115,0.102
"P29","Si",0.436,0.285,0.366
"P29","No",0.564,0.715,0.634
"PRESIDENTE","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.348,0.4,0.347
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.13,0.119
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.324,0.428,0.211
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0,0.019
"PRESIDENTE","En blanco",0.014,0.008,0.073
"PRESIDENTE","No sabe",0.045,0.034,0.231
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.352,0.382,0.263
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.378,0.221,0.265
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.186,0.285,0.04
"GOBERNADOR","En blanco",0.039,0.025,0.08
"GOBERNADOR","No sabe",0.045,0.087,0.352
"CORTA_PRESIDENTE","Si",0.176,0.268,0.375
"CORTA_PRESIDENTE","No",0.824,0.732,0.625
