"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Bahl","Frigerio","Galimberti","Etchevere","Parana/Diamante","Concordia/San Salvador/Federación","Gualeguaychú/Ibicuy","Concepción del Uruguay/Colón","Villaguay/Federal/Feliciano/La Paz","Victoria/Gualeguay/Nogoya/Tala"
"Siempre",0.23,0.253,0.209,0.168,0.219,0.261,0.336,0.278,0.196,0.199,0.302,0.188,0.262,0.314,0.166,0.296,0.241,0.268,0.198,0.235,0.253,0.243,0.266,0.191,0.162
"Casi siempre",0.261,0.257,0.264,0.216,0.229,0.341,0.316,0.217,0.259,0.348,0.315,0.32,0.329,0.334,0.238,0.283,0.338,0.403,0.11,0.223,0.279,0.251,0.269,0.277,0.317
"Casi nunca",0.32,0.293,0.345,0.359,0.372,0.268,0.186,0.302,0.348,0.304,0.259,0.352,0.28,0.21,0.423,0.292,0.307,0.219,0.518,0.356,0.247,0.358,0.27,0.38,0.309
"Nunca, pero esta es una excepción",0.189,0.197,0.182,0.257,0.18,0.13,0.162,0.203,0.197,0.149,0.124,0.14,0.129,0.142,0.173,0.129,0.114,0.11,0.174,0.186,0.221,0.148,0.195,0.152,0.212
