"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","En blanco","No sabe"
"P05","Mucho",0.548,0.445,0.363,0.327,0.172,0.27,0.145
"P05","Bastante",0.293,0.309,0.351,0.191,0.355,0.174,0.329
"P05","Poco",0.09,0.13,0.172,0.209,0.352,0.306,0.184
"P05","Nada",0.047,0.063,0.057,0.176,0.081,0.198,0.284
"P05","No sabe",0.022,0.053,0.057,0.097,0.04,0.052,0.058
"P06","Siempre",0.324,0.237,0.22,0.074,0.241,0.051,0.12
"P06","Casi siempre",0.273,0.414,0.237,0.111,0.166,0.268,0.234
"P06","Casi nunca",0.299,0.239,0.372,0.387,0.415,0.428,0.338
"P06","Nunca, pero esta es una excepción",0.104,0.11,0.171,0.428,0.178,0.253,0.308
"P10","Unidos para Cambiar misiones",0.612,0.123,0.125,0.064,0,0.067,0.035
"P10","Juntos Avancemos",0.197,0.67,0.168,0.224,0,0.155,0.023
"P10","De los liberales libertarios",0.115,0.164,0.589,0.113,0.164,0.073,0.05
"P10","De la Izquierda",0.018,0.009,0.025,0.429,0,0,0
"P10","Hacemos por nuestro país",0.007,0.001,0.009,0.02,0.778,0,0
"P10","En blanco",0.039,0.022,0.027,0.015,0,0.674,0.004
"P10","No sabe",0.012,0.011,0.057,0.135,0.058,0.031,0.888
"P16","Si",0.374,0.485,0.624,0.619,0.729,0.608,0.645
"P16","No",0.626,0.515,0.376,0.381,0.271,0.392,0.355
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.614,0.213,0.184,0.135,0,0.213,0.026
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.125,0.566,0.088,0,0.032,0.173,0.133
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.212,0.198,0.721,0.393,0.874,0.087,0.442
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.191,0,0,0.01
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0,0,0,0.094,0,0
"P17","En blanco",0.004,0,0,0.041,0,0.527,0
"P17","No sabe",0.034,0.023,0.007,0.24,0,0,0.389
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.617,0.147,0.218,0.078,0.333,0.142,0.121
