"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.197,0.208,0.267,0.214
"P08","Casi siempre",0.328,0.369,0.346,0.376
"P08","Casi nunca",0.339,0.29,0.296,0.235
"P08","Nunca, pero esta es una excepción",0.136,0.133,0.091,0.175
"P09","Muy de acuerdo",0.545,0.168,0.064,0.059
"P09","De acuerdo",0.28,0.276,0.07,0.065
"P09","Ni de acuerdo ni en desacuerdo",0.139,0.384,0.23,0.46
"P09","En desacuerdo",0.018,0.094,0.244,0.22
"P09","Muy en desacuerdo",0.012,0.063,0.382,0.158
"P09","No sabe",0.006,0.015,0.01,0.038
"P10","De acuerdo",0.796,0.342,0.121,0.146
"P10","Ni de acuerdo ni en desacuerdo",0.13,0.347,0.168,0.224
"P10","En desacuerdo",0.047,0.208,0.627,0.223
"P10","No sabe",0.027,0.103,0.084,0.407
"P11","De acuerdo",0.843,0.516,0.164,0.198
"P11","Ni de acuerdo ni en desacuerdo",0.1,0.305,0.245,0.163
"P11","En desacuerdo",0.045,0.142,0.512,0.341
"P11","No sabe",0.012,0.037,0.079,0.298
"P12","De acuerdo",0.957,0.595,0.189,0.347
"P12","Ni de acuerdo ni en desacuerdo",0.025,0.271,0.243,0.126
"P12","En desacuerdo",0.014,0.109,0.47,0.237
"P12","No sabe",0.004,0.025,0.098,0.29
"P14","De acuerdo",0.839,0.291,0.118,0.196
"P14","Ni de acuerdo ni en desacuerdo",0.123,0.552,0.066,0.182
"P14","En desacuerdo",0.027,0.119,0.781,0.138
"P14","No sabe",0.011,0.038,0.035,0.484
"P15","De acuerdo",0.738,0.396,0.204,0.266
"P15","Ni de acuerdo ni en desacuerdo",0.196,0.398,0.109,0.14
"P15","En desacuerdo",0.044,0.161,0.651,0.187
"P15","No sabe",0.022,0.045,0.036,0.407
"P16","De acuerdo",0.886,0.582,0.186,0.352
"P16","Ni de acuerdo ni en desacuerdo",0.072,0.254,0.123,0.116
"P16","En desacuerdo",0.028,0.091,0.651,0.12
"P16","No sabe",0.014,0.073,0.04,0.412
"P17","De acuerdo",0.673,0.297,0.093,0.176
"P17","Ni de acuerdo ni en desacuerdo",0.19,0.278,0.03,0.115
"P17","En desacuerdo",0.122,0.38,0.86,0.479
"P17","No sabe",0.015,0.045,0.017,0.23
"P18","De acuerdo",0.638,0.232,0.045,0.059
"P18","Ni de acuerdo ni en desacuerdo",0.222,0.361,0.032,0.165
"P18","En desacuerdo",0.106,0.334,0.881,0.457
"P18","No sabe",0.034,0.073,0.042,0.319
"P19","De acuerdo",0.822,0.402,0.078,0.141
"P19","Ni de acuerdo ni en desacuerdo",0.095,0.198,0.048,0.193
"P19","En desacuerdo",0.071,0.369,0.857,0.474
"P19","No sabe",0.012,0.031,0.017,0.192
"P20","De acuerdo",0.764,0.352,0.074,0.126
"P20","Ni de acuerdo ni en desacuerdo",0.149,0.265,0.072,0.262
"P20","En desacuerdo",0.07,0.309,0.835,0.332
"P20","No sabe",0.017,0.074,0.019,0.28
"P21","De acuerdo",0.8,0.394,0.066,0.162
"P21","Ni de acuerdo ni en desacuerdo",0.109,0.245,0.062,0.126
"P21","En desacuerdo",0.074,0.337,0.844,0.483
"P21","No sabe",0.017,0.024,0.028,0.229
"P22","Si",0.458,0.398,0.598,0.328
"P22","No",0.353,0.237,0.164,0.191
"P22","No sabe",0.189,0.365,0.238,0.481
"P23","Si",0.636,0.243,0.108,0.218
"P23","No",0.283,0.592,0.761,0.632
"P23","No sabe",0.081,0.165,0.131,0.15
"P24","Si",0.549,0.207,0.058,0.082
"P24","No",0.348,0.588,0.819,0.713
"P24","No sabe",0.103,0.205,0.123,0.205
"P25","Si",0.584,0.267,0.133,0.078
"P25","No",0.326,0.597,0.752,0.701
"P25","No sabe",0.09,0.136,0.115,0.221
"P26","A favor",0.858,0.478,0.096,0.215
"P26","En contra",0.071,0.284,0.776,0.447
"P26","No sabe",0.071,0.238,0.128,0.338
