"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P08","Siempre",0.2,0.17,0.183,0.231,0.278,0.265
"P08","Casi siempre",0.32,0.398,0.322,0.354,0.364,0.235
"P08","Casi nunca",0.327,0.328,0.339,0.307,0.268,0.289
"P08","Nunca, pero esta es una excepción",0.153,0.104,0.156,0.108,0.09,0.211
"P10","De acuerdo",0.896,0.589,0.265,0.14,0.038,0.26
"P10","Ni de acuerdo ni en desacuerdo",0.053,0.311,0.3,0.145,0.12,0.135
"P10","En desacuerdo",0.031,0.047,0.283,0.491,0.737,0.112
"P10","No sabe",0.02,0.053,0.152,0.224,0.105,0.493
"P11","De acuerdo",0.836,0.729,0.462,0.275,0.141,0.384
"P11","Ni de acuerdo ni en desacuerdo",0.106,0.184,0.232,0.246,0.254,0.169
"P11","En desacuerdo",0.041,0.057,0.247,0.307,0.519,0.206
"P11","No sabe",0.017,0.03,0.059,0.172,0.086,0.241
"P12","De acuerdo",0.916,0.863,0.603,0.35,0.152,0.536
"P12","Ni de acuerdo ni en desacuerdo",0.04,0.092,0.168,0.236,0.283,0.206
"P12","En desacuerdo",0.031,0.031,0.171,0.27,0.46,0.169
"P12","No sabe",0.013,0.014,0.058,0.144,0.105,0.089
"P13","De acuerdo",0.852,0.663,0.335,0.119,0.071,0.306
"P13","Ni de acuerdo ni en desacuerdo",0.109,0.272,0.383,0.255,0.157,0.329
"P13","En desacuerdo",0.029,0.049,0.163,0.472,0.671,0.151
"P13","No sabe",0.01,0.016,0.119,0.154,0.101,0.214
"P14","De acuerdo",0.816,0.703,0.388,0.16,0.081,0.322
"P14","Ni de acuerdo ni en desacuerdo",0.136,0.224,0.366,0.21,0.153,0.217
"P14","En desacuerdo",0.031,0.061,0.161,0.501,0.71,0.269
"P14","No sabe",0.017,0.012,0.085,0.129,0.056,0.192
"P15","De acuerdo",0.749,0.63,0.41,0.296,0.184,0.465
"P15","Ni de acuerdo ni en desacuerdo",0.194,0.257,0.333,0.15,0.1,0.137
"P15","En desacuerdo",0.043,0.093,0.165,0.424,0.654,0.126
"P15","No sabe",0.014,0.02,0.092,0.13,0.062,0.272
"P16","De acuerdo",0.894,0.813,0.569,0.306,0.152,0.528
"P16","Ni de acuerdo ni en desacuerdo",0.059,0.102,0.231,0.174,0.131,0.147
"P16","En desacuerdo",0.035,0.062,0.107,0.381,0.642,0.054
"P16","No sabe",0.012,0.023,0.093,0.139,0.075,0.271
"P17","De acuerdo",0.76,0.568,0.243,0.076,0.038,0.328
"P17","Ni de acuerdo ni en desacuerdo",0.153,0.242,0.271,0.06,0.053,0.07
"P17","En desacuerdo",0.078,0.161,0.433,0.78,0.881,0.427
"P17","No sabe",0.009,0.029,0.053,0.084,0.028,0.175
"P18","De acuerdo",0.714,0.497,0.195,0.066,0.025,0.245
"P18","Ni de acuerdo ni en desacuerdo",0.188,0.334,0.303,0.072,0.03,0.072
"P18","En desacuerdo",0.073,0.113,0.394,0.749,0.93,0.481
"P18","No sabe",0.025,0.056,0.108,0.113,0.015,0.202
"P19","De acuerdo",0.858,0.755,0.345,0.131,0.025,0.439
"P19","Ni de acuerdo ni en desacuerdo",0.085,0.115,0.226,0.041,0.059,0.035
"P19","En desacuerdo",0.05,0.116,0.369,0.762,0.911,0.387
"P19","No sabe",0.007,0.014,0.06,0.066,0.005,0.139
"P20","De acuerdo",0.804,0.688,0.303,0.118,0.042,0.218
"P20","Ni de acuerdo ni en desacuerdo",0.117,0.196,0.283,0.122,0.062,0.324
"P20","En desacuerdo",0.071,0.072,0.318,0.683,0.888,0.253
"P20","No sabe",0.008,0.044,0.096,0.077,0.008,0.205
"P21","De acuerdo",0.85,0.701,0.346,0.131,0.027,0.464
"P21","Ni de acuerdo ni en desacuerdo",0.094,0.181,0.202,0.078,0.062,0.11
"P21","En desacuerdo",0.05,0.093,0.381,0.733,0.899,0.286
"P21","No sabe",0.006,0.025,0.071,0.058,0.012,0.14
"P22","Si",0.432,0.423,0.385,0.599,0.703,0.498
"P22","No",0.406,0.304,0.224,0.17,0.093,0.058
"P22","No sabe",0.162,0.273,0.391,0.231,0.204,0.444
"P23","Si",0.694,0.515,0.231,0.11,0.131,0.235
"P23","No",0.232,0.352,0.599,0.813,0.774,0.686
"P23","No sabe",0.074,0.133,0.17,0.077,0.095,0.079
"P24","Si",0.61,0.437,0.175,0.086,0.042,0.186
"P24","No",0.286,0.433,0.595,0.84,0.87,0.573
"P24","No sabe",0.104,0.13,0.23,0.074,0.088,0.241
"P25","Si",0.658,0.512,0.189,0.125,0.077,0.301
"P25","No",0.27,0.377,0.614,0.798,0.842,0.556
"P25","No sabe",0.072,0.111,0.197,0.077,0.081,0.143
"P26","A favor",0.904,0.803,0.422,0.11,0.046,0.491
"P26","En contra",0.061,0.075,0.244,0.785,0.891,0.287
"P26","No sabe",0.035,0.122,0.334,0.105,0.063,0.222
