"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Siempre",0.207,0.199,0.214,0.131,0.21,0.213,0.294,0.26,0.18,0.192,0.234,0.213,0.203,0.221,0.174,0.193,0.204,0.299,0.166,0.096
"Casi siempre",0.344,0.333,0.355,0.303,0.315,0.392,0.405,0.326,0.347,0.358,0.336,0.349,0.357,0.357,0.346,0.315,0.366,0.259,0.338,0.372
"Casi nunca",0.315,0.337,0.295,0.358,0.337,0.305,0.216,0.257,0.34,0.336,0.324,0.29,0.306,0.289,0.357,0.349,0.308,0.262,0.348,0.444
"Nunca, pero esta es una excepción",0.134,0.131,0.136,0.208,0.138,0.09,0.085,0.157,0.133,0.114,0.106,0.148,0.134,0.133,0.123,0.143,0.122,0.18,0.148,0.088
