"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P09","Muy de acuerdo",0.277,0.272,0.305,0.349
"P09","De acuerdo",0.136,0.196,0.177,0.138
"P09","Ni de acuerdo ni en desacuerdo",0.152,0.164,0.189,0.214
"P09","En desacuerdo",0.181,0.171,0.162,0.141
"P09","Muy en desacuerdo",0.226,0.182,0.147,0.122
"P09","No sabe",0.028,0.015,0.02,0.036
"P10","De acuerdo",0.384,0.432,0.5,0.465
"P10","Ni de acuerdo ni en desacuerdo",0.197,0.171,0.162,0.13
"P10","En desacuerdo",0.329,0.267,0.254,0.221
"P10","No sabe",0.09,0.13,0.084,0.184
"P11","De acuerdo",0.477,0.557,0.557,0.566
"P11","Ni de acuerdo ni en desacuerdo",0.197,0.165,0.193,0.195
"P11","En desacuerdo",0.25,0.207,0.188,0.172
"P11","No sabe",0.076,0.071,0.062,0.067
"P12","De acuerdo",0.58,0.623,0.664,0.647
"P12","Ni de acuerdo ni en desacuerdo",0.144,0.145,0.138,0.155
"P12","En desacuerdo",0.208,0.169,0.144,0.142
"P12","No sabe",0.068,0.063,0.054,0.056
"P13","De acuerdo",0.429,0.449,0.516,0.502
"P13","Ni de acuerdo ni en desacuerdo",0.215,0.239,0.209,0.233
"P13","En desacuerdo",0.281,0.229,0.218,0.161
"P13","No sabe",0.075,0.083,0.057,0.104
"P14","De acuerdo",0.471,0.476,0.512,0.514
"P14","Ni de acuerdo ni en desacuerdo",0.207,0.208,0.195,0.21
"P14","En desacuerdo",0.295,0.251,0.235,0.207
"P14","No sabe",0.027,0.065,0.058,0.069
"P15","De acuerdo",0.517,0.49,0.505,0.552
"P15","Ni de acuerdo ni en desacuerdo",0.164,0.223,0.206,0.167
"P15","En desacuerdo",0.278,0.222,0.231,0.179
"P15","No sabe",0.041,0.065,0.058,0.102
"P16","De acuerdo",0.559,0.59,0.642,0.714
"P16","Ni de acuerdo ni en desacuerdo",0.159,0.122,0.105,0.107
"P16","En desacuerdo",0.245,0.207,0.196,0.107
"P16","No sabe",0.037,0.081,0.057,0.072
"P17","De acuerdo",0.38,0.393,0.432,0.486
"P17","Ni de acuerdo ni en desacuerdo",0.147,0.15,0.173,0.107
"P17","En desacuerdo",0.462,0.41,0.353,0.361
"P17","No sabe",0.011,0.047,0.042,0.046
"P18","De acuerdo",0.347,0.347,0.402,0.44
"P18","Ni de acuerdo ni en desacuerdo",0.166,0.183,0.202,0.196
"P18","En desacuerdo",0.434,0.407,0.352,0.264
"P18","No sabe",0.053,0.063,0.044,0.1
"P19","De acuerdo",0.436,0.479,0.542,0.583
"P19","Ni de acuerdo ni en desacuerdo",0.113,0.085,0.109,0.086
"P19","En desacuerdo",0.433,0.4,0.324,0.285
"P19","No sabe",0.018,0.036,0.025,0.046
"P20","De acuerdo",0.411,0.442,0.493,0.533
"P20","Ni de acuerdo ni en desacuerdo",0.154,0.137,0.177,0.12
"P20","En desacuerdo",0.396,0.377,0.294,0.277
"P20","No sabe",0.039,0.044,0.036,0.07
"P21","De acuerdo",0.432,0.462,0.523,0.572
"P21","Ni de acuerdo ni en desacuerdo",0.101,0.128,0.126,0.097
"P21","En desacuerdo",0.431,0.377,0.319,0.286
"P21","No sabe",0.036,0.033,0.032,0.045
"P22","Si",0.529,0.468,0.475,0.48
"P22","No ",0.277,0.262,0.271,0.265
"P22","No sabe",0.194,0.27,0.254,0.255
"P23","Si",0.377,0.383,0.411,0.451
"P23","No ",0.539,0.508,0.458,0.493
"P23","No sabe",0.084,0.109,0.131,0.056
"P24","Si",0.319,0.303,0.344,0.379
"P24","No ",0.587,0.578,0.504,0.525
"P24","No sabe",0.094,0.119,0.152,0.096
"P25","Si",0.327,0.342,0.419,0.454
"P25","No ",0.579,0.554,0.475,0.475
"P25","No sabe",0.094,0.104,0.106,0.071
"P26","A favor",0.492,0.5,0.588,0.636
"P26","En contra",0.402,0.385,0.29,0.255
"P26","No sabe",0.106,0.115,0.122,0.109
