"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.252,0.249,0.254,0.218,0.207,0.308,0.295,0.246,0.259,0.247,0.272,0.212,0.102,0.439,0.096
"Patricia Bullrich","Buena",0.183,0.178,0.188,0.232,0.157,0.183,0.195,0.14,0.216,0.185,0.17,0.208,0.077,0.272,0.217
"Patricia Bullrich","Ni buena ni mala",0.133,0.126,0.14,0.173,0.17,0.093,0.08,0.16,0.13,0.108,0.133,0.134,0.102,0.112,0.232
"Patricia Bullrich","Mala",0.092,0.094,0.089,0.088,0.097,0.081,0.098,0.1,0.08,0.099,0.088,0.099,0.097,0.067,0.168
"Patricia Bullrich","Muy mala",0.321,0.333,0.31,0.244,0.353,0.327,0.313,0.331,0.289,0.356,0.318,0.328,0.609,0.108,0.252
"Patricia Bullrich","No sabe",0.019,0.02,0.019,0.045,0.016,0.008,0.019,0.023,0.026,0.005,0.019,0.019,0.013,0.002,0.035
"Mauricio Macri","Muy buena",0.194,0.184,0.202,0.185,0.153,0.222,0.245,0.199,0.183,0.202,0.199,0.183,0.118,0.319,0.09
"Mauricio Macri","Buena",0.171,0.184,0.16,0.112,0.19,0.173,0.182,0.188,0.191,0.124,0.176,0.162,0.085,0.276,0.107
"Mauricio Macri","Ni buena ni mala",0.145,0.165,0.127,0.181,0.154,0.13,0.115,0.178,0.13,0.13,0.142,0.151,0.045,0.199,0.125
"Mauricio Macri","Mala",0.128,0.103,0.151,0.135,0.115,0.133,0.144,0.089,0.163,0.123,0.124,0.138,0.167,0.056,0.27
"Mauricio Macri","Muy mala",0.349,0.36,0.34,0.387,0.373,0.337,0.284,0.321,0.325,0.417,0.347,0.353,0.572,0.15,0.392
"Mauricio Macri","No sabe",0.013,0.004,0.02,0,0.015,0.005,0.03,0.025,0.008,0.004,0.012,0.013,0.013,0,0.016
"Maria Eugenia Vidal","Muy buena",0.17,0.159,0.18,0.139,0.151,0.172,0.233,0.185,0.168,0.156,0.18,0.15,0.048,0.303,0.035
"Maria Eugenia Vidal","Buena",0.19,0.185,0.195,0.188,0.142,0.225,0.243,0.156,0.206,0.207,0.208,0.154,0.06,0.328,0.284
"Maria Eugenia Vidal","Ni buena ni mala",0.152,0.144,0.159,0.12,0.172,0.151,0.139,0.159,0.177,0.106,0.16,0.135,0.043,0.189,0.347
"Maria Eugenia Vidal","Mala",0.142,0.176,0.112,0.227,0.155,0.113,0.084,0.164,0.147,0.111,0.115,0.198,0.205,0.095,0.068
"Maria Eugenia Vidal","Muy mala",0.332,0.332,0.331,0.326,0.371,0.323,0.267,0.316,0.287,0.414,0.323,0.348,0.639,0.079,0.227
"Maria Eugenia Vidal","No sabe",0.014,0.004,0.023,0,0.009,0.016,0.034,0.02,0.015,0.006,0.014,0.015,0.005,0.006,0.039
"Horacio Rodriguez Larreta","Muy buena",0.163,0.147,0.178,0.206,0.128,0.151,0.215,0.18,0.17,0.134,0.19,0.11,0.046,0.285,0.131
"Horacio Rodriguez Larreta","Buena",0.173,0.143,0.2,0.077,0.118,0.236,0.283,0.145,0.183,0.191,0.187,0.146,0.052,0.292,0.107
"Horacio Rodriguez Larreta","Ni buena ni mala",0.2,0.209,0.191,0.178,0.22,0.217,0.155,0.213,0.211,0.167,0.192,0.214,0.122,0.258,0.374
"Horacio Rodriguez Larreta","Mala",0.139,0.161,0.12,0.141,0.165,0.116,0.117,0.128,0.14,0.151,0.129,0.161,0.191,0.064,0.107
"Horacio Rodriguez Larreta","Muy mala",0.305,0.331,0.281,0.398,0.337,0.269,0.207,0.292,0.283,0.353,0.289,0.336,0.566,0.094,0.239
"Horacio Rodriguez Larreta","No sabe",0.02,0.009,0.03,0,0.032,0.011,0.023,0.042,0.013,0.004,0.013,0.033,0.023,0.007,0.042
"Facundo Manes","Muy buena",0.082,0.078,0.085,0.098,0.084,0.061,0.092,0.093,0.064,0.095,0.073,0.099,0.073,0.081,0.178
"Facundo Manes","Buena",0.171,0.171,0.171,0.108,0.212,0.164,0.152,0.154,0.202,0.145,0.168,0.176,0.144,0.204,0.213
"Facundo Manes","Ni buena ni mala",0.346,0.328,0.363,0.354,0.345,0.318,0.381,0.314,0.378,0.337,0.351,0.337,0.357,0.351,0.289
"Facundo Manes","Mala",0.155,0.161,0.149,0.091,0.108,0.24,0.187,0.141,0.131,0.204,0.159,0.146,0.179,0.161,0.071
"Facundo Manes","Muy mala",0.194,0.225,0.166,0.282,0.187,0.176,0.158,0.211,0.181,0.194,0.199,0.185,0.19,0.178,0.122
"Facundo Manes","No sabe",0.052,0.037,0.066,0.067,0.064,0.041,0.03,0.087,0.044,0.025,0.05,0.057,0.057,0.025,0.127
"Javier Milei","Muy buena",0.166,0.213,0.123,0.265,0.148,0.154,0.133,0.152,0.198,0.136,0.175,0.147,0.07,0.194,0.093
"Javier Milei","Buena",0.143,0.139,0.146,0.142,0.147,0.136,0.141,0.117,0.156,0.151,0.13,0.167,0.057,0.206,0.15
"Javier Milei","Ni buena ni mala",0.237,0.223,0.25,0.217,0.221,0.25,0.27,0.293,0.231,0.181,0.262,0.189,0.096,0.329,0.466
"Javier Milei","Mala",0.126,0.122,0.13,0.177,0.119,0.12,0.105,0.138,0.12,0.122,0.112,0.155,0.155,0.12,0.054
"Javier Milei","Muy mala",0.307,0.291,0.322,0.199,0.346,0.319,0.306,0.263,0.282,0.396,0.301,0.319,0.604,0.133,0.203
"Javier Milei","No sabe",0.021,0.012,0.029,0,0.019,0.021,0.045,0.037,0.013,0.014,0.02,0.023,0.018,0.018,0.034
"Wado de Pedro","Muy buena",0.153,0.133,0.172,0.121,0.169,0.14,0.167,0.127,0.143,0.199,0.151,0.158,0.326,0.055,0.065
"Wado de Pedro","Buena",0.113,0.114,0.112,0.11,0.113,0.106,0.123,0.105,0.112,0.123,0.111,0.116,0.223,0.049,0.017
"Wado de Pedro","Ni buena ni mala",0.17,0.183,0.157,0.201,0.175,0.165,0.138,0.147,0.199,0.153,0.18,0.149,0.166,0.154,0.253
"Wado de Pedro","Mala",0.161,0.147,0.174,0.142,0.169,0.136,0.195,0.189,0.156,0.135,0.159,0.165,0.107,0.194,0.123
"Wado de Pedro","Muy mala",0.345,0.388,0.306,0.348,0.306,0.415,0.33,0.355,0.329,0.358,0.345,0.345,0.151,0.516,0.339
"Wado de Pedro","No sabe",0.058,0.035,0.079,0.078,0.068,0.038,0.047,0.077,0.061,0.032,0.054,0.067,0.027,0.032,0.203
"CFK","Muy buena",0.245,0.223,0.266,0.25,0.243,0.235,0.26,0.232,0.231,0.282,0.236,0.264,0.575,0.042,0.122
"CFK","Buena",0.069,0.073,0.064,0.054,0.09,0.061,0.048,0.096,0.053,0.06,0.065,0.076,0.138,0.03,0.009
"CFK","Ni buena ni mala",0.07,0.071,0.069,0.081,0.083,0.066,0.04,0.089,0.056,0.069,0.077,0.056,0.112,0.03,0.081
"CFK","Mala",0.045,0.037,0.053,0,0.05,0.043,0.077,0.035,0.06,0.035,0.049,0.037,0.019,0.037,0.192
"CFK","Muy mala",0.564,0.593,0.538,0.615,0.53,0.594,0.55,0.536,0.595,0.551,0.569,0.554,0.155,0.86,0.596
"CFK","No sabe",0.007,0.003,0.01,0,0.004,0.001,0.025,0.012,0.005,0.003,0.004,0.013,0.001,0.001,0
