"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.493,0.371,0.45,0.541,0.604,0.426
"P04","Realizo changas o trabajos de vez en cuando",0.154,0.197,0.312,0.226,0.181,0.181
"P04","No tengo trabajo",0.168,0.174,0.171,0.153,0.1,0.184
"P04","Soy jubilado o pensionado",0.185,0.258,0.067,0.08,0.115,0.209
"P05","1",0.281,0.386,0.344,0.287,0.132,0.25
"P05","2",0.061,0.082,0.117,0.008,0.079,0.081
"P05","3",0.011,0.069,0.035,0.02,0.027,0.058
"P05","4",0.049,0.111,0.102,0.005,0.104,0.109
"P05","5",0.134,0.203,0.244,0.23,0.239,0.193
"P05","6",0.041,0.034,0.011,0.034,0.118,0.038
"P05","7",0.108,0.024,0.041,0.119,0.094,0.104
"P05","8",0.08,0.032,0.018,0.117,0.065,0.02
"P05","9",0.235,0.059,0.088,0.18,0.142,0.147
"P06","1",0.45,0.145,0.149,0.354,0.299,0.338
"P06","2",0.076,0.03,0.034,0.097,0.077,0.03
"P06","3",0.059,0.027,0.004,0.128,0.028,0.075
"P06","4",0.037,0.043,0.01,0.005,0.058,0.063
"P06","5",0.141,0.204,0.191,0.302,0.231,0.265
"P06","6",0.016,0.057,0.055,0.035,0.137,0.052
"P06","7",0.028,0.071,0.033,0.034,0.072,0.026
"P06","8",0.036,0.093,0.13,0,0.033,0.023
"P06","9",0.157,0.33,0.394,0.045,0.065,0.128
"P07","1",0.539,0.217,0.229,0.692,0.447,0.503
"P07","2",0.049,0.033,0.019,0.016,0.034,0.044
"P07","3",0.039,0.041,0.014,0.064,0.075,0.021
"P07","4",0.02,0.018,0.006,0.008,0.056,0.01
"P07","5",0.043,0.124,0.143,0.027,0.144,0.109
"P07","6",0.005,0.028,0.052,0,0.016,0.032
"P07","7",0.015,0.045,0.033,0.044,0.013,0.018
"P07","8",0.025,0.052,0.055,0,0.019,0.039
"P07","9",0.265,0.442,0.449,0.149,0.196,0.224
"P09","Del Frente de Todos y el peronismo",0.777,0.065,0.037,0.275,0.371,0.389
"P09","De Juntos por el cambio",0.092,0.739,0.189,0.046,0.265,0.143
"P09","De los Liberales libertarios",0.028,0.115,0.66,0,0.027,0.041
"P09","De la Izquierda",0.006,0.009,0.007,0.424,0.024,0.016
"P09","No sabe",0.097,0.072,0.107,0.255,0.313,0.411
"P10","A Alberto Fernández",0.12,0.148,0,0.265,0.076,0.186
"P10","A Sergio Massa",0.377,0.161,0.17,0.137,0.095,0.07
"P10","A algún candidato del peronismo",0.084,0.378,0.224,0.16,0.29,0.117
"P10","A algún candidato del kirchnerismo",0.419,0.313,0.606,0.438,0.539,0.627
"P11","A Alberto Fernández",0.114,0.069,0.365,0.381,0.06,0.174
"P11","A Sergio Massa",0.22,0.204,0,0.021,0.038,0.066
"P11","A algún candidato del peronismo",0.046,0.32,0.256,0.184,0.22,0.082
"P11","A Cristina Fernández de Kirchner",0.62,0.407,0.379,0.414,0.682,0.678
"P12","A Horacio Rodriguez Larreta",0.297,0.178,0.207,0.914,0.283,0.324
"P12","A Mauricio Macri",0.184,0.331,0.372,0,0.287,0.38
"P12","A Patricia Bullrich",0.238,0.423,0.379,0.086,0.082,0.113
"P12","A Facundo Manes",0.177,0.036,0.035,0,0.261,0.13
"P12","A Gerardo Morales",0.104,0.032,0.007,0,0.087,0.053
"P13","Seguro lo votaria",0.117,0.141,0.653,0.086,0.16,0.173
"P13","Quizás lo votaría",0.262,0.372,0.248,0.664,0.253,0.256
"P13","Nunca lo votaría",0.621,0.487,0.099,0.25,0.587,0.571
"P14","Lo votaría",0.042,0.489,0.181,0.098,0.063,0.073
"P14","Puede que lo vote",0.071,0.273,0.332,0.076,0.109,0.117
"P14","Nunca lo votaría",0.819,0.163,0.374,0.737,0.744,0.679
"P14","No sabe",0.068,0.075,0.113,0.089,0.084,0.131
"P15","Lo votaría",0.352,0.045,0.027,0.131,0.038,0.033
"P15","Puede que lo vote",0.429,0.089,0.166,0.119,0.161,0.167
"P15","Nunca lo votaría",0.201,0.841,0.761,0.466,0.682,0.552
"P15","No sabe",0.018,0.025,0.046,0.284,0.119,0.248
"P16","Lo votaría",0.284,0.049,0.024,0.019,0.059,0.071
"P16","Puede que lo vote",0.448,0.033,0.065,0.27,0.146,0.198
"P16","Nunca lo votaría",0.215,0.913,0.872,0.433,0.668,0.535
"P16","No sabe",0.053,0.005,0.039,0.278,0.127,0.196
"P17","La votaría",0.7,0.069,0.03,0.246,0.297,0.321
"P17","Puede que la vote",0.123,0.007,0.047,0.225,0.069,0.085
"P17","Nunca la votaría",0.137,0.922,0.896,0.47,0.55,0.431
"P17","No sabe",0.04,0.002,0.027,0.059,0.084,0.163
"P18","Lo votaría",0.112,0.28,0.089,0.045,0.105,0.073
"P18","Puede que lo vote",0.122,0.402,0.222,0.166,0.188,0.185
"P18","Nunca lo votaría",0.747,0.26,0.616,0.734,0.623,0.582
"P18","No sabe",0.019,0.058,0.073,0.055,0.084,0.16
"P19","Lo votaría",0.041,0.104,0.058,0.04,0.199,0.063
"P19","Puede que lo vote",0.173,0.358,0.225,0.094,0.181,0.18
"P19","Nunca lo votaría",0.642,0.487,0.577,0.465,0.534,0.521
"P19","No sabe",0.144,0.051,0.14,0.401,0.086,0.236
"P20","La votaría",0.041,0.63,0.23,0.031,0.053,0.042
"P20","Puede que la vote",0.056,0.241,0.32,0.044,0.14,0.147
"P20","Nunca la votaría",0.842,0.111,0.38,0.801,0.726,0.64
"P20","No sabe",0.061,0.018,0.07,0.124,0.081,0.171
"P21","Lo votaría",0.051,0.186,0.725,0.004,0.011,0.027
"P21","Puede que lo vote",0.048,0.286,0.178,0.124,0.12,0.169
"P21","Nunca lo votaría",0.852,0.438,0.092,0.654,0.789,0.674
"P21","No sabe",0.049,0.09,0.005,0.218,0.08,0.13
"P22","La votaría",0.028,0.237,0.137,0,0.045,0.052
"P22","Puede que la vote",0.072,0.379,0.264,0.061,0.139,0.103
"P22","Nunca la votaría",0.858,0.29,0.532,0.675,0.748,0.618
"P22","No sabe",0.042,0.094,0.067,0.264,0.068,0.227
"P23","Lo votaría",0.323,0.046,0.036,0.164,0.11,0.072
"P23","Puede que lo vote",0.259,0.067,0.088,0.285,0.223,0.102
"P23","Nunca lo votaría",0.322,0.845,0.722,0.309,0.588,0.536
"P23","No sabe",0.096,0.042,0.154,0.242,0.079,0.29
"P24","Lo votaría",0.065,0.074,0.012,0.107,0.056,0.018
"P24","Puede que lo vote",0.13,0.268,0.128,0.065,0.184,0.094
"P24","Nunca lo votaría",0.652,0.569,0.681,0.518,0.583,0.57
"P24","No sabe",0.153,0.089,0.179,0.31,0.177,0.318
"P25","Mauricio Macri por Juntos por el Cambio",0.026,0.301,0.094,0.004,0.058,0.065
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.13,0.063,0.229,0.085,0.087
"P25","Patricia Bullrich por Juntos por el Cambio",0.021,0.391,0.073,0,0.038,0.016
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.035,0.034,0.008,0.197,0.076
"P25","Alberto Fernández por el Frente de Todos",0.096,0.029,0.023,0.03,0.042,0.06
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.723,0.043,0.027,0.185,0.302,0.314
"P25","Javier Milei por los liberales libertarios",0.008,0.022,0.666,0,0.011,0.024
"P25","Nicolás del Caño por la izquierda",0.006,0.002,0,0.396,0.004,0
"P25","Otros candidatos",0.026,0.014,0.004,0.111,0.183,0.044
"P25","Aún no lo tengo decidido",0.026,0.033,0.016,0.037,0.08,0.314
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.177,0.113,0.235,0.098,0.094
