"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.095,0.091,0.098,0.111,0.069,0.073,0.163,0.089,0.108,0.082,0.099,0.085,0.086,0.117,0.093,6
"Buena",0.157,0.155,0.158,0.107,0.152,0.179,0.178,0.191,0.13,0.156,0.135,0.199,0.336,0.041,0.185,6
"Ni buena ni mala",0.145,0.138,0.152,0.109,0.191,0.119,0.119,0.153,0.15,0.13,0.151,0.134,0.252,0.059,0.121,6
"Mala",0.098,0.074,0.121,0.096,0.105,0.09,0.099,0.073,0.112,0.107,0.107,0.081,0.144,0.071,0.138,6
"Muy mala",0.492,0.54,0.449,0.555,0.467,0.537,0.429,0.476,0.488,0.517,0.503,0.472,0.16,0.711,0.463,6
"No sabe",0.013,0.002,0.022,0.022,0.016,0.002,0.012,0.018,0.012,0.008,0.005,0.029,0.022,0.001,0,6
"Positiva",0.252,0.246,0.256,0.218,0.221,0.252,0.341,0.28,0.238,0.238,0.234,0.284,0.422,0.158,0.278,4
"Neutra",0.145,0.138,0.152,0.109,0.191,0.119,0.119,0.153,0.15,0.13,0.151,0.134,0.252,0.059,0.121,4
"Negativa",0.59,0.614,0.57,0.651,0.572,0.627,0.528,0.549,0.6,0.624,0.61,0.553,0.304,0.782,0.601,4
"No sabe",0.013,0.002,0.022,0.022,0.016,0.002,0.012,0.018,0.012,0.008,0.005,0.029,0.022,0.001,0,4
