"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Mauricio Macri por Juntos por el Cambio",0.127,0.128,0.127,0.082,0.108,0.137,0.207,0.124,0.131,0.125,0.131,0.119,0.026,0.266,0.087
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.064,0.109,0.098,0.07,0.095,0.104,0.065,0.103,0.09,0.1,0.062,0.022,0.165,0.124
"Patricia Bullrich por Juntos por el Cambio",0.149,0.157,0.141,0.066,0.144,0.198,0.179,0.168,0.138,0.142,0.164,0.118,0.05,0.284,0.138
"Facundo Manes por Juntos por el Cambio",0.05,0.058,0.042,0.073,0.038,0.051,0.05,0.029,0.056,0.066,0.05,0.051,0.021,0.051,0.207
"Alberto Fernández por el Frente de Todos",0.061,0.031,0.089,0.129,0.046,0.039,0.05,0.095,0.057,0.026,0.063,0.057,0.116,0.014,0.028
"Cristina Fernández de Kirchner por el Frente de Todos",0.275,0.266,0.282,0.217,0.299,0.291,0.261,0.306,0.25,0.275,0.267,0.291,0.621,0.047,0.037
"Javier Milei por los liberales libertarios",0.124,0.18,0.071,0.198,0.143,0.093,0.043,0.114,0.131,0.124,0.112,0.147,0.04,0.116,0.14
"Nicolás del Caño por la izquierda",0.017,0.026,0.009,0.021,0.029,0.006,0.002,0.012,0.021,0.018,0.016,0.018,0.011,0.006,0.044
"Otros candidatos",0.042,0.032,0.052,0.036,0.062,0.026,0.026,0.033,0.036,0.063,0.042,0.042,0.04,0.018,0.102
"Aún no lo tengo decidido",0.068,0.058,0.078,0.08,0.061,0.064,0.078,0.054,0.077,0.071,0.055,0.095,0.053,0.033,0.093
