"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.42,0.48,0.467,0.403,0.514,0.376
"P04","Realizo changas o trabajos de vez en cuando",0.187,0.15,0.264,0.18,0.269,0.192
"P04","No tengo trabajo",0.149,0.156,0.189,0.281,0.107,0.214
"P04","Soy jubilado o pensionado",0.244,0.214,0.08,0.136,0.11,0.218
"P05","1",0.449,0.241,0.336,0.2,0.191,0.212
"P05","2",0.061,0.065,0.109,0.134,0.072,0.096
"P05","3",0.051,0.02,0.043,0,0.054,0.051
"P05","4",0.078,0.079,0.117,0.021,0.11,0.079
"P05","5",0.205,0.095,0.23,0.2,0.249,0.26
"P05","6",0.023,0.058,0.011,0.042,0.101,0.042
"P05","7",0.061,0.114,0.033,0.159,0.029,0.063
"P05","8",0.023,0.101,0.017,0.076,0.053,0.034
"P05","9",0.049,0.227,0.104,0.168,0.141,0.163
"P06","1",0.181,0.451,0.145,0.339,0.234,0.332
"P06","2",0.042,0.071,0.029,0.089,0.061,0.036
"P06","3",0.024,0.064,0.007,0.146,0.038,0.066
"P06","4",0.035,0.057,0.01,0.006,0.04,0.051
"P06","5",0.187,0.127,0.196,0.246,0.315,0.243
"P06","6",0.049,0.024,0.053,0.081,0.108,0.052
"P06","7",0.077,0.027,0.044,0.028,0.033,0.041
"P06","8",0.091,0.035,0.131,0,0.037,0.016
"P06","9",0.314,0.144,0.385,0.065,0.134,0.163
"P07","1",0.26,0.625,0.212,0.664,0.286,0.404
"P07","2",0.024,0.051,0.01,0.007,0.073,0.037
"P07","3",0.036,0.042,0.014,0.08,0.066,0.032
"P07","4",0.028,0.012,0.005,0.01,0.046,0.012
"P07","5",0.107,0.054,0.139,0.036,0.156,0.095
"P07","6",0.014,0.012,0.059,0.034,0.008,0.03
"P07","7",0.043,0.01,0.043,0.05,0.011,0.026
"P07","8",0.048,0.019,0.055,0.061,0.019,0.043
"P07","9",0.44,0.175,0.463,0.058,0.335,0.321
"P09","Del Frente de Todos y el peronismo",0.144,0.783,0.034,0.244,0.251,0.331
"P09","De Juntos por el cambio",0.702,0.153,0.174,0.047,0.365,0.206
"P09","De los Liberales libertarios",0.044,0.004,0.669,0.029,0.056,0.064
"P09","De la Izquierda",0.008,0.01,0.013,0.449,0.024,0.016
"P09","No sabe",0.102,0.05,0.11,0.231,0.304,0.383
"P10","A Alberto Fernández",0.158,0.103,0,0.086,0.25,0.182
"P10","A Sergio Massa",0.38,0.266,0.238,0.472,0.286,0.229
"P10","A algún candidato del peronismo",0.24,0.089,0.301,0.258,0.272,0.125
"P10","A algún candidato del kirchnerismo",0.222,0.542,0.461,0.184,0.192,0.464
"P11","A Alberto Fernández",0.108,0.095,0.309,0.086,0.276,0.135
"P11","A Sergio Massa",0.225,0.148,0,0.405,0.167,0.206
"P11","A algún candidato del peronismo",0.202,0.037,0.301,0.258,0.236,0.122
"P11","A Cristina Fernández de Kirchner",0.465,0.72,0.39,0.251,0.321,0.537
"P12","A Horacio Rodriguez Larreta",0.271,0.134,0.111,0.319,0.095,0.161
"P12","A Mauricio Macri",0.336,0.358,0.25,0.197,0.238,0.383
"P12","A Patricia Bullrich",0.353,0.199,0.583,0.252,0.395,0.375
"P12","A Facundo Manes",0.017,0.192,0.056,0,0.203,0.049
"P12","A Gerardo Morales",0.023,0.117,0,0.232,0.069,0.032
"P13","Seguro lo votaria",0.155,0.184,0.584,0.107,0.104,0.073
"P13","Quizás lo votaría",0.336,0.364,0.289,0.378,0.367,0.379
"P13","Nunca lo votaría",0.509,0.452,0.127,0.515,0.529,0.548
"P14","Lo votaría",0.455,0.071,0.201,0.013,0.132,0.142
"P14","Puede que lo vote",0.232,0.09,0.344,0.043,0.15,0.105
"P14","Nunca lo votaría",0.257,0.783,0.356,0.83,0.596,0.593
"P14","No sabe",0.056,0.056,0.099,0.114,0.122,0.16
"P15","Lo votaría",0.06,0.28,0.044,0.158,0.109,0.095
"P15","Puede que lo vote",0.116,0.402,0.151,0.15,0.14,0.183
"P15","Nunca lo votaría",0.802,0.267,0.766,0.351,0.636,0.551
"P15","No sabe",0.022,0.051,0.039,0.341,0.115,0.171
"P16","Lo votaría",0.077,0.242,0.025,0.04,0.105,0.058
"P16","Puede que lo vote",0.089,0.43,0.042,0.264,0.124,0.177
"P16","Nunca lo votaría",0.807,0.273,0.9,0.38,0.706,0.584
"P16","No sabe",0.027,0.055,0.033,0.316,0.065,0.181
"P17","La votaría",0.11,0.763,0.017,0.206,0.194,0.232
"P17","Puede que la vote",0.038,0.082,0.042,0.27,0.058,0.104
"P17","Nunca la votaría",0.821,0.134,0.903,0.478,0.695,0.536
"P17","No sabe",0.031,0.021,0.038,0.046,0.053,0.128
"P18","Lo votaría",0.39,0.107,0.052,0.005,0.06,0.027
"P18","Puede que lo vote",0.399,0.07,0.231,0.059,0.28,0.266
"P18","Nunca lo votaría",0.174,0.808,0.651,0.878,0.532,0.546
"P18","No sabe",0.037,0.015,0.066,0.058,0.128,0.161
"P19","Lo votaría",0.126,0.034,0.051,0.021,0.177,0.049
"P19","Puede que lo vote",0.356,0.135,0.223,0.176,0.239,0.237
"P19","Nunca lo votaría",0.423,0.716,0.627,0.587,0.478,0.444
"P19","No sabe",0.095,0.115,0.099,0.216,0.106,0.27
"P20","La votaría",0.488,0.052,0.325,0.011,0.288,0.136
"P20","Puede que la vote",0.241,0.037,0.31,0.067,0.153,0.156
"P20","Nunca la votaría",0.202,0.863,0.321,0.884,0.51,0.566
"P20","No sabe",0.069,0.048,0.044,0.038,0.049,0.142
"P21","Lo votaría",0.125,0.032,0.716,0.012,0.047,0.057
"P21","Puede que lo vote",0.257,0.038,0.208,0.209,0.197,0.147
"P21","Nunca lo votaría",0.531,0.881,0.066,0.741,0.656,0.633
"P21","No sabe",0.087,0.049,0.01,0.038,0.1,0.163
"P22","La votaría",0.263,0.016,0.11,0.039,0.05,0.092
"P22","Puede que la vote",0.368,0.067,0.262,0.062,0.213,0.12
"P22","Nunca la votaría",0.27,0.853,0.55,0.776,0.683,0.592
"P22","No sabe",0.099,0.064,0.078,0.123,0.054,0.196
"P23","Lo votaría",0.07,0.396,0.033,0.005,0.021,0.025
"P23","Puede que lo vote",0.103,0.274,0.061,0.297,0.13,0.102
"P23","Nunca lo votaría",0.75,0.255,0.782,0.524,0.762,0.619
"P23","No sabe",0.077,0.075,0.124,0.174,0.087,0.254
"P24","Lo votaría",0.086,0.061,0.013,0.021,0.063,0.03
"P24","Puede que lo vote",0.266,0.105,0.136,0.242,0.204,0.116
"P24","Nunca lo votaría",0.5,0.731,0.692,0.459,0.598,0.539
"P24","No sabe",0.148,0.103,0.159,0.278,0.135,0.315
"P25","Mauricio Macri por Juntos por el Cambio",0.258,0.056,0.11,0.019,0.096,0.103
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.252,0.027,0.023,0.094,0.03,0.023
"P25","Patricia Bullrich por Juntos por el Cambio",0.249,0.045,0.165,0.015,0.207,0.1
"P25","Facundo Manes por Juntos por el Cambio",0.032,0.011,0.039,0.025,0.193,0.061
"P25","Alberto Fernández por el Frente de Todos",0.031,0.053,0.022,0.133,0.08,0.092
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.119,0.772,0.027,0.181,0.153,0.19
"P25","Javier Milei por los liberales libertarios",0.005,0,0.587,0,0.005,0.041
"P25","Nicolás del Caño por la izquierda",0.001,0.004,0,0.515,0.002,0.004
"P25","Otros candidatos",0.011,0.01,0.005,0,0.156,0.102
"P25","Aún no lo tengo decidido",0.042,0.022,0.022,0.018,0.078,0.284
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.292,0.045,0.047,0.028,0.04,0.063
"P26","Patricia Bullrich por Juntos por el Cambio",0.454,0.066,0.219,0.052,0.277,0.151
"P26","Facundo Manes por Juntos por el Cambio",0.062,0.026,0.061,0.074,0.187,0.066
"P26","Wado de Pedro por el Frente de Todos",0.045,0.44,0.011,0,0.052,0.071
"P26","Sergio Massa por el Frente de Todos",0.087,0.348,0.026,0.313,0.16,0.175
"P26","Javier Milei por los liberales libertarios",0.02,0.023,0.557,0,0.032,0.056
"P26","Nicolás del Caño por la izquierda",0,0.004,0.069,0.287,0.015,0.005
"P26","Otros candidatos",0.008,0.011,0.004,0.144,0.11,0.023
"P26","Aún no lo tengo decidido",0.032,0.037,0.006,0.102,0.127,0.39
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.18,0.837,0.039,0.157,0.186,0.28
"P27","Mauricio Macri por Juntos por el Cambio",0.63,0.122,0.145,0.013,0.141,0.127
"P27","Javier Milei por los liberales libertarios",0.028,0.003,0.772,0,0.051,0.036
"P27","Nicolás del Caño por la izquierda",0.003,0.005,0.018,0.73,0.021,0.047
"P27","Otro candidato",0.097,0.012,0.011,0.016,0.518,0.06
"P27","Aún no lo tengo decidido",0.062,0.021,0.015,0.084,0.083,0.45
"P31","Sergio Massa por el Frente de Todos",0.174,0.654,0.037,0.262,0.155,0.163
"P31","Patricia Bullrich por Juntos por el Cambio",0.666,0.152,0.204,0.038,0.312,0.175
"P31","Javier Milei por los liberales libertarios",0.049,0.008,0.73,0.005,0.01,0.041
"P31","Nicolás del Caño por la izquierda",0.007,0.028,0.001,0.665,0.018,0.029
"P31","Otro candidato",0.041,0.077,0.005,0.03,0.483,0.051
"P31","Aún no lo tengo decidido",0.063,0.081,0.023,0,0.022,0.541
"P33","Sergio Massa por el Frente de Todos",0.107,0.669,0.032,0.294,0.179,0.18
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.777,0.104,0.039,0.008,0.124,0.078
"P33","Javier Milei por los liberales libertarios",0.032,0.025,0.902,0.016,0.014,0.056
"P33","Nicolás del Caño por la izquierda",0.001,0.033,0.01,0.607,0.019,0.029
"P33","Otro candidato",0.043,0.105,0.011,0,0.606,0.104
"P33","Aún no lo tengo decidido",0.04,0.064,0.006,0.075,0.058,0.553
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.17,0.818,0.042,0.197,0.2,0.265
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.747,0.084,0.017,0.028,0.184,0.099
"P35","Javier Milei por los liberales libertarios",0.032,0.023,0.912,0.016,0.025,0.062
"P35","Nicolás del Caño por la izquierda",0.004,0.017,0,0.486,0.007,0.009
"P35","Otro candidato",0.028,0.022,0.023,0.165,0.539,0.111
"P35","Aún no lo tengo decidido",0.019,0.036,0.006,0.108,0.045,0.454
"P36","Sergio Massa por el Frente de Todos",0.146,0.689,0.033,0.244,0.184,0.174
"P36","Mauricio Macri por Juntos por el Cambio",0.652,0.122,0.132,0.044,0.193,0.199
"P36","Javier Milei por los liberales libertarios",0.048,0.019,0.795,0.018,0.016,0.05
"P36","Nicolás del Caño por la izquierda",0.009,0.03,0.004,0.518,0.005,0.046
"P36","Otro candidato",0.09,0.088,0.014,0.069,0.537,0.072
"P36","Aún no lo tengo decidido",0.055,0.052,0.022,0.107,0.065,0.459
"P37","Wado de Pedro por el Frente de Todos",0.101,0.802,0.023,0.064,0.079,0.082
"P37","Mauricio Macri por Juntos por el Cambio",0.693,0.117,0.158,0.021,0.173,0.188
"P37","Javier Milei por los liberales libertarios",0.028,0.006,0.793,0,0.008,0.035
"P37","Nicolás del Caño por la izquierda",0.007,0.017,0.002,0.775,0.025,0.047
"P37","Otro candidato",0.12,0.025,0.016,0.023,0.636,0.12
"P37","Aún no lo tengo decidido",0.051,0.033,0.008,0.117,0.079,0.528
"P38","Wado de Pedro por el Frente de Todos",0.098,0.766,0.036,0.071,0.066,0.122
"P38","Patricia Bullrich por Juntos por el Cambio",0.705,0.099,0.246,0.052,0.322,0.204
"P38","Javier Milei por los liberales libertarios",0.047,0.019,0.696,0,0.008,0.038
"P38","Nicolás del Caño por la izquierda",0.01,0.005,0,0.746,0.029,0.013
"P38","Otro candidato",0.08,0.044,0.011,0.075,0.49,0.108
"P38","Aún no lo tengo decidido",0.06,0.067,0.011,0.056,0.085,0.515
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.127,0.811,0.024,0.266,0.254,0.222
"P39","Patricia Bullrich por Juntos por el Cambio",0.716,0.09,0.261,0.039,0.336,0.22
"P39","Javier Milei por los liberales libertarios",0.05,0.014,0.706,0.026,0.012,0.042
"P39","Nicolás del Caño por la izquierda",0.006,0.006,0,0.562,0.023,0.005
"P39","Otro candidato",0.058,0.052,0.009,0.073,0.332,0.079
"P39","Aún no lo tengo decidido",0.043,0.027,0,0.034,0.043,0.432
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.145,0.809,0.076,0.591,0.275,0.32
"P40","Mauricio Macri por Juntos por el Cambio",0.727,0.162,0.558,0.04,0.352,0.265
"P40","No sabe",0.128,0.029,0.366,0.369,0.373,0.415
"P41","Wado de Pedro por el Frente de Todos",0.112,0.842,0.05,0.416,0.1,0.15
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.811,0.123,0.458,0.149,0.292,0.205
"P41","No sabe",0.077,0.035,0.492,0.435,0.608,0.645
"P42","Sergio Massa por el Frente de Todos",0.118,0.781,0.058,0.568,0.189,0.238
"P42","Patricia Bullrich por Juntos por el Cambio",0.758,0.129,0.656,0.067,0.404,0.326
"P42","No sabe",0.124,0.09,0.286,0.365,0.407,0.436
"P43","Sergio Massa por el Frente de Todos",0.148,0.752,0.045,0.595,0.255,0.292
"P43","Mauricio Macri por Juntos por el Cambio",0.744,0.126,0.694,0.101,0.327,0.25
"P43","No sabe",0.108,0.122,0.261,0.304,0.418,0.458
"P44","Sergio Massa por el Frente de Todos",0.146,0.789,0.032,0.539,0.21,0.26
"P44","Javier Milei por los liberales libertarios",0.433,0.07,0.902,0.067,0.165,0.216
"P44","No sabe",0.421,0.141,0.066,0.394,0.625,0.524
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.407,0.41,0.038,0.36,0.249,0.247
"P45","Javier Milei por los liberales libertarios",0.231,0.055,0.92,0.067,0.24,0.166
"P45","No sabe",0.362,0.535,0.042,0.573,0.511,0.587
"P46","Patricia Bullrich por Juntos por el Cambio",0.747,0.139,0.611,0.087,0.4,0.303
"P46","Wado de Pedro por el Frente de Todos",0.093,0.726,0.165,0.496,0.124,0.129
"P46","No sabe",0.16,0.135,0.224,0.417,0.476,0.568
"P47","Patricia Bullrich por Juntos por el Cambio",0.791,0.147,0.702,0.043,0.437,0.352
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.125,0.829,0.074,0.586,0.262,0.255
"P47","No sabe",0.084,0.024,0.224,0.371,0.301,0.393
"P48","Muy buena",0.089,0.148,0.044,0,0.072,0.111
"P48","Buena",0.079,0.403,0.035,0.186,0.093,0.059
"P48","Ni buena ni mala",0.027,0.278,0.073,0.36,0.148,0.237
"P48","Mala",0.087,0.083,0.059,0.258,0.142,0.17
"P48","Muy mala",0.691,0.088,0.787,0.169,0.538,0.396
"P48","No sabe",0.027,0,0.002,0.027,0.007,0.027
"P49","Muy buena",0.024,0.122,0.007,0.042,0.059,0.077
"P49","Buena",0.045,0.364,0.027,0.227,0.045,0.069
"P49","Ni buena ni mala",0.083,0.291,0.054,0.252,0.137,0.273
"P49","Mala",0.107,0.091,0.07,0.215,0.224,0.117
"P49","Muy mala",0.721,0.132,0.842,0.264,0.523,0.432
"P49","No sabe",0.02,0,0,0,0.012,0.032
"P50","Muy buena",0.077,0.646,0.045,0.162,0.186,0.183
"P50","Buena",0.026,0.15,0.018,0.2,0.069,0.064
