"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.448,0.443,0.461
"P04","Realizo changas o trabajos de vez en cuando",0.197,0.246,0.149
"P04","No tengo trabajo",0.13,0.201,0.165
"P04","Soy jubilado o pensionado",0.225,0.11,0.225
"P05","1",0.284,0.355,0.269
"P05","2",0.059,0.131,0.061
"P05","3",0.032,0.067,0.034
"P05","4",0.067,0.107,0.092
"P05","5",0.213,0.208,0.165
"P05","6",0.058,0.016,0.06
"P05","7",0.103,0.04,0.09
"P05","8",0.069,0.022,0.062
"P05","9",0.115,0.054,0.167
"P06","1",0.3,0.137,0.328
"P06","2",0.046,0.017,0.073
"P06","3",0.079,0.017,0.042
"P06","4",0.04,0.036,0.046
"P06","5",0.177,0.2,0.208
"P06","6",0.056,0.039,0.046
"P06","7",0.057,0.062,0.05
"P06","8",0.066,0.113,0.049
"P06","9",0.179,0.379,0.158
"P07","1",0.392,0.186,0.463
"P07","2",0.037,0.027,0.041
"P07","3",0.069,0.039,0.032
"P07","4",0.008,0.011,0.032
"P07","5",0.084,0.148,0.082
"P07","6",0.011,0.034,0.022
"P07","7",0.024,0.049,0.025
"P07","8",0.039,0.049,0.046
"P07","9",0.336,0.457,0.257
"P09","Del Frente de Todos y el peronismo",0.422,0.053,0.48
"P09","De Juntos por el cambio",0.429,0.388,0.282
"P09","De los Liberales libertarios",0.025,0.466,0.034
"P09","De la Izquierda",0.025,0.006,0.032
"P09","No sabe",0.099,0.087,0.172
"P10","A Alberto Fernández",0.143,0.162,0.08
"P10","A Sergio Massa",0.319,0.096,0.292
"P10","A algún candidato del peronismo",0.114,0.399,0.117
"P10","A algún candidato del kirchnerismo",0.424,0.343,0.511
"P11","A Alberto Fernández",0.101,0.323,0.087
"P11","A Sergio Massa",0.179,0,0.172
"P11","A algún candidato del peronismo",0.087,0.325,0.074
"P11","A Cristina Fernández de Kirchner",0.633,0.352,0.667
"P12","A Horacio Rodriguez Larreta",0.298,0.119,0.179
"P12","A Mauricio Macri",0.257,0.358,0.348
"P12","A Patricia Bullrich",0.334,0.446,0.385
"P12","A Facundo Manes",0.079,0.073,0.062
"P12","A Gerardo Morales",0.032,0.004,0.026
"P13","Seguro lo votaria",0.139,0.268,0.105
"P13","Quizás lo votaría",0.373,0.446,0.213
"P13","Nunca lo votaría",0.488,0.286,0.682
"P14","Lo votaría",0.23,0.327,0.144
"P14","Puede que lo vote",0.166,0.325,0.137
"P14","Nunca lo votaría",0.533,0.263,0.621
"P14","No sabe",0.071,0.085,0.098
"P15","Lo votaría",0.186,0.035,0.128
"P15","Puede que lo vote",0.251,0.124,0.24
