"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.465,0.376,0.468,0.791,0.518,0.405
"P04","Realizo changas o trabajos de vez en cuando",0.18,0.215,0.252,0.125,0.179,0.155
"P04","No tengo trabajo",0.157,0.143,0.188,0.062,0.169,0.267
"P04","Soy jubilado o pensionado",0.198,0.266,0.092,0.022,0.134,0.173
"P05","1",0.265,0.388,0.359,0.212,0.194,0.201
"P05","2",0.056,0.085,0.116,0.017,0.094,0.091
"P05","3",0.019,0.048,0.043,0,0.068,0.085
"P05","4",0.041,0.095,0.138,0.16,0.131,0.078
"P05","5",0.112,0.228,0.203,0.249,0.233,0.296
"P05","6",0.055,0.039,0.009,0.03,0.074,0.026
"P05","7",0.118,0.05,0.033,0.049,0.043,0.074
"P05","8",0.104,0.016,0.008,0.05,0.062,0.017
"P05","9",0.23,0.051,0.091,0.233,0.101,0.132
"P06","1",0.493,0.155,0.125,0.158,0.17,0.284
"P06","2",0.068,0.054,0.027,0.142,0.037,0.022
"P06","3",0.064,0.024,0.003,0.207,0.034,0.062
"P06","4",0.024,0.044,0.017,0.181,0.064,0.085
"P06","5",0.127,0.214,0.191,0.132,0.346,0.287
"P06","6",0.035,0.056,0.039,0.081,0.114,0.02
"P06","7",0.033,0.069,0.054,0.011,0.047,0.042
"P06","8",0.034,0.086,0.137,0,0.037,0.027
"P06","9",0.122,0.298,0.407,0.088,0.151,0.171
"P07","1",0.609,0.227,0.213,0.709,0.274,0.379
"P07","2",0.041,0.057,0.01,0.009,0.023,0.016
"P07","3",0.034,0.044,0.015,0.086,0.076,0.048
"P07","4",0.024,0.025,0.006,0.013,0.017,0.015
"P07","5",0.03,0.118,0.146,0.045,0.217,0.117
"P07","6",0.009,0.017,0.059,0,0.019,0.044
"P07","7",0.014,0.031,0.047,0,0.051,0.027
"P07","8",0.017,0.051,0.063,0.081,0.016,0.047
"P07","9",0.222,0.43,0.441,0.057,0.307,0.307
"P09","Del Frente de Todos y el peronismo",0.806,0.068,0.021,0.168,0.155,0.234
"P09","De Juntos por el cambio",0.083,0.803,0.209,0.011,0.357,0.226
"P09","De los Liberales libertarios",0.016,0.037,0.661,0.017,0.088,0.035
"P09","De la Izquierda",0.017,0.004,0.008,0.502,0.043,0.008
"P09","No sabe",0.078,0.088,0.101,0.302,0.357,0.497
"P10","A Alberto Fernández",0.114,0.263,0,0.137,0.043,0.192
"P10","A Sergio Massa",0.265,0.366,0.209,0.322,0.617,0.106
"P10","A algún candidato del peronismo",0.093,0.287,0.582,0.417,0.17,0.359
"P10","A algún candidato del kirchnerismo",0.528,0.084,0.209,0.124,0.17,0.343
"P11","A Alberto Fernández",0.121,0.102,0,0.137,0.04,0.181
"P11","A Sergio Massa",0.13,0.496,0,0.321,0.453,0.128
"P11","A algún candidato del peronismo",0.049,0.268,0.551,0.476,0.184,0.262
"P11","A Cristina Fernández de Kirchner",0.7,0.134,0.449,0.066,0.323,0.429
"P12","A Horacio Rodriguez Larreta",0.218,0.269,0.025,0,0.091,0.159
"P12","A Mauricio Macri",0.254,0.329,0.273,1,0.353,0.417
"P12","A Patricia Bullrich",0.266,0.33,0.604,0,0.366,0.281
"P12","A Facundo Manes",0.193,0.037,0.086,0,0.111,0.111
"P12","A Gerardo Morales",0.069,0.035,0.012,0,0.079,0.032
"P13","Seguro lo votaria",0.203,0.141,0.491,0,0.176,0.052
"P13","Quizás lo votaría",0.332,0.337,0.379,0,0.251,0.482
"P13","Nunca lo votaría",0.465,0.522,0.13,1,0.573,0.466
"P14","Lo votaría",0.056,0.484,0.219,0.011,0.154,0.121
"P14","Puede que lo vote",0.039,0.275,0.372,0.081,0.162,0.116
"P14","Nunca lo votaría",0.849,0.186,0.325,0.868,0.516,0.571
"P14","No sabe",0.056,0.055,0.084,0.04,0.168,0.192
