"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.464,0.399,0.454,0.431,0.398
"P04","Realizo changas o trabajos de vez en cuando",0.215,0.213,0.251,0.27,0.2
"P04","No tengo trabajo",0.147,0.138,0.198,0.153,0.27
"P04","Soy jubilado o pensionado",0.174,0.25,0.097,0.146,0.132
"P05","1",0.243,0.378,0.325,0.121,0.23
"P05","2",0.074,0.081,0.094,0.051,0.072
"P05","3",0.018,0.073,0.057,0.093,0.029
"P05","4",0.05,0.093,0.12,0.034,0.082
"P05","5",0.132,0.185,0.225,0.133,0.341
"P05","6",0.049,0.038,0.012,0.033,0.035
"P05","7",0.117,0.037,0.035,0.14,0.046
"P05","8",0.08,0.038,0.019,0.1,0.041
"P05","9",0.237,0.077,0.113,0.295,0.124
"P06","1",0.43,0.184,0.142,0.285,0.277
"P06","2",0.068,0.048,0.033,0.157,0.043
"P06","3",0.065,0.035,0.014,0.064,0.032
"P06","4",0.047,0.047,0.015,0.046,0.052
"P06","5",0.163,0.176,0.154,0.191,0.347
"P06","6",0.029,0.049,0.07,0.03,0.051
"P06","7",0.037,0.077,0.039,0.037,0.033
"P06","8",0.029,0.082,0.157,0.012,0.015
"P06","9",0.132,0.302,0.376,0.178,0.15
"P07","1",0.595,0.268,0.182,0.606,0.355
"P07","2",0.049,0.046,0.012,0.031,0.028
"P07","3",0.044,0.05,0.033,0.008,0.015
"P07","4",0.017,0.017,0.006,0.025,0.013
"P07","5",0.06,0.128,0.13,0.052,0.154
"P07","6",0.009,0.027,0.077,0.029,0.005
"P07","7",0.016,0.037,0.04,0.057,0.019
"P07","8",0.021,0.051,0.061,0.012,0.036
"P07","9",0.189,0.376,0.459,0.18,0.375
"P14","Lo votaría",0.056,0.484,0.154,0.069,0.05
"P14","Puede que lo vote",0.052,0.269,0.33,0.039,0.147
"P14","Nunca lo votaría",0.836,0.185,0.433,0.735,0.553
"P14","No sabe",0.056,0.062,0.083,0.157,0.25
"P15","Lo votaría",0.278,0.083,0.025,0.045,0.091
"P15","Puede que lo vote",0.371,0.076,0.123,0.147,0.201
"P15","Nunca lo votaría",0.275,0.806,0.834,0.586,0.486
"P15","No sabe",0.076,0.035,0.018,0.222,0.222
"P16","Lo votaría",0.279,0.052,0.007,0.041,0.081
"P16","Puede que lo vote",0.445,0.032,0.035,0.129,0.129
"P16","Nunca lo votaría",0.181,0.9,0.949,0.668,0.569
"P16","No sabe",0.095,0.016,0.009,0.162,0.221
"P17","La votaría",0.754,0.058,0.011,0.165,0.134
"P17","Puede que la vote",0.141,0.013,0.025,0.142,0.062
"P17","Nunca la votaría",0.074,0.916,0.935,0.616,0.594
"P17","No sabe",0.031,0.013,0.029,0.077,0.21
"P18","Lo votaría",0.088,0.297,0.052,0.097,0.054
"P18","Puede que lo vote",0.061,0.387,0.265,0.1,0.243
"P18","Nunca lo votaría",0.823,0.256,0.633,0.709,0.454
"P18","No sabe",0.028,0.06,0.05,0.094,0.249
"P19","Lo votaría",0.038,0.119,0.074,0.067,0.07
"P19","Puede que lo vote",0.134,0.352,0.195,0.194,0.185
"P19","Nunca lo votaría",0.722,0.462,0.647,0.507,0.395
"P19","No sabe",0.106,0.067,0.084,0.232,0.35
"P20","La votaría",0.033,0.525,0.324,0.094,0.059
"P20","Puede que la vote",0.042,0.246,0.312,0.071,0.152
"P20","Nunca la votaría",0.88,0.186,0.333,0.737,0.538
"P20","No sabe",0.045,0.043,0.031,0.098,0.251
"P21","Lo votaría",0.03,0.159,0.715,0.101,0.071
"P21","Puede que lo vote",0.044,0.288,0.17,0.086,0.164
"P21","Nunca lo votaría",0.879,0.476,0.102,0.776,0.551
"P21","No sabe",0.047,0.077,0.013,0.037,0.214
"P22","La votaría",0.019,0.256,0.101,0.029,0.033
"P22","Puede que la vote",0.045,0.378,0.267,0.041,0.152
"P22","Nunca la votaría",0.899,0.272,0.581,0.759,0.527
"P22","No sabe",0.037,0.094,0.051,0.171,0.288
"P23","Lo votaría",0.326,0.03,0.018,0.044,0.043
"P23","Puede que lo vote",0.259,0.082,0.051,0.155,0.136
"P23","Nunca lo votaría",0.343,0.807,0.846,0.668,0.501
"P23","No sabe",0.072,0.081,0.085,0.133,0.32
"P24","Lo votaría",0.069,0.068,0.018,0.059,0.026
"P24","Puede que lo vote",0.101,0.278,0.113,0.071,0.107
"P24","Nunca lo votaría",0.706,0.54,0.732,0.721,0.495
"P24","No sabe",0.124,0.114,0.137,0.149,0.372
"P25","Mauricio Macri por Juntos por el Cambio",0.017,0.316,0.072,0.006,0.038
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.174,0.04,0.082,0.091
"P25","Patricia Bullrich por Juntos por el Cambio",0.013,0.303,0.185,0.047,0.08
"P25","Facundo Manes por Juntos por el Cambio",0.023,0.064,0.028,0.09,0.095
"P25","Alberto Fernández por el Frente de Todos",0.126,0.031,0.016,0.013,0.045
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.721,0.028,0.025,0.283,0.133
"P25","Javier Milei por los liberales libertarios",0.004,0.031,0.579,0.033,0.096
"P25","Nicolás del Caño por la izquierda",0.013,0.001,0.002,0.273,0.03
"P25","Otros candidatos",0.027,0.021,0.023,0.107,0.128
"P25","Aún no lo tengo decidido",0.034,0.031,0.03,0.066,0.264
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.259,0.051,0.008,0.081
"P26","Patricia Bullrich por Juntos por el Cambio",0.022,0.511,0.214,0.096,0.1
"P26","Facundo Manes por Juntos por el Cambio",0.037,0.088,0.043,0.077,0.108
"P26","Wado de Pedro por el Frente de Todos",0.376,0.019,0.003,0.124,0.065
"P26","Sergio Massa por el Frente de Todos",0.412,0.025,0.024,0.088,0.129
"P26","Javier Milei por los liberales libertarios",0.02,0.043,0.587,0.056,0.106
"P26","Nicolás del Caño por la izquierda",0.014,0.006,0.048,0.284,0.03
"P26","Otros candidatos",0.024,0.009,0.007,0.108,0.072
"P26","Aún no lo tengo decidido",0.078,0.04,0.023,0.159,0.309
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.838,0.055,0.049,0.157,0.185
"P27","Mauricio Macri por Juntos por el Cambio",0.034,0.648,0.13,0.089,0.078
"P27","Javier Milei por los liberales libertarios",0.02,0.093,0.716,0.053,0.137
"P27","Nicolás del Caño por la izquierda",0.034,0.004,0.016,0.4,0.063
"P27","Otro candidato",0.036,0.141,0.033,0.125,0.222
"P27","Aún no lo tengo decidido",0.038,0.059,0.056,0.176,0.315
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.576,0.075,0.096,0.186
"P29","Wado de Pedro por el Frente de Todos",0.621,0.117,0.007,0.113,0.085
"P29","Javier Milei por los liberales libertarios",0.021,0.104,0.826,0.11,0.146
"P29","Nicolás del Caño por la izquierda",0.019,0.003,0.004,0.475,0.038
"P29","Otro candidato",0.089,0.124,0.039,0.118,0.231
"P29","Aún no lo tengo decidido",0.127,0.076,0.049,0.088,0.314
"P31","Sergio Massa por el Frente de Todos",0.644,0.073,0.045,0.073,0.172
"P31","Patricia Bullrich por Juntos por el Cambio",0.065,0.707,0.227,0.127,0.153
"P31","Javier Milei por los liberales libertarios",0.02,0.095,0.684,0.053,0.12
"P31","Nicolás del Caño por la izquierda",0.027,0.004,0,0.575,0.053
"P31","Otro candidato",0.109,0.074,0.016,0.096,0.196
"P31","Aún no lo tengo decidido",0.135,0.047,0.028,0.076,0.306
"P33","Sergio Massa por el Frente de Todos",0.623,0.099,0.013,0.077,0.13
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.616,0.05,0.11,0.13
"P33","Javier Milei por los liberales libertarios",0.022,0.107,0.842,0.056,0.153
"P33","Nicolás del Caño por la izquierda",0.018,0.006,0.008,0.493,0.078
"P33","Otro candidato",0.108,0.115,0.048,0.132,0.258
"P33","Aún no lo tengo decidido",0.122,0.057,0.039,0.132,0.251
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.816,0.081,0.032,0.244,0.169
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.633,0.06,0.04,0.156
