"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P23","Puede que lo vote",0.278,0.083,0.062,0.189,0.143,0.122
"P23","Nunca lo votaría",0.197,0.825,0.779,0.474,0.712,0.669
"P23","No sabe",0.1,0.056,0.131,0.234,0.112,0.18
"P24","Lo votaría",0.066,0.077,0.005,0.125,0.056,0.02
"P24","Puede que lo vote",0.085,0.289,0.16,0.065,0.206,0.1
"P24","Nunca lo votaría",0.723,0.538,0.669,0.569,0.508,0.611
"P24","No sabe",0.126,0.096,0.166,0.241,0.23,0.269
"P25","Mauricio Macri por Juntos por el Cambio",0.003,0.408,0.046,0.046,0.026,0.007
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.163,0.051,0.205,0.11,0.096
"P25","Patricia Bullrich por Juntos por el Cambio",0.005,0.325,0.17,0.023,0.174,0.061
"P25","Facundo Manes por Juntos por el Cambio",0.028,0.023,0.036,0.008,0.182,0.062
"P25","Alberto Fernández por el Frente de Todos",0.068,0.022,0.006,0.053,0.039,0.089
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.833,0.004,0.02,0.191,0.167,0.316
"P25","Javier Milei por los liberales libertarios",0.003,0.022,0.654,0,0.007,0.029
"P25","Nicolás del Caño por la izquierda",0.003,0.002,0,0.314,0,0.004
"P25","Otros candidatos",0.011,0.006,0.004,0.098,0.187,0.05
"P25","Aún no lo tengo decidido",0.027,0.025,0.013,0.062,0.108,0.286
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.252,0.061,0.262,0.087,0.088
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.568,0.186,0.111,0.228,0.081
"P26","Facundo Manes por Juntos por el Cambio",0.015,0.063,0.072,0.008,0.195,0.1
"P26","Wado de Pedro por el Frente de Todos",0.486,0.018,0.007,0,0.073,0.019
"P26","Sergio Massa por el Frente de Todos",0.415,0.012,0.007,0.153,0.145,0.224
"P26","Javier Milei por los liberales libertarios",0.018,0.043,0.586,0.023,0.03,0.039
"P26","Nicolás del Caño por la izquierda",0.006,0.003,0.075,0.303,0.003,0.004
"P26","Otros candidatos",0.009,0.009,0.002,0.14,0.087,0.029
"P26","Aún no lo tengo decidido",0.038,0.032,0.004,0,0.152,0.416
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.926,0.036,0.02,0.229,0.222,0.348
"P27","Mauricio Macri por Juntos por el Cambio",0.007,0.849,0.039,0.133,0.078,0.022
"P27","Javier Milei por los liberales libertarios",0.003,0.026,0.877,0.052,0.058,0.056
"P27","Nicolás del Caño por la izquierda",0.004,0.003,0.02,0.466,0.017,0.035
"P27","Otro candidato",0.023,0.051,0.016,0.068,0.504,0.049
"P27","Aún no lo tengo decidido",0.037,0.035,0.028,0.052,0.121,0.49
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.647,0.044,0.067,0.258,0.141
"P29","Wado de Pedro por el Frente de Todos",0.797,0.101,0.009,0.147,0.05,0.084
