"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.531,0.41,0.416
"P04","Realizo changas o trabajos de vez en cuando",0.161,0.242,0.172
"P04","No tengo trabajo",0.128,0.196,0.17
"P04","Soy jubilado o pensionado",0.18,0.152,0.242
"P05","1",0.232,0.348,0.318
"P05","2",0.056,0.113,0.071
"P05","3",0.014,0.072,0.041
"P05","4",0.044,0.132,0.085
"P05","5",0.148,0.21,0.217
"P05","6",0.06,0.017,0.065
"P05","7",0.125,0.04,0.074
"P05","8",0.102,0.022,0.034
"P05","9",0.219,0.046,0.095
"P06","1",0.463,0.116,0.226
"P06","2",0.067,0.026,0.053
"P06","3",0.084,0.022,0.032
"P06","4",0.038,0.045,0.04
"P06","5",0.132,0.197,0.262
"P06","6",0.03,0.051,0.058
"P06","7",0.03,0.07,0.063
"P06","8",0.031,0.118,0.067
"P06","9",0.125,0.355,0.199
"P07","1",0.591,0.173,0.332
"P07","2",0.044,0.027,0.039
"P07","3",0.047,0.047,0.039
"P07","4",0.02,0.007,0.03
"P07","5",0.043,0.149,0.112
"P07","6",0.006,0.031,0.028
"P07","7",0.012,0.053,0.028
"P07","8",0.013,0.061,0.059
"P07","9",0.224,0.452,0.333
"P09","Del Frente de Todos y el peronismo",0.846,0.034,0.149
"P09","De Juntos por el cambio",0.039,0.478,0.549
"P09","De los Liberales libertarios",0.006,0.402,0.05
"P09","De la Izquierda",0.029,0.006,0.031
"P09","No sabe",0.08,0.08,0.221
"P10","A Alberto Fernández",0.117,0,0.092
"P10","A Sergio Massa",0.336,0.208,0.027
"P10","A algún candidato del peronismo",0.097,0.534,0.213
"P10","A algún candidato del kirchnerismo",0.45,0.258,0.668
"P11","A Alberto Fernández",0.11,0.052,0.091
"P11","A Sergio Massa",0.195,0.037,0.037
"P11","A algún candidato del peronismo",0.051,0.534,0.202
"P11","A Cristina Fernández de Kirchner",0.644,0.377,0.67
"P12","A Horacio Rodriguez Larreta",0.279,0.193,0.202
"P12","A Mauricio Macri",0.014,0.347,0.31
