"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.435,0.427,0.442,0.45,0.364,0.491,0.49,0.386,0.475,0.432,0.442,0.42,0.179,0.711,0.313
"Patricia Bullrich","Neutra",0.133,0.126,0.14,0.173,0.17,0.093,0.08,0.16,0.13,0.108,0.133,0.134,0.102,0.112,0.232
"Patricia Bullrich","Negativa",0.413,0.427,0.399,0.332,0.45,0.408,0.411,0.431,0.369,0.455,0.406,0.427,0.706,0.175,0.42
"Patricia Bullrich","No sabe",0.019,0.02,0.019,0.045,0.016,0.008,0.019,0.023,0.026,0.005,0.019,0.019,0.013,0.002,0.035
"Mauricio Macri","Positiva",0.365,0.368,0.362,0.297,0.343,0.395,0.427,0.387,0.374,0.326,0.375,0.345,0.203,0.595,0.197
"Mauricio Macri","Neutra",0.145,0.165,0.127,0.181,0.154,0.13,0.115,0.178,0.13,0.13,0.142,0.151,0.045,0.199,0.125
"Mauricio Macri","Negativa",0.477,0.463,0.491,0.522,0.488,0.47,0.428,0.41,0.488,0.54,0.471,0.491,0.739,0.206,0.662
"Mauricio Macri","No sabe",0.013,0.004,0.02,0,0.015,0.005,0.03,0.025,0.008,0.004,0.012,0.013,0.013,0,0.016
"Maria Eugenia Vidal","Positiva",0.36,0.344,0.375,0.327,0.293,0.397,0.476,0.341,0.374,0.363,0.388,0.304,0.108,0.631,0.319
"Maria Eugenia Vidal","Neutra",0.152,0.144,0.159,0.12,0.172,0.151,0.139,0.159,0.177,0.106,0.16,0.135,0.043,0.189,0.347
"Maria Eugenia Vidal","Negativa",0.474,0.508,0.443,0.553,0.526,0.436,0.351,0.48,0.434,0.525,0.438,0.546,0.844,0.174,0.295
"Maria Eugenia Vidal","No sabe",0.014,0.004,0.023,0,0.009,0.016,0.034,0.02,0.015,0.006,0.014,0.015,0.005,0.006,0.039
"Horacio Rodriguez Larreta","Positiva",0.336,0.29,0.378,0.283,0.246,0.387,0.498,0.325,0.353,0.325,0.377,0.256,0.098,0.577,0.238
"Horacio Rodriguez Larreta","Neutra",0.2,0.209,0.191,0.178,0.22,0.217,0.155,0.213,0.211,0.167,0.192,0.214,0.122,0.258,0.374
"Horacio Rodriguez Larreta","Negativa",0.444,0.492,0.401,0.539,0.502,0.385,0.324,0.42,0.423,0.504,0.418,0.497,0.757,0.158,0.346
"Horacio Rodriguez Larreta","No sabe",0.02,0.009,0.03,0,0.032,0.011,0.023,0.042,0.013,0.004,0.013,0.033,0.023,0.007,0.042
"Facundo Manes","Positiva",0.253,0.249,0.256,0.206,0.296,0.225,0.244,0.247,0.266,0.24,0.241,0.275,0.217,0.285,0.391
"Facundo Manes","Neutra",0.346,0.328,0.363,0.354,0.345,0.318,0.381,0.314,0.378,0.337,0.351,0.337,0.357,0.351,0.289
"Facundo Manes","Negativa",0.349,0.386,0.315,0.373,0.295,0.416,0.345,0.352,0.312,0.398,0.358,0.331,0.369,0.339,0.193
"Facundo Manes","No sabe",0.052,0.037,0.066,0.067,0.064,0.041,0.03,0.087,0.044,0.025,0.05,0.057,0.057,0.025,0.127
"Javier Milei","Positiva",0.309,0.352,0.269,0.407,0.295,0.29,0.274,0.269,0.354,0.287,0.305,0.314,0.127,0.4,0.243
"Javier Milei","Neutra",0.237,0.223,0.25,0.217,0.221,0.25,0.27,0.293,0.231,0.181,0.262,0.189,0.096,0.329,0.466
"Javier Milei","Negativa",0.433,0.413,0.452,0.376,0.465,0.439,0.411,0.401,0.402,0.518,0.413,0.474,0.759,0.253,0.257
"Javier Milei","No sabe",0.021,0.012,0.029,0,0.019,0.021,0.045,0.037,0.013,0.014,0.02,0.023,0.018,0.018,0.034
"Wado de Pedro","Positiva",0.266,0.247,0.284,0.231,0.282,0.246,0.29,0.232,0.255,0.322,0.262,0.274,0.549,0.104,0.082
"Wado de Pedro","Neutra",0.17,0.183,0.157,0.201,0.175,0.165,0.138,0.147,0.199,0.153,0.18,0.149,0.166,0.154,0.253
"Wado de Pedro","Negativa",0.506,0.535,0.48,0.49,0.475,0.551,0.525,0.544,0.485,0.493,0.504,0.51,0.258,0.71,0.462
"Wado de Pedro","No sabe",0.058,0.035,0.079,0.078,0.068,0.038,0.047,0.077,0.061,0.032,0.054,0.067,0.027,0.032,0.203
"CFK","Positiva",0.314,0.296,0.33,0.304,0.333,0.296,0.308,0.328,0.284,0.342,0.301,0.34,0.713,0.072,0.131
"CFK","Neutra",0.07,0.071,0.069,0.081,0.083,0.066,0.04,0.089,0.056,0.069,0.077,0.056,0.112,0.03,0.081
"CFK","Negativa",0.609,0.63,0.591,0.615,0.58,0.637,0.627,0.571,0.655,0.586,0.618,0.591,0.174,0.897,0.788
"CFK","No sabe",0.007,0.003,0.01,0,0.004,0.001,0.025,0.012,0.005,0.003,0.004,0.013,0.001,0.001,0
"Sergio Massa","Positiva",0.239,0.229,0.249,0.297,0.183,0.234,0.313,0.244,0.242,0.23,0.241,0.236,0.449,0.095,0.18
"Sergio Massa","Neutra",0.16,0.149,0.17,0.098,0.199,0.155,0.142,0.151,0.159,0.172,0.165,0.15,0.203,0.132,0.182
"Sergio Massa","Negativa",0.586,0.612,0.562,0.605,0.597,0.601,0.524,0.576,0.591,0.591,0.586,0.586,0.33,0.771,0.616
"Sergio Massa","No sabe",0.015,0.01,0.019,0,0.021,0.01,0.021,0.029,0.008,0.007,0.008,0.028,0.018,0.002,0.022
"Alberto Fernandez","Positiva",0.189,0.152,0.221,0.143,0.184,0.206,0.213,0.206,0.181,0.179,0.182,0.202,0.409,0.049,0.14
"Alberto Fernandez","Neutra",0.162,0.166,0.159,0.13,0.205,0.143,0.128,0.209,0.125,0.162,0.159,0.169,0.294,0.065,0.141
"Alberto Fernandez","Negativa",0.638,0.677,0.604,0.705,0.605,0.649,0.637,0.574,0.679,0.656,0.656,0.604,0.287,0.88,0.706
"Alberto Fernandez","No sabe",0.011,0.005,0.016,0.022,0.006,0.002,0.022,0.011,0.015,0.003,0.003,0.025,0.01,0.006,0.013
