"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P23","Puede que lo vote",0.254,0.093,0.088,0.244,0.18,0.093
"P23","Nunca lo votaría",0.337,0.761,0.75,0.38,0.623,0.637
"P23","No sabe",0.08,0.075,0.134,0.282,0.105,0.208
"P24","Lo votaría",0.068,0.078,0.025,0.005,0.046,0.028
"P24","Puede que lo vote",0.113,0.292,0.125,0.074,0.204,0.104
"P24","Nunca lo votaría",0.698,0.486,0.693,0.527,0.593,0.605
"P24","No sabe",0.121,0.144,0.157,0.394,0.157,0.263
"P25","Mauricio Macri por Juntos por el Cambio",0.035,0.291,0.104,0,0.121,0.084
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.254,0.038,0.039,0.034,0.045
"P25","Patricia Bullrich por Juntos por el Cambio",0.036,0.261,0.172,0.067,0.187,0.078
"P25","Facundo Manes por Juntos por el Cambio",0.04,0.034,0.017,0.006,0.134,0.087
"P25","Alberto Fernández por el Frente de Todos",0.12,0.026,0.022,0,0.027,0.044
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.701,0.083,0.042,0.194,0.271,0.292
"P25","Javier Milei por los liberales libertarios",0.002,0.005,0.572,0.028,0.015,0.014
"P25","Nicolás del Caño por la izquierda",0.006,0.002,0,0.411,0,0
"P25","Otros candidatos",0.02,0.011,0.006,0.114,0.146,0.066
"P25","Aún no lo tengo decidido",0.026,0.033,0.027,0.141,0.065,0.29
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.297,0.06,0.12,0.057,0.041
"P26","Patricia Bullrich por Juntos por el Cambio",0.044,0.472,0.23,0.079,0.297,0.101
"P26","Facundo Manes por Juntos por el Cambio",0.042,0.078,0.05,0,0.134,0.089
"P26","Wado de Pedro por el Frente de Todos",0.35,0.033,0.005,0.098,0.19,0.123
"P26","Sergio Massa por el Frente de Todos",0.491,0.072,0.019,0.042,0.029,0.116
"P26","Javier Milei por los liberales libertarios",0.016,0.008,0.559,0.066,0.028,0.059
"P26","Nicolás del Caño por la izquierda",0,0.001,0.067,0.295,0.012,0
"P26","Otros candidatos",0.01,0.013,0.005,0.114,0.101,0.015
"P26","Aún no lo tengo decidido",0.015,0.026,0.005,0.186,0.152,0.456
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.809,0.118,0.059,0.241,0.312,0.318
"P27","Mauricio Macri por Juntos por el Cambio",0.065,0.643,0.184,0.049,0.199,0.106
"P27","Javier Milei por los liberales libertarios",0.021,0.043,0.709,0.028,0.027,0.063
"P27","Nicolás del Caño por la izquierda",0.024,0.005,0.017,0.529,0.005,0.035
"P27","Otro candidato",0.053,0.125,0.013,0.022,0.346,0.049
"P27","Aún no lo tengo decidido",0.028,0.066,0.018,0.131,0.111,0.429
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.115,0.786,0.043,0.008,0.097,0.106
"P29","Wado de Pedro por el Frente de Todos",0.666,0.098,0.031,0.265,0.219,0.155
"P29","Javier Milei por los liberales libertarios",0.025,0.028,0.883,0.065,0.018,0.012
"P29","Nicolás del Caño por la izquierda",0.029,0.001,0.002,0.483,0,0.018
"P29","Otro candidato",0.079,0.052,0.008,0.067,0.562,0.063
"P29","Aún no lo tengo decidido",0.086,0.035,0.033,0.112,0.104,0.646
"P31","Sergio Massa por el Frente de Todos",0.796,0.161,0.033,0.047,0.039,0.051
"P31","Patricia Bullrich por Juntos por el Cambio",0.141,0.697,0.205,0.053,0.278,0.163
"P31","Javier Milei por los liberales libertarios",0.013,0.046,0.719,0.028,0.018,0.023
"P31","Nicolás del Caño por la izquierda",0.006,0.008,0.015,0.717,0.006,0.016
"P31","Otro candidato",0.02,0.048,0.009,0.057,0.565,0.033
"P31","Aún no lo tengo decidido",0.024,0.04,0.019,0.098,0.094,0.714
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.784,0.16,0.05,0.247,0.261,0.286
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.095,0.781,0.026,0.015,0.069,0.12
"P35","Javier Milei por los liberales libertarios",0.04,0.024,0.905,0.087,0.013,0.013
"P35","Nicolás del Caño por la izquierda",0.015,0.004,0,0.46,0,0
"P35","Otro candidato",0.042,0.017,0.018,0.012,0.58,0.061
"P35","Aún no lo tengo decidido",0.024,0.014,0.001,0.179,0.077,0.52
"P36","Sergio Massa por el Frente de Todos",0.815,0.124,0.033,0.067,0.053,0.119
"P36","Mauricio Macri por Juntos por el Cambio",0.086,0.709,0.146,0.062,0.191,0.134
"P36","Javier Milei por los liberales libertarios",0.033,0.03,0.794,0.059,0.014,0.026
"P36","Nicolás del Caño por la izquierda",0.007,0.01,0.001,0.709,0.009,0.014
"P36","Otro candidato",0.033,0.089,0.009,0.016,0.664,0.047
"P36","Aún no lo tengo decidido",0.026,0.038,0.017,0.087,0.069,0.66
"P37","Wado de Pedro por el Frente de Todos",0.723,0.092,0.019,0.281,0.183,0.159
"P37","Mauricio Macri por Juntos por el Cambio",0.09,0.717,0.171,0.06,0.18,0.144
"P37","Javier Milei por los liberales libertarios",0.017,0.039,0.768,0,0.012,0.021
"P37","Nicolás del Caño por la izquierda",0.014,0.014,0.014,0.61,0.016,0.006
"P37","Otro candidato",0.079,0.1,0.017,0.03,0.531,0.106
"P37","Aún no lo tengo decidido",0.077,0.038,0.011,0.019,0.078,0.564
"P38","Wado de Pedro por el Frente de Todos",0.686,0.101,0.017,0.294,0.207,0.173
"P38","Patricia Bullrich por Juntos por el Cambio",0.089,0.729,0.254,0.072,0.257,0.185
"P38","Javier Milei por los liberales libertarios",0.018,0.042,0.707,0,0.013,0.027
"P38","Nicolás del Caño por la izquierda",0.015,0.011,0.002,0.472,0.006,0.008
"P38","Otro candidato",0.102,0.071,0.003,0.148,0.383,0.078
"P38","Aún no lo tengo decidido",0.09,0.046,0.017,0.014,0.134,0.529
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.793,0.101,0.019,0.257,0.346,0.282
"P39","Patricia Bullrich por Juntos por el Cambio",0.092,0.758,0.253,0.056,0.228,0.185
"P39","Javier Milei por los liberales libertarios",0.017,0.046,0.72,0,0.014,0.013
"P39","Nicolás del Caño por la izquierda",0.01,0.006,0,0.408,0.002,0.002
"P39","Otro candidato",0.049,0.055,0.001,0.164,0.328,0.08
"P39","Aún no lo tengo decidido",0.039,0.034,0.007,0.115,0.082,0.438
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.837,0.105,0.061,0.563,0.315,0.402
"P40","Mauricio Macri por Juntos por el Cambio",0.104,0.769,0.566,0.069,0.353,0.22
"P40","No sabe",0.059,0.126,0.373,0.368,0.332,0.378
"P41","Wado de Pedro por el Frente de Todos",0.781,0.092,0.051,0.408,0.233,0.288
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.07,0.856,0.456,0.26,0.24,0.168
"P41","No sabe",0.149,0.052,0.493,0.332,0.527,0.544
"P42","Sergio Massa por el Frente de Todos",0.868,0.107,0.052,0.47,0.15,0.179
"P42","Patricia Bullrich por Juntos por el Cambio",0.082,0.801,0.665,0.08,0.362,0.29
"P42","No sabe",0.05,0.092,0.283,0.45,0.488,0.531
"P43","Sergio Massa por el Frente de Todos",0.869,0.108,0.037,0.488,0.204,0.254
"P43","Mauricio Macri por Juntos por el Cambio",0.079,0.792,0.681,0.106,0.314,0.206
"P43","No sabe",0.052,0.1,0.282,0.406,0.482,0.54
"P44","Sergio Massa por el Frente de Todos",0.884,0.117,0.022,0.474,0.206,0.17
"P44","Javier Milei por los liberales libertarios",0.061,0.428,0.915,0.257,0.146,0.167
"P44","No sabe",0.055,0.455,0.063,0.269,0.648,0.663
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.431,0.428,0.037,0.466,0.169,0.189
"P45","Javier Milei por los liberales libertarios",0.05,0.24,0.919,0.144,0.173,0.171
"P45","No sabe",0.519,0.332,0.044,0.39,0.658,0.64
"P46","Patricia Bullrich por Juntos por el Cambio",0.129,0.782,0.601,0.088,0.305,0.304
"P46","Wado de Pedro por el Frente de Todos",0.665,0.075,0.176,0.431,0.233,0.237
"P46","No sabe",0.206,0.143,0.223,0.481,0.462,0.459
"P47","Patricia Bullrich por Juntos por el Cambio",0.119,0.828,0.709,0.078,0.371,0.289
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.814,0.078,0.071,0.547,0.384,0.377
"P47","No sabe",0.067,0.094,0.22,0.375,0.245,0.334
"P48","Muy buena",0.174,0.1,0.038,0.011,0.05,0.062
"P48","Buena",0.413,0.062,0.024,0.11,0.128,0.11
"P48","Ni buena ni mala",0.255,0.027,0.073,0.366,0.176,0.313
"P48","Mala",0.087,0.087,0.059,0.245,0.156,0.144
"P48","Muy mala",0.057,0.711,0.804,0.22,0.49,0.333
"P48","No sabe",0.014,0.013,0.002,0.048,0,0.038
"P49","Muy buena",0.146,0.031,0.006,0.062,0.03,0.04
"P49","Buena",0.355,0.051,0.008,0.054,0.083,0.15
"P49","Ni buena ni mala",0.33,0.043,0.044,0.361,0.229,0.225
"P49","Mala",0.083,0.127,0.086,0.216,0.121,0.142
"P49","Muy mala",0.086,0.729,0.854,0.278,0.535,0.404
"P49","No sabe",0,0.019,0.002,0.029,0.002,0.039
"P50","Muy buena",0.614,0.077,0.029,0.18,0.278,0.257
"P50","Buena",0.126,0.031,0.034,0.195,0.046,0.11
"P50","Ni buena ni mala",0.123,0.019,0.049,0.185,0.083,0.095
"P50","Mala",0.051,0.049,0.016,0.113,0.053,0.051
"P50","Muy mala",0.085,0.823,0.871,0.298,0.54,0.429
"P50","No sabe",0.001,0.001,0.001,0.029,0,0.058
"P51","Muy buena",0.123,0.352,0.118,0.092,0.135,0.128
"P51","Buena",0.059,0.262,0.211,0.061,0.175,0.112
"P51","Ni buena ni mala",0.054,0.153,0.276,0.103,0.135,0.093
"P51","Mala",0.222,0.062,0.142,0,0.077,0.162
"P51","Muy mala",0.536,0.171,0.253,0.708,0.478,0.387
"P51","No sabe",0.006,0,0,0.036,0,0.118
