"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.338,0.223,0.154
"P10","Juntos por el Cambio",0.288,0.252,0.234
"P10","De los liberales libertarios",0.235,0.185,0.139
"P10","De la Izquierda",0.035,0.049,0.072
"P10","Hacemos por nuestro país",0.029,0.023,0.107
"P10","Otro",0.028,0.055,0.09
"P10","En blanco",0.012,0.089,0.093
"P10","No sabe",0.035,0.124,0.111
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.374,0.276,0.227
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.218,0.159
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.265,0.17,0.169
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.033,0.048
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.09,0.134
"P13","En blanco",0.014,0.067,0.164
"P13","No sabe",0.026,0.146,0.099
"P26","Totalmente seguro",0.743,0.253,0.313
"P26","Bastante seguro",0.111,0.328,0.042
"P26","Algo seguro",0.078,0.128,0.443
"P26","Para nada seguro",0.068,0.291,0.202
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.453,0.236,0.23
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.314,0.256
"P28","En blanco",0.12,0.159,0.32
"P28","No sabe",0.099,0.291,0.194
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.354,0.253,0.27
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.279,0.27,0.232
"P29","En blanco",0.224,0.173,0.29
"P29","No sabe",0.143,0.304,0.208
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.438,0.266,0.298
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.333,0.288,0.281
"P30","En blanco",0.134,0.2,0.248
"P30","No sabe",0.095,0.246,0.173
"P38","Inflación",0.335,0.285,0.352
"P38","Desempleo",0.095,0.133,0.081
"P38","Corrupción",0.298,0.237,0.288
"P38","Inseguridad",0.109,0.178,0.126
"P38","Precio del dólar",0.029,0.023,0.006
"P38","Pobreza",0.056,0.014,0.027
"P38","Narcotráfico",0.011,0.014,0.011
"P38","Tarifas",0.005,0.005,0
"P38","Otro",0.047,0.047,0.034
"P38","No sabe",0.015,0.064,0.075
"P10_imputada","Unión por la Patria",0.351,0.264,0.17
"P10_imputada","Juntos por el Cambio",0.295,0.273,0.267
"P10_imputada","De los liberales libertarios",0.244,0.187,0.159
"P10_imputada","De la Izquierda",0.037,0.082,0.079
"P10_imputada","Hacemos por nuestro país",0.03,0.023,0.139
"P10_imputada","Otro",0.03,0.074,0.093
"P10_imputada","En blanco",0.013,0.097,0.093
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.382,0.321,0.261
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.264,0.25,0.18
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.271,0.211,0.202
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.029,0.04,0.048
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.04,0.1,0.144
"P13_imputada","En blanco",0.014,0.078,0.165
