"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.762,0.694,0.737,0.479,0.472,0.47,0.437
"P26","Bastante seguro",0.11,0.14,0.112,0.16,0.205,0.112,0.059
"P26","Algo seguro",0.066,0.088,0.103,0.17,0.158,0.126,0.091
"P26","Para nada seguro",0.062,0.078,0.048,0.191,0.165,0.292,0.413
"P27","Tiene Decidido que va a ir a votar",0.934,0.913,0.929,0.811,0.843,0.786,0.57
"P27","Tiene dudas sobre si va a ir a  votar",0.053,0.064,0.054,0.139,0.048,0.145,0.317
"P27","Tiene Decidido que no va a ir a votar",0.013,0.023,0.017,0.05,0.109,0.069,0.113
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.855,0.21,0.141,0.382,0.302,0.215,0.256
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.695,0.34,0.112,0.233,0.153,0.114
"P28","En blanco",0.026,0.045,0.32,0.24,0.231,0.204,0.357
"P28","No sabe",0.046,0.05,0.199,0.266,0.234,0.428,0.273
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.693,0.138,0.232,0.269,0.186,0.08
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.167,0.727,0.22,0.226,0.288,0.171
"P29","En blanco",0.434,0.068,0.063,0.339,0.25,0.214,0.418
"P29","No sabe",0.244,0.072,0.072,0.209,0.255,0.312,0.331
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.834,0.235,0.109,0.391,0.318,0.192,0.24
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.289,0.789,0.263,0.262,0.404,0.165
"P30","En blanco",0.06,0.275,0.056,0.2,0.222,0.168,0.442
"P30","No sabe",0.046,0.201,0.046,0.146,0.198,0.236,0.153
"P38","Inflación",0.391,0.3,0.324,0.276,0.294,0.211,0.141
"P38","Desempleo",0.119,0.086,0.066,0.12,0.067,0.171,0.131
"P38","Corrupción",0.12,0.389,0.432,0.226,0.354,0.382,0.256
"P38","Inseguridad",0.121,0.124,0.088,0.098,0.128,0.123,0.145
"P38","Precio del dólar",0.049,0.019,0.01,0.035,0.003,0.033,0.035
"P38","Pobreza",0.078,0.031,0.035,0.096,0.079,0.029,0.085
"P38","Narcotráfico",0.02,0.006,0.004,0.02,0.008,0,0.054
"P38","Tarifas",0.008,0.005,0.002,0.002,0,0,0.003
"P38","Otro",0.071,0.025,0.026,0.103,0.059,0.042,0.026
"P38","No sabe",0.023,0.015,0.013,0.024,0.008,0.009,0.124
