"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.332,0.345,0.321,0.329,0.33,0.354,0.313,0.293,0.332,0.38,0.411,0.299,0.273,0.333,0.31,0.318,0.346,0.396,0.485,0.344,0.42,0.416
"Desempleo",0.097,0.089,0.103,0.117,0.101,0.074,0.083,0.118,0.107,0.055,0.105,0.061,0.182,0.092,0.137,0.071,0.083,0.111,0.022,0.039,0.056,0.138
"Corrupción",0.294,0.312,0.278,0.288,0.288,0.286,0.33,0.249,0.315,0.315,0.14,0.441,0.27,0.297,0.294,0.348,0.283,0.087,0.063,0.41,0.354,0.287
"Inseguridad",0.114,0.108,0.119,0.119,0.105,0.108,0.132,0.159,0.102,0.077,0.115,0.112,0.15,0.104,0.107,0.052,0.134,0.157,0.087,0.106,0.062,0.111
"Precio del dólar",0.028,0.023,0.033,0.02,0.031,0.036,0.025,0.031,0.033,0.018,0.044,0.015,0.025,0.022,0.029,0.024,0.034,0.062,0.015,0.002,0,0.004
"Pobreza",0.054,0.044,0.062,0.051,0.073,0.041,0.028,0.052,0.044,0.069,0.081,0.027,0.033,0.069,0.048,0.045,0.044,0.084,0.156,0.03,0.055,0.009
"Narcotráfico",0.011,0.009,0.013,0.001,0.01,0.014,0.028,0.021,0.006,0.008,0.016,0.004,0.01,0.012,0.01,0.01,0.012,0.004,0,0.012,0,0
"Tarifas",0.005,0.003,0.006,0,0.004,0.013,0.004,0.007,0.004,0.004,0.009,0.003,0.001,0.002,0.011,0.007,0.004,0.009,0.003,0.01,0,0
"Otro",0.046,0.045,0.048,0.053,0.037,0.058,0.042,0.035,0.045,0.062,0.061,0.026,0.02,0.048,0.032,0.086,0.047,0.065,0.151,0.041,0.031,0.029
"No sabe",0.019,0.022,0.017,0.022,0.021,0.016,0.015,0.035,0.012,0.012,0.018,0.012,0.036,0.021,0.022,0.039,0.013,0.025,0.018,0.006,0.022,0.006
