"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.736,0.713,0.715,0.546,0.415,0.467
"P26","Bastante seguro",0.113,0.134,0.124,0.076,0.134,0.213
"P26","Algo seguro",0.078,0.085,0.096,0.121,0.201,0.053
"P26","Para nada seguro",0.073,0.068,0.065,0.257,0.25,0.267
"P27","Tiene Decidido que va a ir a votar",0.923,0.916,0.926,0.87,0.774,0.572
"P27","Tiene dudas sobre si va a ir a  votar",0.059,0.066,0.055,0.09,0.147,0.24
"P27","Tiene Decidido que no va a ir a votar",0.018,0.018,0.019,0.04,0.079,0.188
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.863,0.155,0.144,0.303,0.241,0.125
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.763,0.332,0.168,0.225,0.12
"P28","En blanco",0.033,0.028,0.321,0.192,0.241,0.415
"P28","No sabe",0.046,0.054,0.203,0.337,0.293,0.34
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.788,0.111,0.303,0.251,0.087
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.122,0.759,0.148,0.208,0.204
"P29","En blanco",0.432,0.039,0.068,0.343,0.214,0.467
"P29","No sabe",0.26,0.051,0.062,0.206,0.327,0.242
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.825,0.223,0.084,0.398,0.29,0.105
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.251,0.842,0.193,0.238,0.263
"P30","En blanco",0.068,0.307,0.038,0.26,0.228,0.315
"P30","No sabe",0.048,0.219,0.036,0.149,0.244,0.317
"P38","Inflación",0.401,0.291,0.299,0.285,0.26,0.236
"P38","Desempleo",0.104,0.087,0.088,0.087,0.103,0.212
"P38","Corrupción",0.118,0.413,0.428,0.281,0.345,0.237
"P38","Inseguridad",0.132,0.111,0.109,0.051,0.07,0.031
"P38","Precio del dólar",0.051,0.014,0.004,0.011,0.077,0.019
"P38","Pobreza",0.079,0.025,0.035,0.121,0.048,0.093
"P38","Narcotráfico",0.02,0.006,0,0.008,0.023,0.048
"P38","Tarifas",0.006,0.003,0.001,0.003,0.017,0.019
"P38","Otro",0.064,0.032,0.025,0.132,0.044,0.056
"P38","No sabe",0.025,0.018,0.011,0.021,0.013,0.049
