"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.688,0.075,0.067,0.091
"P10","Juntos por el Cambio",0.138,0.614,0.099,0.08
"P10","De los liberales libertarios",0.074,0.24,0.58,0.37
"P10","De la Izquierda",0.033,0.014,0.073,0.086
"P10","Hacemos por nuestro país",0.02,0.019,0.054,0.054
"P10","Otro",0.015,0.015,0.049,0.098
"P10","En blanco",0.01,0.006,0.052,0.034
"P10","No sabe",0.022,0.017,0.026,0.187
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.762,0.067,0.091,0.104
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.611,0.055,0.077
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.255,0.645,0.416
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.022,0.016,0.044,0.074
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.031,0.086,0.104
"P13","En blanco",0.005,0.007,0.061,0.047
"P13","No sabe",0.014,0.013,0.018,0.178
"P26","Totalmente seguro",0.757,0.712,0.714,0.468
"P26","Bastante seguro",0.116,0.136,0.119,0.088
"P26","Algo seguro",0.075,0.094,0.084,0.175
"P26","Para nada seguro",0.052,0.058,0.083,0.269
"P27","Tiene Decidido que va a ir a votar",0.952,0.918,0.859,0.792
"P27","Tiene dudas sobre si va a ir a  votar",0.036,0.063,0.082,0.168
"P27","Tiene Decidido que no va a ir a votar",0.012,0.019,0.059,0.04
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.294,0.608,0.059,0.082
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.356,0.616,0.417
"P29","En blanco",0.401,0.016,0.284,0.085
"P29","No sabe",0.227,0.02,0.041,0.416
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.851,0.112,0.063,0.112
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.475,0.709,0.511
"P30","En blanco",0.056,0.251,0.181,0.089
"P30","No sabe",0.035,0.162,0.047,0.288
"P38","Inflación",0.378,0.295,0.346,0.254
"P38","Desempleo",0.127,0.061,0.101,0.083
"P38","Corrupción",0.128,0.448,0.397,0.349
"P38","Inseguridad",0.133,0.107,0.064,0.113
"P38","Precio del dólar",0.044,0.019,0.006,0.02
"P38","Pobreza",0.08,0.02,0.037,0.075
"P38","Narcotráfico",0.018,0.005,0.003,0.012
"P38","Tarifas",0.008,0.003,0.001,0.002
"P38","Otro",0.063,0.026,0.037,0.057
"P38","No sabe",0.021,0.016,0.008,0.035
"P10_imputada","Unión por la Patria",0.7,0.08,0.073,0.143
"P10_imputada","Juntos por el Cambio",0.141,0.619,0.102,0.127
"P10_imputada","De los liberales libertarios",0.076,0.244,0.589,0.41
"P10_imputada","De la Izquierda",0.036,0.014,0.079,0.097
"P10_imputada","Hacemos por nuestro país",0.02,0.021,0.054,0.06
"P10_imputada","Otro",0.016,0.015,0.051,0.119
"P10_imputada","En blanco",0.011,0.007,0.052,0.044
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.769,0.069,0.101,0.157
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.094,0.616,0.057,0.125
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.085,0.261,0.648,0.455
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.022,0.016,0.047,0.091
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.031,0.086,0.116
"P13_imputada","En blanco",0.005,0.007,0.061,0.056
