"","Si","Puede ser","No"
"Toloza Paz",0.384,0.117,0.112
"Diego Santilli",0.24,0.278,0.159
"Facundo Manes",0.094,0.108,0.143
"Florencio Randazzo",0.044,0.064,0.07
"A la izquierda",0.026,0.027,0.031
"Jose Luis Espert",0.081,0.045,0.047
"Otros candidatos",0.074,0.144,0.127
"Votaría en blanco o anularía",0.057,0.217,0.311
