"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.106,0.617,0.386,0.234,0.362,0.439,0.13
"P09","Diego Santilli",0.456,0.123,0.097,0.207,0.093,0.182,0.251
"P09","Facundo Manes",0.167,0.057,0.221,0.238,0.008,0.091,0.173
"P09","Florencio Randazzo",0.039,0.034,0.044,0.016,0.032,0.039,0.035
"P09","A la izquierda",0.006,0.016,0.018,0,0.009,0.05,0.031
"P09","Jose Luis Espert",0.151,0.022,0.081,0.085,0.075,0.024,0.106
"P09","Otros candidatos",0.048,0.048,0.039,0.059,0.019,0.127,0.021
"P09","Votaría en blanco o anularía",0.027,0.083,0.114,0.161,0.402,0.048,0.253
