"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.927,0.8,0.745,0.716,0.78,0.869,0.675,0.459
"Puede ser",0.044,0.143,0.132,0.161,0.122,0.076,0.201,0.27
"No",0.029,0.057,0.123,0.123,0.098,0.055,0.124,0.271
