"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.419,0.381,0.139,0.409,0.424,0.379,0.271,0.552,0.549,0.5
"P09","Diego Santilli",0.235,0.157,0.386,0.133,0.26,0.251,0.095,0.119,0.143,0.116
"P09","Facundo Manes",0.098,0.117,0.157,0.087,0.045,0.085,0.022,0.004,0.067,0.027
"P09","Florencio Randazzo",0.037,0.066,0.039,0.081,0.111,0.034,0.031,0.022,0.032,0.008
"P09","A la izquierda",0.021,0.025,0.025,0,0.014,0.016,0.03,0,0.022,0.006
"P09","Jose Luis Espert",0.061,0.05,0.1,0.063,0.006,0.073,0.369,0.029,0.051,0
"P09","Otros candidatos",0.05,0.112,0.071,0.083,0.08,0.07,0.046,0.098,0.068,0.133
"P09","Votaría en blanco o anularía",0.079,0.092,0.083,0.144,0.06,0.092,0.136,0.176,0.068,0.21
