"var","categoria","Camau Espinola por Unión por la patria","German Brailard por Unión por la patria","Juan Pablo Valdes por Juntos por el cambio","Eduardo Tassano por Juntos por el cambio","Pitin Aragon por Unión por la patria","Tincho Ascua por Unión por la patria","Emiliano Fernandez por Unión por la patria","Ricardo Colombi por Juntos por el cambio","Noelia Bassi por Juntos por el cambio","No sabe"
"P09","Siempre",0.366,0.121,0.247,0.187,0.402,0.063,0.308,0.318,0.245,0.157
"P09","Casi siempre",0.15,0.693,0.302,0.508,0.232,0.551,0.177,0.266,0.547,0.344
"P09","Casi nunca",0.354,0.161,0.339,0.125,0.284,0.09,0.51,0.239,0.137,0.318
"P09","Nunca, pero esta es una excepción",0.13,0.025,0.112,0.18,0.082,0.296,0.005,0.177,0.071,0.181
"P14","Lo votaría",0.524,0.195,0.15,0.073,0.313,0.066,0.223,0.128,0.044,0.034
"P14","Puede que lo vote",0.266,0.189,0.179,0.28,0.173,0.262,0.217,0.213,0.162,0.182
"P14","Nunca lo votaría",0.09,0.424,0.579,0.522,0.489,0.354,0.37,0.528,0.695,0.489
"P14","No sabe",0.12,0.192,0.092,0.125,0.025,0.318,0.19,0.131,0.099,0.295
"P15","Lo votaría",0.228,0.434,0.095,0.046,0.084,0.071,0.168,0.082,0.026,0.015
"P15","Puede que lo vote",0.386,0.262,0.189,0.368,0.213,0.26,0.231,0.275,0.19,0.173
"P15","Nunca lo votaría",0.192,0.238,0.532,0.492,0.596,0.365,0.486,0.487,0.655,0.481
"P15","No sabe",0.194,0.066,0.184,0.094,0.107,0.304,0.115,0.156,0.129,0.331
"P16","Lo votaría",0.193,0.206,0.668,0.149,0.106,0.068,0.177,0.221,0.189,0.06
"P16","Puede que lo vote",0.201,0.275,0.173,0.341,0.269,0.181,0.19,0.273,0.235,0.267
"P16","Nunca lo votaría",0.384,0.37,0.109,0.318,0.549,0.678,0.468,0.322,0.395,0.352
"P16","No sabe",0.222,0.149,0.05,0.192,0.076,0.073,0.165,0.184,0.181,0.321
"P17","Lo votaría",0.203,0.108,0.18,0.375,0.13,0.03,0,0.117,0.072,0.073
"P17","Puede que lo vote",0.065,0.196,0.343,0.31,0.261,0.192,0.325,0.325,0.269,0.206
"P17","Nunca lo votaría",0.449,0.516,0.355,0.149,0.53,0.621,0.511,0.421,0.49,0.442
"P17","No sabe",0.283,0.18,0.122,0.166,0.079,0.157,0.164,0.137,0.169,0.279
"P18","Lo votaría",0.13,0.202,0.032,0.055,0.331,0.01,0.06,0.028,0.066,0.003
"P18","Puede que lo vote",0.185,0.179,0.214,0.325,0.093,0.421,0.352,0.234,0.139,0.157
"P18","Nunca lo votaría",0.361,0.402,0.558,0.485,0.48,0.396,0.421,0.559,0.656,0.487
"P18","No sabe",0.324,0.217,0.196,0.135,0.096,0.173,0.167,0.179,0.139,0.353
"P19","Lo votaría",0.078,0.145,0.048,0.036,0.079,0.313,0.05,0.095,0.066,0.022
"P19","Puede que lo vote",0.278,0.248,0.146,0.253,0.203,0.399,0.284,0.198,0.124,0.15
"P19","Nunca lo votaría",0.332,0.408,0.606,0.567,0.611,0.221,0.392,0.582,0.682,0.493
"P19","No sabe",0.312,0.199,0.2,0.144,0.107,0.067,0.274,0.125,0.128,0.335
"P20","Lo votaría",0.158,0.099,0.052,0.008,0.085,0.02,0.398,0.096,0.07,0.01
"P20","Puede que lo vote",0.083,0.184,0.136,0.229,0.141,0.389,0.184,0.133,0.062,0.137
"P20","Nunca lo votaría",0.372,0.487,0.655,0.57,0.582,0.383,0.124,0.574,0.637,0.484
"P20","No sabe",0.387,0.23,0.157,0.193,0.192,0.208,0.294,0.197,0.231,0.369
"P21","Lo votaría",0.162,0.402,0.229,0.24,0.047,0.086,0.245,0.646,0.071,0.078
"P21","Puede que lo vote",0.12,0.134,0.207,0.242,0.222,0.147,0.208,0.119,0.138,0.21
"P21","Nunca lo votaría",0.448,0.289,0.469,0.392,0.561,0.579,0.361,0.188,0.648,0.457
"P21","No sabe",0.27,0.175,0.095,0.126,0.17,0.188,0.186,0.047,0.143,0.255
"P22","Lo votaría",0.092,0.251,0.146,0.113,0.108,0.157,0.038,0.13,0.488,0.007
"P22","Puede que lo vote",0.149,0.223,0.169,0.35,0.228,0.16,0.161,0.251,0.066,0.185
"P22","Nunca lo votaría",0.415,0.351,0.528,0.373,0.456,0.473,0.505,0.469,0.293,0.407
"P22","No sabe",0.344,0.175,0.157,0.164,0.208,0.21,0.296,0.15,0.153,0.401
"P23","Muy buena",0.134,0.144,0.146,0.155,0.109,0,0.135,0.038,0.119,0.042
"P23","Buena",0.153,0.176,0.227,0.22,0.267,0.157,0.167,0.343,0.296,0.224
"P23","Ni buena ni mala",0.311,0.207,0.428,0.319,0.283,0.385,0.338,0.405,0.255,0.392
"P23","Mala",0.282,0.473,0.168,0.201,0.303,0.219,0.349,0.16,0.274,0.255
"P23","Muy mala",0.12,0,0.01,0.092,0.038,0.239,0.011,0.051,0.056,0.08
"P23","No sabe",0,0,0.021,0.013,0,0,0,0.003,0,0.007
"P24","Muy buena",0.134,0.222,0.139,0.06,0.073,0.004,0,0.091,0.049,0.045
"P24","Buena",0.203,0.155,0.243,0.216,0.277,0.176,0.236,0.316,0.26,0.196
"P24","Ni buena ni mala",0.405,0.222,0.372,0.446,0.297,0.4,0.459,0.351,0.414,0.46
"P24","Mala",0.133,0.287,0.196,0.247,0.338,0.252,0.296,0.174,0.221,0.224
"P24","Muy mala",0.125,0.114,0.028,0.031,0.015,0.168,0.009,0.049,0.056,0.069
"P24","No sabe",0,0,0.022,0,0,0,0,0.019,0,0.006
"P25","El gobierno nacional",0.262,0.382,0.362,0.273,0.163,0.13,0.212,0.239,0.445,0.175
"P25","El gobierno provincial",0.394,0.515,0.313,0.412,0.607,0.497,0.498,0.374,0.274,0.423
"P25","No sabe",0.344,0.103,0.325,0.315,0.23,0.373,0.29,0.387,0.281,0.402
"P26","El gobierno nacional",0.249,0.22,0.143,0.211,0.096,0.132,0.019,0.082,0.28,0.077
"P26","El gobierno provincial",0.535,0.501,0.3,0.388,0.734,0.625,0.591,0.419,0.298,0.495
"P26","No sabe",0.216,0.279,0.557,0.401,0.17,0.243,0.39,0.499,0.422,0.428
"P27","Muy buena",0.267,0.266,0.491,0.417,0.104,0.065,0.168,0.447,0.352,0.193
"P27","Buena",0.17,0.14,0.239,0.293,0.338,0.29,0.276,0.201,0.294,0.299
"P27","Ni buena ni mala",0.375,0.339,0.215,0.202,0.237,0.382,0.194,0.284,0.326,0.321
"P27","Mala",0.092,0.138,0.037,0.088,0.273,0.156,0.344,0.049,0.028,0.095
"P27","Muy mala",0.071,0.117,0,0,0.048,0.107,0.018,0.019,0,0.066
"P27","No sabe",0.025,0,0.018,0,0,0,0,0,0,0.026
"P28","Muy buena",0.203,0.168,0.06,0.075,0.103,0.046,0.092,0.052,0.07,0.007
"P28","Buena",0.138,0.146,0.15,0.226,0.248,0.138,0.232,0.113,0.058,0.07
"P28","Ni buena ni mala",0.393,0.495,0.385,0.419,0.351,0.561,0.451,0.516,0.46,0.436
"P28","Mala",0.178,0.168,0.286,0.245,0.214,0.173,0.196,0.203,0.319,0.226
"P28","Muy mala",0.048,0.023,0.051,0.035,0.022,0.061,0.029,0.072,0.06,0.121
"P28","No sabe",0.04,0,0.068,0,0.062,0.021,0,0.044,0.033,0.14
"P29","Muy buena",0.065,0.389,0.051,0.068,0.086,0.048,0.05,0.043,0.028,0.008
"P29","Buena",0.102,0.116,0.163,0.151,0.22,0.231,0.029,0.208,0.052,0.054
"P29","Ni buena ni mala",0.4,0.384,0.446,0.467,0.29,0.526,0.649,0.505,0.557,0.487
"P29","Mala",0.262,0.111,0.221,0.236,0.265,0.101,0.127,0.15,0.298,0.197
"P29","Muy mala",0.058,0,0.03,0.033,0.025,0.059,0.107,0.029,0.056,0.082
"P29","No sabe",0.113,0,0.089,0.045,0.114,0.035,0.038,0.065,0.009,0.172
"P30","Muy buena",0.043,0.131,0.012,0.037,0.209,0.029,0.091,0.005,0.025,0.005
"P30","Buena",0.125,0.126,0.091,0.123,0.121,0.277,0.028,0.075,0.04,0.057
"P30","Ni buena ni mala",0.428,0.547,0.488,0.428,0.295,0.466,0.619,0.494,0.553,0.448
"P30","Mala",0.194,0.184,0.212,0.224,0.234,0.146,0.088,0.234,0.317,0.213
"P30","Muy mala",0.052,0.005,0.075,0.107,0.02,0.054,0.124,0.081,0.056,0.079
"P30","No sabe",0.158,0.007,0.122,0.081,0.121,0.028,0.05,0.111,0.009,0.198
"P31","Muy buena",0.057,0.113,0.008,0.054,0.161,0.269,0.051,0.056,0.007,0.016
"P31","Buena",0.098,0.106,0.095,0.154,0.151,0.23,0.034,0.099,0.035,0.048
"P31","Ni buena ni mala",0.493,0.44,0.46,0.432,0.455,0.291,0.581,0.469,0.438,0.485
"P31","Mala",0.131,0.17,0.25,0.233,0.07,0.101,0.152,0.215,0.435,0.152
"P31","Muy mala",0.05,0,0.044,0.031,0.014,0.085,0.131,0.067,0.006,0.088
"P31","No sabe",0.171,0.171,0.143,0.096,0.149,0.024,0.051,0.094,0.079,0.211
"P32","Muy buena",0.027,0.211,0.042,0.039,0.155,0.047,0.384,0.07,0,0.013
"P32","Buena",0.059,0.046,0.075,0.154,0.097,0.123,0.099,0.055,0.021,0.022
"P32","Ni buena ni mala",0.551,0.499,0.428,0.404,0.463,0.628,0.38,0.499,0.45,0.484
"P32","Mala",0.135,0.1,0.267,0.204,0.145,0.082,0.085,0.205,0.413,0.12
"P32","Muy mala",0.049,0,0.032,0.085,0.02,0.015,0,0.07,0.006,0.081
"P32","No sabe",0.179,0.144,0.156,0.114,0.12,0.105,0.052,0.101,0.11,0.28
"P33","Muy buena",0.065,0.15,0.091,0.296,0.136,0.01,0.066,0.074,0.069,0.032
