"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"Siempre",0.248,0.246,0.251,0.217,0.233,0.286,0.302,0.271,0.253,0.199,0.246,0.289,0.317,0.233,0.238,0.255
"Casi siempre",0.327,0.331,0.324,0.297,0.315,0.353,0.388,0.288,0.331,0.393,0.348,0.307,0.297,0.361,0.337,0.321
"Casi nunca",0.279,0.259,0.296,0.288,0.307,0.26,0.207,0.254,0.28,0.321,0.266,0.277,0.257,0.272,0.245,0.3
"Nunca, pero esta es una excepción",0.146,0.164,0.129,0.198,0.145,0.101,0.103,0.187,0.136,0.087,0.14,0.127,0.129,0.134,0.18,0.124
