"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.433,0.422,0.443,0.391,0.466,0.454,0.392,0.503,0.398,0.4,0.765,0.142,0.417,0.338,0.467,0.397,0.5,0.872,0.149,0.09,0.295,0.213
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.451,0.477,0.428,0.495,0.428,0.433,0.46,0.393,0.464,0.501,0.176,0.741,0.423,0.523,0.437,0.526,0.388,0.086,0.682,0.843,0.275,0.57
"En blanco",0.056,0.053,0.058,0.066,0.046,0.049,0.074,0.043,0.068,0.054,0.029,0.055,0.075,0.071,0.037,0.031,0.056,0.018,0.089,0.034,0.175,0.105
"No sabe",0.06,0.048,0.071,0.048,0.06,0.064,0.074,0.061,0.07,0.045,0.03,0.062,0.085,0.068,0.059,0.046,0.056,0.024,0.08,0.033,0.255,0.112
