"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.351,0.264,0.299,0.287
"P05","2",0.045,0.177,0.061,0.04
"P05","3",0.055,0.04,0.151,0.042
"P05","4",0.057,0.043,0.044,0.188
"P05","5",0.199,0.173,0.164,0.156
"P05","6",0.047,0.031,0.034,0.036
"P05","7",0.073,0.044,0.043,0.055
"P05","8",0.041,0.036,0.046,0.038
"P05","9",0.132,0.192,0.158,0.158
"P06","1",0.243,0.27,0.315,0.305
"P06","2",0.038,0.074,0.06,0.045
"P06","3",0.047,0.052,0.042,0.034
"P06","4",0.052,0.043,0.036,0.037
"P06","5",0.199,0.209,0.184,0.175
"P06","6",0.048,0.029,0.023,0.042
"P06","7",0.074,0.047,0.036,0.058
"P06","8",0.069,0.047,0.047,0.055
"P06","9",0.23,0.229,0.257,0.249
"P07","1",0.362,0.311,0.335,0.34
"P07","2",0.045,0.035,0.044,0.035
"P07","3",0.033,0.027,0.019,0.016
"P07","4",0.024,0.026,0.016,0.025
"P07","5",0.12,0.104,0.087,0.113
"P07","6",0.023,0.018,0.024,0.022
"P07","7",0.043,0.029,0.028,0.035
"P07","8",0.039,0.027,0.041,0.04
"P07","9",0.311,0.423,0.406,0.374
"P09","Del Frente de Todos y el peronismo",0.303,0.312,0.317,0.322
"P09","De Cambiemos",0.297,0.231,0.255,0.421
"P09","De los Liberales libertarios",0.213,0.18,0.154,0.072
"P09","De la Izquierda",0.04,0.041,0.025,0.02
"P09","No sabe",0.147,0.236,0.249,0.165
"P10","A Alberto Fernández",0.169,0.391,0.376,0.177
"P10","A Sergio Massa",0.19,0.185,0.157,0.216
"P10","A algún candidato del peronismo",0.2,0.177,0.146,0.182
"P10","A algún candidato del kirchnerismo",0.441,0.247,0.321,0.425
"P11","A Alberto Fernández",0.096,0.294,0.284,0.097
"P11","A Sergio Massa",0.136,0.12,0.091,0.186
"P11","A algún candidato del peronismo",0.144,0.113,0.154,0.125
"P11","A Cristina Fernández de Kirchner",0.624,0.473,0.471,0.592
"P12","A Horacio Rodriguez Larreta",0.262,0.284,0.285,0.18
"P12","A Mauricio Macri",0.338,0.381,0.311,0.396
"P12","A Patricia Bullrich",0.284,0.221,0.273,0.332
"P12","A Facundo Manes",0.081,0.071,0.071,0.058
"P12","A Gerardo Morales",0.035,0.043,0.06,0.034
"P13","Seguro lo votaria",0.174,0.297,0.204,0.177
"P13","Quizás lo votaría",0.341,0.323,0.377,0.309
"P13","Nunca lo votaría",0.485,0.38,0.419,0.514
"P14","Lo votaría",0.21,0.191,0.197,0.309
"P14","Puede que lo vote",0.207,0.181,0.191,0.186
"P14","Nunca lo votaría",0.496,0.488,0.504,0.405
"P14","No sabe",0.087,0.14,0.108,0.1
