"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.076,0.062,0.089,0.069,0.075,0.064,0.101,0.113,0.068,0.05,0.068,0.066,0.101,0.084,0.112,0.055,0.043,6
"Buena",0.14,0.147,0.133,0.098,0.161,0.139,0.138,0.173,0.124,0.129,0.139,0.137,0.135,0.143,0.272,0.055,0.049,6
"Ni buena ni mala",0.176,0.157,0.195,0.161,0.196,0.156,0.176,0.209,0.184,0.133,0.178,0.187,0.167,0.171,0.318,0.053,0.164,6
"Mala",0.119,0.118,0.121,0.12,0.117,0.115,0.131,0.104,0.128,0.123,0.115,0.128,0.099,0.122,0.122,0.106,0.168,6
"Muy mala",0.475,0.509,0.443,0.53,0.436,0.522,0.439,0.373,0.487,0.559,0.492,0.459,0.477,0.467,0.163,0.726,0.552,6
"No sabe",0.014,0.007,0.019,0.022,0.015,0.004,0.015,0.028,0.009,0.006,0.008,0.023,0.021,0.013,0.013,0.005,0.024,6
"Positiva",0.216,0.209,0.222,0.167,0.236,0.203,0.239,0.286,0.192,0.179,0.207,0.203,0.236,0.227,0.384,0.11,0.092,4
"Neutra",0.176,0.157,0.195,0.161,0.196,0.156,0.176,0.209,0.184,0.133,0.178,0.187,0.167,0.171,0.318,0.053,0.164,4
"Negativa",0.594,0.627,0.564,0.65,0.553,0.637,0.57,0.477,0.615,0.682,0.607,0.587,0.576,0.589,0.285,0.832,0.72,4
"No sabe",0.014,0.007,0.019,0.022,0.015,0.004,0.015,0.028,0.009,0.006,0.008,0.023,0.021,0.013,0.013,0.005,0.024,4
