"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.423,0.443,0.403
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.154,0.231
"P04","No tengo trabajo",0.195,0.171,0.199
"P04","Soy jubilado o pensionado",0.188,0.232,0.167
"P05","1",0.247,0.392,0.273
"P05","2",0.046,0.07,0.089
"P05","3",0.039,0.103,0.059
"P05","4",0.068,0.107,0.076
"P05","5",0.125,0.18,0.21
"P05","6",0.052,0.034,0.041
"P05","7",0.13,0.029,0.05
"P05","8",0.075,0.02,0.049
"P05","9",0.218,0.065,0.153
"P06","1",0.449,0.163,0.235
"P06","2",0.068,0.035,0.044
"P06","3",0.068,0.036,0.038
"P06","4",0.058,0.029,0.055
"P06","5",0.159,0.209,0.197
"P06","6",0.022,0.053,0.039
"P06","7",0.032,0.098,0.055
"P06","8",0.018,0.09,0.061
"P06","9",0.126,0.287,0.276
"P07","1",0.571,0.209,0.321
"P07","2",0.057,0.033,0.029
"P07","3",0.028,0.034,0.026
"P07","4",0.02,0.021,0.024
"P07","5",0.079,0.137,0.122
"P07","6",0.008,0.033,0.02
"P07","7",0.02,0.059,0.031
"P07","8",0.008,0.06,0.05
"P07","9",0.209,0.414,0.377
"P09","Del Frente de Todos y el peronismo",0.774,0.076,0.222
"P09","De Cambiemos",0.084,0.621,0.196
"P09","De los Liberales libertarios",0.027,0.2,0.307
"P09","De la Izquierda",0.031,0.01,0.052
"P09","No sabe",0.084,0.093,0.223
"P10","A Alberto Fernández",0.265,0.132,0.156
"P10","A Sergio Massa",0.19,0.223,0.167
"P10","A algún candidato del peronismo",0.106,0.537,0.23
"P10","A algún candidato del kirchnerismo",0.439,0.108,0.447
"P11","A Alberto Fernández",0.16,0.09,0.073
"P11","A Sergio Massa",0.125,0.226,0.114
"P11","A algún candidato del peronismo",0.065,0.557,0.203
"P11","A Cristina Fernández de Kirchner",0.65,0.127,0.61
"P12","A Horacio Rodriguez Larreta",0.253,0.254,0.123
"P12","A Mauricio Macri",0.27,0.352,0.422
"P12","A Patricia Bullrich",0.044,0.315,0.365
"P12","A Facundo Manes",0.297,0.05,0.064
"P12","A Gerardo Morales",0.136,0.029,0.026
"P13","Seguro lo votaria",0.228,0.188,0.218
"P13","Quizás lo votaría",0.205,0.316,0.354
"P13","Nunca lo votaría",0.567,0.496,0.428
"P14","Lo votaría",0.055,0.449,0.144
"P14","Puede que lo vote",0.044,0.318,0.199
"P14","Nunca lo votaría",0.826,0.192,0.535
"P14","No sabe",0.075,0.041,0.122
"P15","Lo votaría",0.27,0.074,0.082
"P15","Puede que lo vote",0.408,0.099,0.15
"P15","Nunca lo votaría",0.22,0.791,0.664
"P15","No sabe",0.102,0.036,0.104
"P16","Lo votaría",0.375,0.024,0.044
"P16","Puede que lo vote",0.412,0.024,0.112
"P16","Nunca lo votaría",0.141,0.934,0.762
"P16","No sabe",0.072,0.018,0.082
"P17","La votaría",0.743,0.026,0.2
"P17","Puede que la vote",0.145,0.018,0.072
"P17","Nunca la votaría",0.08,0.952,0.68
"P17","No sabe",0.032,0.004,0.048
"P18","Lo votaría",0.085,0.312,0.052
"P18","Puede que lo vote",0.079,0.422,0.169
"P18","Nunca lo votaría",0.79,0.211,0.665
"P18","No sabe",0.046,0.055,0.114
"P19","Lo votaría",0.038,0.118,0.046
"P19","Puede que lo vote",0.178,0.31,0.171
"P19","Nunca lo votaría",0.646,0.471,0.621
"P19","No sabe",0.138,0.101,0.162
"P20","La votaría",0.035,0.49,0.194
"P20","Puede que la vote",0.072,0.286,0.201
"P20","Nunca la votaría",0.836,0.181,0.505
"P20","No sabe",0.057,0.043,0.1
"P21","Lo votaría",0.041,0.254,0.312
"P21","Puede que lo vote",0.064,0.309,0.161
"P21","Nunca lo votaría",0.835,0.392,0.461
"P21","No sabe",0.06,0.045,0.066
"P22","La votaría",0.028,0.28,0.088
"P22","Puede que la vote",0.056,0.389,0.158
"P22","Nunca la votaría",0.844,0.259,0.623
"P22","No sabe",0.072,0.072,0.131
"P23","Lo votaría",0.21,0.042,0.037
"P23","Puede que lo vote",0.44,0.073,0.142
"P23","Nunca lo votaría",0.267,0.847,0.737
"P23","No sabe",0.083,0.038,0.084
"P24","Lo votaría",0.034,0.106,0.021
"P24","Puede que lo vote",0.119,0.284,0.084
"P24","Nunca lo votaría",0.712,0.513,0.745
"P24","No sabe",0.135,0.097,0.15
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.025,0.421,0.134
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.012,0.265,0.044
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.124,0.006,0.024
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.773,0.024,0.218
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.022,0.205,0.349
"P25","Nicolás del Caño – Myriam Bregman",0.022,0.009,0.034
"P25","Otros candidatos",0.022,0.07,0.197
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.875,0.02,0.221
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.031,0.582,0.144
"P29","Javier Milei – José Luis Espert por los liberales",0.022,0.257,0.373
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.012,0.047
"P29","Otro candidato",0.042,0.129,0.215
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.098,0.554,0.078
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.694,0.069,0.08
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.03,0.275,0.405
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.011,0.057
"P31","Otro candidato",0.124,0.091,0.38
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.655,0.054,0.136
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.059,0.634,0.186
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.039,0.212,0.344
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.008,0.05
"P33","Otro candidato",0.193,0.092,0.284
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.624,0.079,0.143
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.08,0.547,0.07
"P35","Javier Milei – José Luis Espert por los liberales",0.034,0.27,0.391
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.062,0.008,0.047
"P35","Otro candidato",0.2,0.096,0.349
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.811,0.042,0.222
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.057,0.585,0.055
"P37","Javier Milei – José Luis Espert por los liberales",0.033,0.277,0.407
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.027,0.005,0.041
"P37","Otro candidato",0.072,0.091,0.275
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.702,0.035,0.143
