"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.203,0.228,0.179,0.235,0.216,0.177,0.179,0.253,0.192,0.169,0.215,0.251,0.157,0.178,0.176,0.209,0.257
"Quizás lo votaría",0.337,0.326,0.348,0.356,0.35,0.325,0.31,0.357,0.347,0.306,0.327,0.325,0.376,0.346,0.369,0.334,0.312
"Nunca lo votaría",0.46,0.446,0.473,0.409,0.434,0.498,0.511,0.39,0.461,0.525,0.458,0.424,0.467,0.476,0.455,0.457,0.431
