"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.469,0.437,0.384
"P04","Realizo changas o trabajos de vez en cuando",0.159,0.158,0.237
"P04","No tengo trabajo",0.162,0.176,0.224
"P04","Soy jubilado o pensionado",0.21,0.229,0.155
"P05","1",0.206,0.384,0.31
"P05","2",0.06,0.073,0.076
"P05","3",0.035,0.105,0.065
"P05","4",0.062,0.106,0.083
"P05","5",0.143,0.184,0.182
"P05","6",0.06,0.037,0.035
"P05","7",0.138,0.029,0.047
"P05","8",0.088,0.02,0.039
"P05","9",0.208,0.062,0.163
"P06","1",0.444,0.15,0.246
"P06","2",0.061,0.038,0.041
"P06","3",0.078,0.035,0.028
"P06","4",0.066,0.029,0.046
"P06","5",0.165,0.22,0.184
"P06","6",0.028,0.057,0.031
"P06","7",0.032,0.103,0.056
"P06","8",0.024,0.086,0.059
"P06","9",0.102,0.282,0.309
"P07","1",0.591,0.201,0.304
"P07","2",0.048,0.034,0.033
"P07","3",0.03,0.033,0.026
"P07","4",0.019,0.022,0.024
"P07","5",0.086,0.145,0.12
"P07","6",0.006,0.036,0.017
"P07","7",0.016,0.063,0.035
"P07","8",0.013,0.058,0.045
"P07","9",0.191,0.408,0.396
"P09","Del Frente de Todos y el peronismo",0.784,0.065,0.23
"P09","De Cambiemos",0.067,0.616,0.206
"P09","De los Liberales libertarios",0.026,0.206,0.304
"P09","De la Izquierda",0.035,0.009,0.052
"P09","No sabe",0.088,0.104,0.208
"P10","A Alberto Fernández",0.19,0.139,0.313
"P10","A Sergio Massa",0.224,0.142,0.109
"P10","A algún candidato del peronismo",0.101,0.582,0.247
"P10","A algún candidato del kirchnerismo",0.485,0.137,0.331
"P11","A Alberto Fernández",0.093,0.09,0.208
"P11","A Sergio Massa",0.14,0.166,0.084
"P11","A algún candidato del peronismo",0.064,0.633,0.219
"P11","A Cristina Fernández de Kirchner",0.703,0.111,0.489
"P12","A Horacio Rodriguez Larreta",0.178,0.251,0.13
"P12","A Mauricio Macri",0.187,0.359,0.412
"P12","A Patricia Bullrich",0.047,0.315,0.363
"P12","A Facundo Manes",0.445,0.046,0.054
"P12","A Gerardo Morales",0.143,0.029,0.041
"P13","Seguro lo votaria",0.135,0.186,0.239
"P13","Quizás lo votaría",0.248,0.322,0.343
"P13","Nunca lo votaría",0.617,0.492,0.418
"P14","Lo votaría",0.044,0.444,0.158
"P14","Puede que lo vote",0.039,0.324,0.195
"P14","Nunca lo votaría",0.844,0.189,0.523
"P14","No sabe",0.073,0.043,0.124
"P15","Lo votaría",0.302,0.071,0.059
"P15","Puede que lo vote",0.434,0.087,0.146
"P15","Nunca lo votaría",0.19,0.802,0.675
"P15","No sabe",0.074,0.04,0.12
"P16","Lo votaría",0.285,0.022,0.108
"P16","Puede que lo vote",0.445,0.021,0.101
"P16","Nunca lo votaría",0.191,0.935,0.721
"P16","No sabe",0.079,0.022,0.07
"P17","La votaría",0.746,0.021,0.205
"P17","Puede que la vote",0.15,0.015,0.069
"P17","Nunca la votaría",0.079,0.959,0.674
"P17","No sabe",0.025,0.005,0.052
"P18","Lo votaría",0.079,0.305,0.059
"P18","Puede que lo vote",0.077,0.417,0.172
"P18","Nunca lo votaría",0.803,0.226,0.65
"P18","No sabe",0.041,0.052,0.119
"P19","Lo votaría",0.041,0.117,0.043
"P19","Puede que lo vote",0.187,0.309,0.166
"P19","Nunca lo votaría",0.646,0.473,0.624
"P19","No sabe",0.126,0.101,0.167
"P20","La votaría",0.033,0.5,0.195
"P20","Puede que la vote",0.049,0.291,0.206
"P20","Nunca la votaría",0.882,0.164,0.488
"P20","No sabe",0.036,0.045,0.111
"P21","Lo votaría",0.031,0.259,0.312
"P21","Puede que lo vote",0.056,0.309,0.167
"P21","Nunca lo votaría",0.871,0.382,0.445
"P21","No sabe",0.042,0.05,0.076
"P22","La votaría",0.027,0.27,0.095
"P22","Puede que la vote",0.047,0.397,0.16
"P22","Nunca la votaría",0.869,0.259,0.611
"P22","No sabe",0.057,0.074,0.134
"P23","Lo votaría",0.209,0.043,0.04
"P23","Puede que lo vote",0.47,0.069,0.125
"P23","Nunca lo votaría",0.256,0.858,0.735
"P23","No sabe",0.065,0.03,0.1
"P24","Lo votaría",0.038,0.108,0.016
"P24","Puede que lo vote",0.12,0.287,0.082
"P24","Nunca lo votaría",0.729,0.515,0.737
"P24","No sabe",0.113,0.09,0.165
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.017,0.41,0.151
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.01,0.266,0.038
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.081,0.007,0.055
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.801,0.021,0.199
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.021,0.219,0.336
