"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.438,0.394,0.461,0.505,0.376
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.153,0.218,0.231,0.222
"P04","No tengo trabajo",0.146,0.167,0.243,0.16,0.239
"P04","Soy jubilado o pensionado",0.22,0.286,0.078,0.104,0.163
"P05","1",0.221,0.382,0.397,0.155,0.231
"P05","2",0.054,0.069,0.09,0.067,0.064
"P05","3",0.026,0.095,0.097,0.084,0.048
"P05","4",0.064,0.114,0.06,0.043,0.089
"P05","5",0.164,0.176,0.175,0.085,0.226
"P05","6",0.055,0.03,0.031,0.059,0.044
"P05","7",0.141,0.03,0.028,0.058,0.081
"P05","8",0.071,0.025,0.018,0.081,0.053
"P05","9",0.204,0.079,0.104,0.368,0.164
"P06","1",0.429,0.17,0.183,0.408,0.292
"P06","2",0.055,0.042,0.028,0.099,0.068
"P06","3",0.081,0.03,0.027,0.093,0.034
"P06","4",0.065,0.028,0.034,0.044,0.055
"P06","5",0.174,0.199,0.157,0.224,0.235
"P06","6",0.029,0.058,0.034,0,0.034
"P06","7",0.035,0.091,0.085,0.018,0.043
"P06","8",0.017,0.087,0.088,0.045,0.031
"P06","9",0.115,0.295,0.364,0.069,0.208
"P07","1",0.559,0.21,0.202,0.654,0.393
"P07","2",0.046,0.034,0.029,0.055,0.038
"P07","3",0.028,0.033,0.025,0.035,0.023
"P07","4",0.024,0.018,0.028,0.006,0.026
"P07","5",0.08,0.127,0.143,0.097,0.101
"P07","6",0.01,0.031,0.026,0.013,0.02
"P07","7",0.023,0.056,0.052,0.005,0.023
"P07","8",0.018,0.053,0.058,0.033,0.03
"P07","9",0.212,0.438,0.437,0.102,0.346
"P09","Del Frente de Todos y el peronismo",0.743,0.087,0.082,0.302,0.383
"P09","De Cambiemos",0.099,0.715,0.123,0.112,0.188
