"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.397,0.416,0.472,0.534,0.406
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.162,0.214,0.207,0.186
"P04","No tengo trabajo",0.199,0.149,0.206,0.166,0.191
"P04","Soy jubilado o pensionado",0.203,0.273,0.108,0.093,0.217
"P05","1",0.223,0.367,0.388,0.123,0.289
"P05","2",0.055,0.063,0.092,0.098,0.068
"P05","3",0.035,0.084,0.101,0.021,0.072
"P05","4",0.063,0.11,0.071,0.06,0.114
"P05","5",0.145,0.189,0.18,0.077,0.237
"P05","6",0.047,0.036,0.031,0.11,0.042
"P05","7",0.131,0.04,0.024,0.078,0.044
"P05","8",0.077,0.027,0.021,0.094,0.033
"P05","9",0.224,0.084,0.092,0.339,0.101
"P06","1",0.428,0.191,0.15,0.356,0.239
"P06","2",0.07,0.044,0.029,0.114,0.041
"P06","3",0.076,0.031,0.031,0.085,0.027
"P06","4",0.062,0.033,0.028,0.051,0.057
"P06","5",0.152,0.228,0.158,0.249,0.245
"P06","6",0.022,0.058,0.038,0.005,0.055
"P06","7",0.035,0.087,0.083,0.013,0.063
"P06","8",0.016,0.071,0.1,0.032,0.06
"P06","9",0.139,0.257,0.383,0.095,0.213
"P07","1",0.555,0.243,0.189,0.659,0.287
"P07","2",0.049,0.035,0.028,0.065,0.037
"P07","3",0.028,0.03,0.029,0.051,0.028
"P07","4",0.019,0.018,0.032,0.01,0.026
"P07","5",0.082,0.122,0.142,0.044,0.124
"P07","6",0.011,0.038,0.024,0.002,0.024
"P07","7",0.015,0.059,0.058,0.015,0.031
"P07","8",0.014,0.055,0.062,0.025,0.042
"P07","9",0.227,0.4,0.436,0.129,0.401
"P09","Del Frente de Todos y el peronismo",0.795,0.103,0.051,0.128,0.161
"P09","De Cambiemos",0.08,0.742,0.2,0.065,0.35
"P09","De los Liberales libertarios",0.013,0.049,0.617,0.029,0.098
"P09","De la Izquierda",0.014,0.007,0.017,0.645,0.038
"P09","No sabe",0.098,0.099,0.115,0.133,0.353
"P10","A Alberto Fernández",0.226,0.232,0.129,0.414,0.319
"P10","A Sergio Massa",0.181,0.189,0.289,0.13,0.183
"P10","A algún candidato del peronismo",0.121,0.374,0.465,0.251,0.317
"P10","A algún candidato del kirchnerismo",0.472,0.205,0.117,0.205,0.181
"P11","A Alberto Fernández",0.131,0.11,0.062,0.353,0.213
"P11","A Sergio Massa",0.115,0.246,0.193,0.049,0.186
"P11","A algún candidato del peronismo",0.069,0.381,0.619,0.225,0.368
"P11","A Cristina Fernández de Kirchner",0.685,0.263,0.126,0.373,0.233
"P12","A Horacio Rodriguez Larreta",0.262,0.313,0.102,0.164,0.058
"P12","A Mauricio Macri",0.302,0.329,0.411,0.072,0.425
"P12","A Patricia Bullrich",0.129,0.269,0.441,0.031,0.408
"P12","A Facundo Manes",0.23,0.05,0.032,0.672,0.085
"P12","A Gerardo Morales",0.077,0.039,0.014,0.061,0.024
"P13","Seguro lo votaria",0.132,0.189,0.384,0.039,0.118
"P13","Quizás lo votaría",0.33,0.287,0.411,0.65,0.293
"P13","Nunca lo votaría",0.538,0.524,0.205,0.311,0.589
"P14","Lo votaría",0.051,0.466,0.227,0.073,0.248
"P14","Puede que lo vote",0.044,0.292,0.317,0.039,0.199
"P14","Nunca lo votaría",0.833,0.195,0.375,0.74,0.409
"P14","No sabe",0.072,0.047,0.081,0.148,0.144
"P15","Lo votaría",0.252,0.085,0.059,0.02,0.096
"P15","Puede que lo vote",0.397,0.096,0.109,0.209,0.126
"P15","Nunca lo votaría",0.253,0.773,0.78,0.643,0.647
"P15","No sabe",0.098,0.046,0.052,0.128,0.131
"P16","Lo votaría",0.301,0.034,0.032,0.074,0.078
"P16","Puede que lo vote",0.374,0.046,0.032,0.198,0.114
"P16","Nunca lo votaría",0.231,0.896,0.912,0.601,0.713
"P16","No sabe",0.094,0.024,0.024,0.127,0.095
"P17","La votaría",0.79,0.039,0.025,0.15,0.106
"P17","Puede que la vote",0.118,0.031,0.031,0.263,0.071
"P17","Nunca la votaría",0.073,0.92,0.925,0.546,0.733
"P17","No sabe",0.019,0.01,0.019,0.041,0.09
"P18","Lo votaría",0.088,0.409,0.062,0.051,0.073
"P18","Puede que lo vote",0.081,0.37,0.286,0.136,0.292
"P18","Nunca lo votaría",0.774,0.181,0.572,0.729,0.479
"P18","No sabe",0.057,0.04,0.08,0.084,0.156
"P19","Lo votaría",0.036,0.131,0.048,0.054,0.093
"P19","Puede que lo vote",0.178,0.318,0.213,0.188,0.183
"P19","Nunca lo votaría",0.642,0.463,0.597,0.585,0.548
"P19","No sabe",0.144,0.088,0.142,0.173,0.176
"P20","La votaría",0.035,0.45,0.338,0.046,0.292
"P20","Puede que la vote",0.059,0.294,0.297,0.096,0.163
"P20","Nunca la votaría",0.845,0.208,0.292,0.799,0.425
"P20","No sabe",0.061,0.048,0.073,0.059,0.12
"P21","Lo votaría",0.029,0.106,0.668,0.039,0.074
"P21","Puede que lo vote",0.065,0.281,0.246,0.117,0.195
"P21","Nunca lo votaría",0.851,0.546,0.074,0.78,0.598
"P21","No sabe",0.055,0.067,0.012,0.064,0.133
"P22","La votaría",0.029,0.287,0.161,0.047,0.091
