"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.218,0.412,0.426,0.451
"P04","Realizo changas o trabajos de vez en cuando",0.358,0.193,0.178,0.183
"P04","No tengo trabajo",0.322,0.137,0.227,0.169
"P04","Soy jubilado o pensionado",0.102,0.258,0.169,0.197
"P05","1",0.357,0.295,0.309,0.163
"P05","2",0.115,0.048,0.092,0.048
"P05","3",0.073,0.043,0.079,0.034
"P05","4",0.029,0.104,0.116,0.041
"P05","5",0.137,0.189,0.172,0.117
"P05","6",0.013,0.065,0.039,0.056
"P05","7",0.03,0.067,0.072,0.173
"P05","8",0.028,0.033,0.036,0.094
"P05","9",0.218,0.156,0.085,0.274
"P06","1",0.509,0.303,0.312,0.476
"P06","2",0.068,0.052,0.032,0.081
"P06","3",0.065,0.055,0.05,0.079
"P06","4",0.024,0.094,0.048,0.054
"P06","5",0.129,0.223,0.222,0.125
"P06","6",0.007,0.039,0.027,0.023
"P06","7",0.004,0.045,0.076,0.035
"P06","8",0.038,0.015,0.052,0.016
"P06","9",0.156,0.174,0.181,0.111
"P07","1",0.376,0.419,0.336,0.652
"P07","2",0.058,0.081,0.016,0.049
"P07","3",0.01,0.022,0.021,0.025
"P07","4",0.002,0.019,0.028,0.023
"P07","5",0.07,0.115,0.123,0.06
"P07","6",0.024,0.026,0.018,0.004
"P07","7",0.002,0.026,0.061,0.007
"P07","8",0.01,0.01,0.058,0.011
"P07","9",0.448,0.282,0.339,0.169
"P10","A Alberto Fernández",0.874,0.098,0.086,0.143
"P10","A Sergio Massa",0.058,0.773,0.097,0.115
"P10","A algún candidato del peronismo",0.039,0.092,0.72,0.109
"P10","A algún candidato del kirchnerismo",0.029,0.037,0.097,0.633
"P14","Lo votaría",0.252,0.043,0.195,0.01
"P14","Puede que lo vote",0.065,0.218,0.109,0.008
"P14","Nunca lo votaría",0.623,0.691,0.626,0.889
"P14","No sabe",0.06,0.048,0.07,0.093
"P15","Lo votaría",0.215,0.704,0.183,0.171
"P15","Puede que lo vote",0.272,0.169,0.297,0.483
"P15","Nunca lo votaría",0.376,0.108,0.436,0.246
"P15","No sabe",0.137,0.019,0.084,0.1
"P16","Lo votaría",0.8,0.273,0.089,0.186
"P16","Puede que lo vote",0.069,0.426,0.249,0.478
"P16","Nunca lo votaría",0.076,0.248,0.527,0.232
"P16","No sabe",0.055,0.053,0.135,0.104
"P17","La votaría",0.802,0.496,0.221,0.897
"P17","Puede que la vote",0.114,0.25,0.19,0.068
"P17","Nunca la votaría",0.07,0.197,0.547,0.024
"P17","No sabe",0.014,0.057,0.042,0.011
"P18","Lo votaría",0.162,0.062,0.128,0.076
"P18","Puede que lo vote",0.134,0.182,0.176,0.032
"P18","Nunca lo votaría",0.611,0.661,0.604,0.851
"P18","No sabe",0.093,0.095,0.092,0.041
"P19","Lo votaría",0.051,0.071,0.094,0.017
"P19","Puede que lo vote",0.181,0.283,0.212,0.151
"P19","Nunca lo votaría",0.58,0.492,0.521,0.71
"P19","No sabe",0.188,0.154,0.173,0.122
"P20","La votaría",0.088,0.046,0.17,0.017
"P20","Puede que la vote",0.102,0.129,0.154,0.03
"P20","Nunca la votaría",0.659,0.782,0.611,0.921
"P20","No sabe",0.151,0.043,0.065,0.032
"P21","Lo votaría",0.09,0.103,0.194,0.012
"P21","Puede que lo vote",0.159,0.117,0.169,0.019
"P21","Nunca lo votaría",0.639,0.702,0.571,0.939
"P21","No sabe",0.112,0.078,0.066,0.03
"P22","La votaría",0.082,0.066,0.078,0.016
"P22","Puede que la vote",0.127,0.146,0.193,0.018
"P22","Nunca la votaría",0.626,0.692,0.617,0.909
"P22","No sabe",0.165,0.096,0.112,0.057
"P23","Lo votaría",0.197,0.229,0.163,0.15
"P23","Puede que lo vote",0.23,0.379,0.262,0.519
"P23","Nunca lo votaría",0.445,0.325,0.486,0.254
"P23","No sabe",0.128,0.067,0.089,0.077
"P24","Lo votaría",0.069,0.086,0.076,0.011
"P24","Puede que lo vote",0.135,0.202,0.129,0.075
"P24","Nunca lo votaría",0.616,0.609,0.695,0.806
"P24","No sabe",0.18,0.103,0.1,0.108
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.068,0.028,0.183,0.005
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.019,0.075,0.1,0.007
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.385,0.105,0.062,0.026
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.508,0.685,0.331,0.936
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.043,0.156,0.006
"P25","Nicolás del Caño – Myriam Bregman",0.005,0.013,0.008,0.004
"P25","Otros candidatos",0.009,0.051,0.16,0.016
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.792,0.737,0.381,0.959
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.055,0.06,0.254,0.012
"P29","Javier Milei – José Luis Espert por los liberales",0.034,0.067,0.179,0.009
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.048,0.008,0.009
"P29","Otro candidato",0.098,0.088,0.178,0.011
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.144,0.139,0.211,0.074
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.765,0.55,0.304,0.589
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.063,0.084,0.194,0.012
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0,0.066,0.025,0.051
"P31","Otro candidato",0.028,0.161,0.266,0.274
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.437,0.72,0.271,0.668
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.121,0.119,0.24,0.03
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.091,0.077,0.181,0.013
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.023,0.012,0.032,0.046
"P33","Otro candidato",0.328,0.072,0.276,0.243
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.405,0.684,0.284,0.676
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.134,0.137,0.211,0.035
"P35","Javier Milei – José Luis Espert por los liberales",0.076,0.057,0.177,0.011
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.053,0.006,0.056,0.038
"P35","Otro candidato",0.332,0.116,0.272,0.24
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.763,0.677,0.383,0.917
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.067,0.151,0.22,0.037
"P37","Javier Milei – José Luis Espert por los liberales",0.019,0.058,0.177,0.009
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.004,0.015,0.006
"P37","Otro candidato",0.125,0.11,0.205,0.031
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.573,0.811,0.3,0.729
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.085,0.064,0.257,0.016
"P38","Javier Milei – José Luis Espert por los liberales",0.05,0.059,0.162,0.012
