"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.472,0.437,0.366
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.146,0.267
"P04","No tengo trabajo",0.155,0.178,0.23
"P04","Soy jubilado o pensionado",0.198,0.239,0.137
"P05","1",0.228,0.396,0.272
"P05","2",0.048,0.078,0.081
"P05","3",0.038,0.1,0.06
"P05","4",0.055,0.107,0.083
"P05","5",0.143,0.172,0.202
"P05","6",0.064,0.027,0.041
"P05","7",0.141,0.032,0.041
"P05","8",0.079,0.022,0.044
"P05","9",0.204,0.066,0.176
"P06","1",0.455,0.143,0.264
"P06","2",0.055,0.034,0.053
"P06","3",0.082,0.029,0.034
"P06","4",0.071,0.031,0.045
"P06","5",0.17,0.186,0.219
"P06","6",0.027,0.053,0.032
"P06","7",0.037,0.106,0.035
"P06","8",0.017,0.097,0.049
"P06","9",0.086,0.321,0.269
"P07","1",0.592,0.201,0.319
"P07","2",0.053,0.032,0.031
"P07","3",0.027,0.035,0.025
"P07","4",0.017,0.024,0.022
"P07","5",0.091,0.137,0.115
"P07","6",0.012,0.028,0.022
"P07","7",0.016,0.067,0.022
"P07","8",0.011,0.06,0.045
"P07","9",0.181,0.416,0.399
"P09","Del Frente de Todos y el peronismo",0.77,0.061,0.272
"P09","De Cambiemos",0.073,0.607,0.157
"P09","De los Liberales libertarios",0.032,0.245,0.256
"P09","De la Izquierda",0.035,0.009,0.056
"P09","No sabe",0.09,0.078,0.259
"P10","A Alberto Fernández",0.2,0.193,0.3
"P10","A Sergio Massa",0.228,0.154,0.099
"P10","A algún candidato del peronismo",0.106,0.551,0.232
"P10","A algún candidato del kirchnerismo",0.466,0.102,0.369
"P11","A Alberto Fernández",0.107,0.143,0.189
"P11","A Sergio Massa",0.152,0.193,0.052
"P11","A algún candidato del peronismo",0.069,0.588,0.203
"P11","A Cristina Fernández de Kirchner",0.672,0.076,0.556
"P12","A Horacio Rodriguez Larreta",0.317,0.204,0.285
"P12","A Mauricio Macri",0.173,0.371,0.399
"P12","A Patricia Bullrich",0.019,0.368,0.097
"P12","A Facundo Manes",0.406,0.035,0.127
"P12","A Gerardo Morales",0.085,0.022,0.092
"P13","Seguro lo votaria",0.188,0.189,0.237
"P13","Quizás lo votaría",0.165,0.323,0.358
"P13","Nunca lo votaría",0.647,0.488,0.405
"P14","Lo votaría",0.039,0.457,0.102
"P14","Puede que lo vote",0.042,0.328,0.169
"P14","Nunca lo votaría",0.845,0.168,0.597
"P14","No sabe",0.074,0.047,0.132
"P15","Lo votaría",0.297,0.066,0.072
"P15","Puede que lo vote",0.433,0.071,0.17
"P15","Nunca lo votaría",0.196,0.831,0.611
"P15","No sabe",0.074,0.032,0.147
"P16","Lo votaría",0.291,0.018,0.131
"P16","Puede que lo vote",0.422,0.017,0.126
"P16","Nunca lo votaría",0.208,0.953,0.648
"P16","No sabe",0.079,0.012,0.095
"P17","La votaría",0.721,0.011,0.263
"P17","Puede que la vote",0.145,0.01,0.09
"P17","Nunca la votaría",0.105,0.973,0.59
"P17","No sabe",0.029,0.006,0.057
"P18","Lo votaría",0.082,0.255,0.096
"P18","Puede que lo vote",0.08,0.391,0.169
