"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.435,0.401,0.464,0.535,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.167,0.212,0.183,0.215
"P04","No tengo trabajo",0.163,0.14,0.223,0.192,0.236
"P04","Soy jubilado o pensionado",0.226,0.292,0.101,0.09,0.182
"P05","1",0.242,0.352,0.385,0.152,0.274
"P05","2",0.052,0.068,0.091,0.067,0.065
"P05","3",0.027,0.084,0.1,0.064,0.063
"P05","4",0.067,0.121,0.067,0.054,0.085
"P05","5",0.154,0.189,0.179,0.06,0.209
"P05","6",0.055,0.033,0.036,0.07,0.034
"P05","7",0.13,0.045,0.026,0.062,0.068
"P05","8",0.073,0.026,0.02,0.088,0.048
"P05","9",0.2,0.082,0.096,0.383,0.154
"P06","1",0.427,0.175,0.163,0.375,0.288
"P06","2",0.055,0.047,0.029,0.119,0.06
"P06","3",0.073,0.032,0.027,0.076,0.044
"P06","4",0.068,0.034,0.032,0.052,0.042
"P06","5",0.168,0.228,0.149,0.207,0.213
"P06","6",0.032,0.055,0.034,0.023,0.04
"P06","7",0.033,0.09,0.085,0.02,0.049
"P06","8",0.019,0.071,0.103,0.04,0.046
"P06","9",0.125,0.268,0.378,0.088,0.218
"P07","1",0.524,0.234,0.203,0.671,0.375
"P07","2",0.051,0.037,0.029,0.069,0.03
"P07","3",0.026,0.034,0.028,0.03,0.026
"P07","4",0.019,0.021,0.033,0.01,0.021
"P07","5",0.093,0.119,0.136,0.083,0.108
"P07","6",0.015,0.036,0.027,0.013,0.014
"P07","7",0.02,0.062,0.051,0.008,0.022
"P07","8",0.016,0.058,0.055,0.029,0.032
"P07","9",0.236,0.399,0.438,0.087,0.372
"P09","Del Frente de Todos y el peronismo",0.746,0.112,0.062,0.309,0.341
"P09","De Cambiemos",0.111,0.732,0.192,0.103,0.262
"P09","De los Liberales libertarios",0.036,0.049,0.603,0.008,0.07
"P09","De la Izquierda",0.013,0.01,0.016,0.494,0.025
"P09","No sabe",0.094,0.097,0.127,0.086,0.302
"P10","A Alberto Fernández",0.186,0.306,0.275,0.31,0.294
"P10","A Sergio Massa",0.232,0.2,0.228,0.026,0.083
"P10","A algún candidato del peronismo",0.117,0.348,0.38,0.234,0.195
"P10","A algún candidato del kirchnerismo",0.465,0.146,0.117,0.43,0.428
"P11","A Alberto Fernández",0.095,0.211,0.21,0.187,0.19
"P11","A Sergio Massa",0.155,0.209,0.151,0.022,0.063
"P11","A algún candidato del peronismo",0.069,0.344,0.507,0.206,0.161
"P11","A Cristina Fernández de Kirchner",0.681,0.236,0.132,0.585,0.586
"P12","A Horacio Rodriguez Larreta",0.268,0.302,0.101,0.061,0.134
"P12","A Mauricio Macri",0.29,0.338,0.365,0.539,0.395
"P12","A Patricia Bullrich",0.241,0.271,0.455,0.025,0.333
"P12","A Facundo Manes",0.154,0.052,0.061,0.324,0.092
"P12","A Gerardo Morales",0.047,0.037,0.018,0.051,0.046
"P13","Seguro lo votaria",0.174,0.171,0.421,0.061,0.114
"P13","Quizás lo votaría",0.262,0.299,0.384,0.631,0.311
"P13","Nunca lo votaría",0.564,0.53,0.195,0.308,0.575
"P14","Lo votaría",0.067,0.468,0.225,0.082,0.172
"P14","Puede que lo vote",0.06,0.281,0.319,0.031,0.154
"P14","Nunca lo votaría",0.808,0.195,0.367,0.743,0.553
"P14","No sabe",0.065,0.056,0.089,0.144,0.121
"P15","Lo votaría",0.299,0.094,0.052,0.074,0.081
"P15","Puede que lo vote",0.419,0.108,0.105,0.225,0.174
"P15","Nunca lo votaría",0.209,0.753,0.784,0.587,0.599
"P15","No sabe",0.073,0.045,0.059,0.114,0.146
"P16","Lo votaría",0.247,0.063,0.038,0.163,0.144
"P16","Puede que lo vote",0.383,0.053,0.034,0.245,0.151
"P16","Nunca lo votaría",0.288,0.862,0.897,0.496,0.594
"P16","No sabe",0.082,0.022,0.031,0.096,0.111
"P17","La votaría",0.681,0.067,0.048,0.35,0.333
"P17","Puede que la vote",0.117,0.034,0.032,0.214,0.082
"P17","Nunca la votaría",0.172,0.894,0.899,0.404,0.517
"P17","No sabe",0.03,0.005,0.021,0.032,0.068
"P18","Lo votaría",0.092,0.403,0.061,0.07,0.08
