"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P31","Otro candidato",0.073,0.203,0.216,0.278,0.108
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.106,0.07,0.027,0.253,0.096
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.589,0.708,0.866,0.328,0.525
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.091,0.103,0.072,0.102,0.092
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.008,0,0.013,0.008
"P33","Otro candidato",0.178,0.111,0.035,0.304,0.279
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.101,0.073,0.069,0.187,0.113
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.723,0.539,0.496,0.396,0.566
"P35","Javier Milei – José Luis Espert por los liberales",0.069,0.165,0.236,0.134,0.075
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.018,0.001,0.052,0.016
"P35","Otro candidato",0.104,0.205,0.198,0.231,0.23
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.09,0.067,0.033,0.26,0.171
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.791,0.539,0.508,0.416,0.646
"P37","Javier Milei – José Luis Espert por los liberales",0.073,0.191,0.236,0.076,0.064
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.001,0,0.043,0.007
"P37","Otro candidato",0.043,0.202,0.223,0.205,0.112
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.063,0.017,0.007,0.224,0.166
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.678,0.811,0.738,0.298,0.476
"P38","Javier Milei – José Luis Espert por los liberales",0.108,0.083,0.121,0.084,0.106
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.019,0.006,0.001,0.043,0.026
"P38","Otro candidato",0.132,0.083,0.133,0.351,0.226
