"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.418,0.422,0.435
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.165,0.229
"P04","No tengo trabajo",0.191,0.175,0.196
"P04","Soy jubilado o pensionado",0.196,0.238,0.14
"P05","1",0.229,0.391,0.303
"P05","2",0.053,0.077,0.078
"P05","3",0.036,0.102,0.061
"P05","4",0.064,0.107,0.078
"P05","5",0.137,0.172,0.236
"P05","6",0.056,0.028,0.042
"P05","7",0.13,0.035,0.027
"P05","8",0.077,0.02,0.04
"P05","9",0.218,0.068,0.135
"P06","1",0.432,0.155,0.214
"P06","2",0.075,0.038,0.034
"P06","3",0.073,0.033,0.03
"P06","4",0.059,0.032,0.049
"P06","5",0.161,0.183,0.239
"P06","6",0.022,0.052,0.044
"P06","7",0.03,0.104,0.051
"P06","8",0.019,0.096,0.059
"P06","9",0.129,0.307,0.28
"P07","1",0.567,0.206,0.276
"P07","2",0.054,0.036,0.02
"P07","3",0.027,0.037,0.021
"P07","4",0.022,0.022,0.024
"P07","5",0.084,0.127,0.14
"P07","6",0.01,0.03,0.029
"P07","7",0.015,0.062,0.033
"P07","8",0.012,0.059,0.055
"P07","9",0.209,0.421,0.402
"P09","Del Frente de Todos y el peronismo",0.753,0.084,0.107
"P09","De Cambiemos",0.092,0.627,0.166
"P09","De los Liberales libertarios",0.031,0.21,0.364
"P09","De la Izquierda",0.032,0.01,0.061
"P09","No sabe",0.092,0.069,0.302
"P10","A Alberto Fernández",0.227,0.192,0.267
"P10","A Sergio Massa",0.179,0.22,0.221
"P10","A algún candidato del peronismo",0.126,0.403,0.394
"P10","A algún candidato del kirchnerismo",0.468,0.185,0.118
"P11","A Alberto Fernández",0.135,0.118,0.158
"P11","A Sergio Massa",0.122,0.177,0.158
"P11","A algún candidato del peronismo",0.067,0.441,0.482
"P11","A Cristina Fernández de Kirchner",0.676,0.264,0.202
"P12","A Horacio Rodriguez Larreta",0.287,0.206,0.297
"P12","A Mauricio Macri",0.245,0.403,0.211
"P12","A Patricia Bullrich",0.132,0.33,0.292
"P12","A Facundo Manes",0.258,0.038,0.127
"P12","A Gerardo Morales",0.078,0.023,0.073
"P13","Seguro lo votaria",0.165,0.187,0.263
"P13","Quizás lo votaría",0.25,0.331,0.27
"P13","Nunca lo votaría",0.585,0.482,0.467
"P14","Lo votaría",0.058,0.495,0.067
"P14","Puede que lo vote",0.045,0.323,0.213
"P14","Nunca lo votaría",0.829,0.142,0.562
"P14","No sabe",0.068,0.04,0.158
"P15","Lo votaría",0.25,0.072,0.07
"P15","Puede que lo vote",0.398,0.085,0.122
"P15","Nunca lo votaría",0.264,0.811,0.672
"P15","No sabe",0.088,0.032,0.136
"P16","Lo votaría",0.287,0.029,0.062
"P16","Puede que lo vote",0.373,0.036,0.077
"P16","Nunca lo votaría",0.255,0.922,0.774
"P16","No sabe",0.085,0.013,0.087
"P17","La votaría",0.752,0.032,0.058
"P17","Puede que la vote",0.134,0.017,0.072
"P17","Nunca la votaría",0.09,0.945,0.805
"P17","No sabe",0.024,0.006,0.065
"P18","Lo votaría",0.086,0.272,0.083
"P18","Puede que lo vote",0.083,0.404,0.189
"P18","Nunca lo votaría",0.778,0.277,0.586
"P18","No sabe",0.053,0.047,0.142
"P19","Lo votaría",0.039,0.091,0.084
"P19","Puede que lo vote",0.178,0.272,0.216
"P19","Nunca lo votaría",0.638,0.546,0.518
"P19","No sabe",0.145,0.091,0.182
"P20","La votaría",0.034,0.516,0.169
"P20","Puede que la vote",0.063,0.286,0.236
"P20","Nunca la votaría",0.85,0.153,0.472
"P20","No sabe",0.053,0.045,0.123
"P21","Lo votaría",0.042,0.26,0.375
"P21","Puede que lo vote",0.059,0.303,0.184
"P21","Nunca lo votaría",0.845,0.39,0.368
"P21","No sabe",0.054,0.047,0.073
"P22","La votaría",0.029,0.27,0.097
"P22","Puede que la vote",0.058,0.384,0.176
"P22","Nunca la votaría",0.834,0.276,0.581
"P22","No sabe",0.079,0.07,0.146
"P23","Lo votaría",0.173,0.044,0.036
"P23","Puede que lo vote",0.422,0.072,0.101
"P23","Nunca lo votaría",0.316,0.855,0.769
"P23","No sabe",0.089,0.029,0.094
"P24","Lo votaría",0.025,0.085,0.054
"P24","Puede que lo vote",0.107,0.252,0.123
"P24","Nunca lo votaría",0.739,0.576,0.645
"P24","No sabe",0.129,0.087,0.178
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.037,0.477,0.041
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.022,0.19,0.132
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.006,0.051
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.794,0.036,0.049
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.021,0.21,0.439
"P25","Nicolás del Caño – Myriam Bregman",0.02,0.007,0.045
"P25","Otros candidatos",0.021,0.074,0.243
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.861,0.037,0.066
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.046,0.629,0.047
"P29","Javier Milei – José Luis Espert por los liberales",0.032,0.24,0.483
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.01,0.058
"P29","Otro candidato",0.031,0.084,0.346
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.11,0.483,0.132
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.567,0.077,0.071
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.04,0.288,0.475
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.062,0.008,0.053
"P31","Otro candidato",0.221,0.144,0.269
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.595,0.064,0.074
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.074,0.65,0.138
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.04,0.21,0.434
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.055,0.005,0.053
"P33","Otro candidato",0.236,0.071,0.301
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.573,0.086,0.079
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.088,0.472,0.133
"P35","Javier Milei – José Luis Espert por los liberales",0.037,0.293,0.451
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.06,0.006,0.053
"P35","Otro candidato",0.242,0.143,0.284
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.831,0.047,0.056
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.062,0.498,0.138
"P37","Javier Milei – José Luis Espert por los liberales",0.027,0.305,0.471
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.024,0.004,0.053
"P37","Otro candidato",0.056,0.146,0.282
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.649,0.043,0.07
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.055,0.642,0.054
"P38","Javier Milei – José Luis Espert por los liberales",0.031,0.233,0.482
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.058,0.001,0.064
"P38","Otro candidato",0.207,0.081,0.33
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.716,0.033,0.07
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.057,0.778,0.178
"P40","No sabe",0.227,0.189,0.752
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.703,0.038,0.088
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.044,0.857,0.252
"P41","No sabe",0.253,0.105,0.66
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.876,0.03,0.059
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.057,0.764,0.233
"P42","No sabe",0.067,0.206,0.708
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.704,0.038,0.083
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.062,0.755,0.228
"P43","No sabe",0.234,0.207,0.689
"P44","Mauricio Macri – María Eugenia Vidal",0.125,0.789,0.139
"P44","Sergio Massa – Wado de Pedro",0.634,0.125,0.143
"P44","No sabe",0.241,0.086,0.718
"P45","Sergio Massa – Wado de Pedro",0.661,0.113,0.095
"P45","Javier Milei – José Luis Espert",0.122,0.528,0.45
"P45","No sabe",0.217,0.359,0.455
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.156,0.473,0.137
"P46","Javier Milei – José Luis Espert",0.071,0.365,0.464
"P46","No sabe",0.773,0.162,0.399
"P47","Muy buena",0.127,0.061,0.035
"P47","Buena",0.312,0.04,0.083
"P47","Ni buena ni mala",0.363,0.036,0.165
"P47","Mala",0.127,0.096,0.148
"P47","Muy mala",0.062,0.764,0.532
"P47","No sabe",0.009,0.003,0.037
"P48","Muy buena",0.173,0.027,0.034
"P48","Buena",0.326,0.016,0.032
"P48","Ni buena ni mala",0.281,0.031,0.145
"P48","Mala",0.139,0.099,0.164
"P48","Muy mala",0.072,0.822,0.606
"P48","No sabe",0.009,0.005,0.019
"P49","Muy buena",0.651,0.027,0.033
"P49","Buena",0.192,0.013,0.029
"P49","Ni buena ni mala",0.076,0.016,0.116
"P49","Mala",0.022,0.044,0.137
"P49","Muy mala",0.053,0.898,0.669
"P49","No sabe",0.006,0.002,0.016
"P50","Muy buena",0.081,0.292,0.027
"P50","Buena",0.041,0.322,0.091
"P50","Ni buena ni mala",0.052,0.193,0.258
"P50","Mala",0.186,0.051,0.224
"P50","Muy mala",0.63,0.141,0.385
"P50","No sabe",0.01,0.001,0.015
"P51","Muy buena",0.039,0.242,0.066
"P51","Buena",0.035,0.374,0.135
"P51","Ni buena ni mala",0.142,0.231,0.294
"P51","Mala",0.201,0.069,0.164
"P51","Muy mala",0.55,0.078,0.296
"P51","No sabe",0.033,0.006,0.045
"P52","Muy buena",0.164,0.038,0.038
"P52","Buena",0.302,0.061,0.076
"P52","Ni buena ni mala",0.319,0.11,0.226
"P52","Mala",0.11,0.172,0.154
"P52","Muy mala",0.093,0.611,0.465
"P52","No sabe",0.012,0.008,0.041
"P53","Muy buena",0.048,0.483,0.149
"P53","Buena",0.052,0.24,0.168
"P53","Ni buena ni mala",0.106,0.134,0.257
"P53","Mala",0.142,0.045,0.133
"P53","Muy mala",0.622,0.092,0.257
"P53","No sabe",0.03,0.006,0.036
"P54","Muy buena",0.039,0.211,0.308
"P54","Buena",0.033,0.202,0.16
"P54","Ni buena ni mala",0.123,0.355,0.204
"P54","Mala",0.145,0.128,0.093
"P54","Muy mala",0.632,0.091,0.201
"P54","No sabe",0.028,0.013,0.034
"P55","Muy buena",0.02,0.31,0.097
"P55","Buena",0.04,0.35,0.148
"P55","Ni buena ni mala",0.1,0.205,0.289
"P55","Mala",0.17,0.061,0.155
"P55","Muy mala",0.649,0.066,0.268
"P55","No sabe",0.021,0.008,0.043
"P56","Muy buena",0.154,0.039,0.037
"P56","Buena",0.335,0.055,0.074
"P56","Ni buena ni mala",0.3,0.096,0.207
"P56","Mala",0.072,0.192,0.199
"P56","Muy mala",0.124,0.611,0.448
"P56","No sabe",0.015,0.007,0.035
"P57","Muy buena",0.061,0.07,0.09
"P57","Buena",0.129,0.126,0.121
"P57","Ni buena ni mala",0.391,0.301,0.302
"P57","Mala",0.164,0.188,0.153
"P57","Muy mala",0.176,0.283,0.251
"P57","No sabe",0.079,0.032,0.083
"P58","Muy buena",0.02,0.089,0.049
"P58","Buena",0.045,0.192,0.101
"P58","Ni buena ni mala",0.246,0.397,0.387
"P58","Mala",0.178,0.123,0.095
"P58","Muy mala",0.412,0.145,0.265
"P58","No sabe",0.099,0.054,0.103
"P59","Siempre",0.343,0.318,0.269
"P59","Casi siempre",0.364,0.412,0.339
"P59","Casi nunca",0.182,0.195,0.269
"P59","Nunca, pero esta es una excepción",0.111,0.075,0.123
"P60","Si",0.609,0.569,0.507
"P60","No",0.391,0.431,0.493
