"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Unión por la Patria",0.245,0.239,0.251,0.198,0.271,0.275,0.234,0.237,0.225,0.289,0.5,0.075,0.174,0.218,0.229,0.33,0.266
"Juntos por el Cambio",0.33,0.275,0.381,0.241,0.28,0.427,0.495,0.323,0.311,0.372,0.197,0.57,0.275,0.35,0.328,0.25,0.325
"De los liberales libertarios",0.231,0.289,0.177,0.318,0.253,0.149,0.117,0.212,0.265,0.2,0.136,0.246,0.268,0.226,0.247,0.195,0.231
"De la Izquierda",0.061,0.061,0.06,0.073,0.073,0.034,0.044,0.063,0.067,0.048,0.039,0.03,0.11,0.055,0.06,0.055,0.067
"Hacemos por nuestro país",0.024,0.03,0.019,0.03,0.024,0.015,0.024,0.035,0.017,0.021,0.02,0.015,0.042,0.033,0.023,0.04,0.015
"Otro",0.06,0.055,0.065,0.061,0.063,0.065,0.044,0.074,0.056,0.047,0.059,0.043,0.064,0.072,0.056,0.072,0.05
"En blanco",0.049,0.051,0.047,0.079,0.036,0.035,0.042,0.056,0.059,0.023,0.049,0.021,0.067,0.046,0.057,0.058,0.046
