"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Unión por la Patria",0.219,0.222,0.215,0.166,0.241,0.249,0.224,0.201,0.2,0.273,0.458,0.068,0.157,0.191,0.182,0.32,0.248
"Juntos por el Cambio",0.296,0.257,0.332,0.21,0.249,0.385,0.46,0.285,0.277,0.343,0.166,0.538,0.266,0.313,0.297,0.212,0.293
"De los liberales libertarios",0.207,0.267,0.152,0.28,0.229,0.143,0.101,0.192,0.235,0.184,0.124,0.232,0.24,0.209,0.21,0.179,0.208
"De la Izquierda",0.05,0.056,0.044,0.06,0.058,0.03,0.036,0.052,0.051,0.045,0.035,0.026,0.092,0.045,0.045,0.049,0.057
"Hacemos por nuestro país",0.022,0.027,0.018,0.026,0.024,0.014,0.021,0.032,0.016,0.018,0.017,0.015,0.039,0.03,0.023,0.025,0.014
"Otro",0.053,0.051,0.054,0.056,0.052,0.058,0.041,0.061,0.053,0.041,0.054,0.036,0.061,0.062,0.05,0.07,0.044
"En blanco",0.041,0.045,0.038,0.065,0.029,0.031,0.038,0.047,0.049,0.02,0.038,0.021,0.061,0.037,0.045,0.052,0.041
"No sabe",0.112,0.075,0.147,0.137,0.118,0.09,0.079,0.13,0.119,0.076,0.108,0.064,0.084,0.113,0.148,0.093,0.095
