"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P09","Unión por la Patria",0.239,0.183,0.108
"P09","Juntos por el Cambio",0.326,0.202,0.212
"P09","De los liberales libertarios",0.236,0.172,0.096
"P09","De la Izquierda",0.035,0.078,0.08
"P09","Hacemos por nuestro país",0.017,0.028,0.054
"P09","Otro",0.043,0.103,0.065
"P09","En blanco",0.026,0.065,0.156
"P09","No sabe",0.078,0.169,0.229
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.242,0.166,0.17
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.075,0.074,0.089
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.201,0.122,0.144
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.104,0.126,0.072
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.254,0.22,0.121
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.022,0.043,0.03
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.055,0.05
"P12","Otros",0.025,0.059,0.095
"P12","En blanco",0.016,0.033,0.115
"P12","No sabe",0.037,0.102,0.114
"P22","Totalmente seguro.",0.653,0.228,0.198
"P22","Bastante seguro",0.146,0.293,0.076
"P22","Algo seguro",0.106,0.131,0.336
"P22","Para nada seguro",0.095,0.348,0.39
"P34","Inflación",0.327,0.275,0.268
"P34","Desempleo",0.091,0.142,0.133
"P34","Corrupción",0.266,0.194,0.253
"P34","Inseguridad",0.152,0.144,0.134
"P34","Precio del dólar",0.015,0.06,0.014
"P34","Pobreza",0.067,0.076,0.026
"P34","Narcotráfico",0.015,0.035,0.041
"P34","Tarifas",0.01,0.016,0.03
"P34","Otro",0.041,0.034,0.03
"P34","No sabe",0.016,0.024,0.071
"P09_imputada","Unión por la Patria",0.256,0.239,0.169
"P09_imputada","Juntos por el Cambio",0.352,0.254,0.266
"P09_imputada","De los liberales libertarios",0.252,0.205,0.122
"P09_imputada","De la Izquierda",0.043,0.097,0.105
"P09_imputada","Hacemos por nuestro país",0.017,0.028,0.08
"P09_imputada","Otro",0.048,0.112,0.081
"P09_imputada","En blanco",0.032,0.065,0.177
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.255,0.199,0.18
"P12_imputada","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.076,0.079,0.089
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.205,0.125,0.153
"P12_imputada","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.107,0.137,0.097
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.261,0.257,0.148
"P12_imputada","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.023,0.043,0.038
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.057,0.055
"P12_imputada","Otros",0.03,0.07,0.117
"P12_imputada","En blanco",0.019,0.033,0.123
