"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P09","Unión por la Patria",0.59,0.531,0.076,0.098,0.071,0.082,0.013,0,0.077,0.06
"P09","Juntos por el Cambio",0.185,0.194,0.734,0.697,0.107,0.011,0.07,0.116,0.056,0.067
"P09","De los liberales libertarios",0.084,0.099,0.111,0.075,0.636,0.038,0.113,0.034,0.029,0.077
"P09","De la Izquierda",0.034,0.062,0.025,0.034,0.023,0.483,0.032,0.033,0.131,0.032
"P09","Hacemos por nuestro país",0.016,0.018,0.005,0.029,0.009,0.023,0.238,0.003,0.023,0.018
"P09","Otro",0.015,0.024,0.015,0.014,0.055,0.29,0.075,0.319,0.057,0.086
"P09","En blanco",0.006,0.019,0.001,0.02,0.022,0.003,0.294,0.05,0.48,0.09
"P09","No sabe",0.07,0.053,0.033,0.033,0.077,0.07,0.165,0.445,0.147,0.57
"P22","Totalmente seguro.",0.64,0.539,0.637,0.548,0.703,0.491,0.387,0.306,0.343,0.179
"P22","Bastante seguro",0.158,0.24,0.149,0.215,0.127,0.116,0.171,0.152,0.079,0.076
"P22","Algo seguro",0.125,0.125,0.126,0.126,0.124,0.092,0.133,0.108,0.021,0.137
"P22","Para nada seguro",0.077,0.096,0.088,0.111,0.046,0.301,0.309,0.434,0.557,0.608
"P23","Tiene Decidido que va a ir a votar.",0.896,0.849,0.902,0.858,0.895,0.776,0.729,0.671,0.586,0.673
"P23","Tiene dudas sobre si va a ir a  votar",0.059,0.08,0.053,0.1,0.075,0.149,0.162,0.152,0.116,0.18
"P23","Tiene Decidido que no va a ir a votar",0.045,0.071,0.045,0.042,0.03,0.075,0.109,0.177,0.298,0.147
"P34","Inflación",0.369,0.365,0.3,0.327,0.308,0.199,0.235,0.312,0.355,0.237
"P34","Desempleo",0.119,0.136,0.06,0.121,0.06,0.26,0.068,0.149,0.088,0.139
"P34","Corrupción",0.138,0.121,0.322,0.269,0.371,0.197,0.321,0.257,0.241,0.183
"P34","Inseguridad",0.151,0.134,0.22,0.159,0.115,0.127,0.177,0.059,0.059,0.147
"P34","Precio del dólar",0.028,0.017,0.009,0.016,0.019,0,0.01,0.062,0,0.017
"P34","Pobreza",0.093,0.102,0.039,0.041,0.048,0.175,0.067,0.017,0.107,0.098
"P34","Narcotráfico",0.009,0.006,0.016,0.036,0.017,0.009,0.011,0.032,0.034,0.033
"P34","Tarifas",0.016,0.029,0.006,0.004,0.009,0.004,0,0.042,0.042,0.002
"P34","Otro",0.058,0.073,0.019,0.021,0.038,0.024,0.055,0.052,0.074,0.015
"P34","No sabe",0.019,0.017,0.009,0.006,0.015,0.005,0.056,0.018,0,0.129
