"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.233,0.211,0.253,0.199,0.252,0.231,0.252,0.265,0.214,0.219,0.479,0.063,0.192,0.192,0.259,0.32,0.242
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.076,0.07,0.082,0.081,0.079,0.071,0.069,0.073,0.071,0.089,0.128,0.038,0.096,0.077,0.049,0.103,0.087
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.18,0.199,0.084,0.171,0.263,0.341,0.161,0.188,0.233,0.068,0.375,0.173,0.204,0.142,0.126,0.213
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.102,0.097,0.107,0.08,0.09,0.141,0.12,0.096,0.097,0.119,0.055,0.172,0.088,0.094,0.096,0.065,0.118
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.241,0.293,0.192,0.365,0.246,0.147,0.115,0.24,0.264,0.203,0.142,0.271,0.215,0.242,0.289,0.249,0.211
"Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.025,0.026,0.023,0.017,0.034,0.026,0.014,0.025,0.024,0.024,0.02,0.007,0.061,0.023,0.026,0.022,0.025
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.03,0.027,0.023,0.029,0.037,0.026,0.029,0.025,0.034,0.019,0.017,0.069,0.053,0.021,0.009,0.014
"Otros",0.035,0.038,0.034,0.057,0.029,0.026,0.024,0.043,0.035,0.026,0.036,0.015,0.048,0.033,0.055,0.055,0.024
"En blanco",0.022,0.021,0.023,0.03,0.02,0.019,0.016,0.021,0.026,0.018,0.022,0.012,0.02,0.028,0.014,0.025,0.021
"No sabe",0.048,0.034,0.06,0.064,0.05,0.039,0.023,0.047,0.056,0.035,0.031,0.03,0.038,0.054,0.049,0.026,0.045
